,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
88,nids de Pâques,3760086158268,,,,,"['EMB 25563A', 'Thurey-le-Mont (Doubs, France)']",['France'],[],,,[],,?,375,1569 kj(375 kcal),18,12,50,43,"3,3","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Bonbon,9783203776026,,,,,,['France'],[],,,[],,?,10,42 kj(10 kcal),10,0,10,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Pain de mie,3760049798845,,,,,,['France'],"['Farine de blé*35%', 'eau', ""farine complète d'avoine 10"", '5%', ' graines de lin brun 10,5%', ' gluten de blé', 'graines de tournesol décortiquées 4', '5 %', 'levure', 'levain de seigle dévitalisé déshydraté', 'sel', 'graines de pavot bleu 0,9%', 'arôme naturel ', 'contient alcool', 'conservateur: propionate de calcium', 'levure désactivée', 'antioxydant : acide ascorbique', "" Traces éventuelles d'oeufs"", 'lait', 'soja', 'graines de sésame et moutarde', ' * Ingrédient issu du commerce équitable français', ' CONSEILS DE CONSERVATION:']","['E282 - Propionate de calcium', 'E300 - Acide ascorbique']",['Gluten'],[],4,?,276,1155 kj(276 kcal),"9,3",0,33,"2,5",12,"0,93","0,372",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,,,9.3 g,en quantité modérée,0 g,en faible quantité,2.5 g,en faible quantité,0.93 g,en quantité modérée,,+4%,+3%,+108%,-100%,-28%,-52%,+43%,-18%,-18%,2,+38%,B,+38%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,
91,Ravioli mozarrela tomate,8004996200040,,,,,,['France'],[],,,[],,?,251,1050 kj(251 kcal),7,"3,3",37,"2,1",10,"1,15","0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Clinutren,7613038137100,,,,,,['France'],[],,,[],,?,150,628 kj(150 kcal),6,0,"33,5",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Quinoa, boulgour, crudités, poulet, haricots azuki - Carrefour",3560071235604,,,['Carrefour'],,,['France'],[],,,[],,?,106,444 kj(106 kcal),"4,9","0,6","8,8","2,4","5,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Montepulciano d'Abruzzo DOC,20026585,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens', ""it:Montepulciano d'Abruzzo""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Concentrate cooking tamarind,9850931044335,,,,,,['France'],[],,,[],,?,266.7,1116 kj(266 kcal),0,0,"73,3","13,3",0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Cirò Rosso Classico 2015 Tenuta Iuzzolini,8050046760019,,['Bottle'],,,,['France'],[],,,[],,?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Tapenade d'artichauts,8033891011024,,,,,,['France'],[],,,[],,?,332,1389 kj(332 kcal),"32,4","4,5","7,1","0,5",2,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Pain au Chorizot 300g,,,,,,,['France'],[],,,[],,?,258,1079 kj(258 kcal),"3,6","1,3",46,"1,1","9,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Mini caramelle anice e liquirizia senza zucchero,8006115002313,,,,,,['France'],[],,,[],,?,244,1021 kj(244 kcal),"0,5","0,5","96,1","0,4","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Oeuf circus,3595181905895,,,,,,['France'],[],,,[],,?,538,2251 kj(538 kcal),"34,3","20,5","47,1","45,3","7,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Rive cake,8802812908213,,,,,,['France'],[],,,[],,?,245.7,1028 kj(245 kcal),"3,3","1,4","49,7","7,9","4,3","0,103","0,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Brownie aux pépites de chocolat à partager,3263852662964,,,,,,['France'],[],,,[],,?,468,1958 kj(468 kcal),27,"5,6",48,36,"6,4","0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Olio extravergine di oliva bio italiano,8011845005183,,,,,,['France'],[],,,[],,?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'it:Olio extravergine di oliva']",,,,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,
104,Infusion Brûleur de graisses,3456300013887,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Saveurs pasta chèvre noix légumes grillés,3367651008890,,,,"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,166,695 kj(166 kcal),"7,5","1,9",18,3,"5,3","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Cacahuètes crus,8410564002327,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),48,8,"5,5","5,5",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Oeufs,3475579911250,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Burrata - Di Puglia - 150g,3701091940448,150g,['Pot en plastique'],['Di Puglia'],,['IT L547C CE'],['France'],"['Lait pasteurisé de vache ', 'origine Italie', ""crème UHT 41%,correcteur d'acidité: acide lactique"", 'présure', 'sel']",['E270 - Acide lactique'],,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,?,,24,,2,2,8,"0,54","0,216",C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromage à pâte molle triple crème environ 40% MG']",['Italie'],['Puglia Italie'],,24 g,en quantité élevée,,,2 g,en faible quantité,0.54 g,en quantité modérée,,,,0%,,+175%,+419%,-56%,-64%,-64%,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
109,Fajitas à l'indienne,3663219007252,,,,"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,194,812 kj(194 kcal),"6,1",4,28,"7,6","5,2","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,20 Sacs Poubelle 100L N1,3232766524057,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Boutargue,2325901002655,,,,,,['France'],[],,,[],,?,385,1611 kj(385 kcal),"25,6","3,9","0,7","0,1","37,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Jambon désossé reconstitue,0264579064416,,,,,"['FR 81.124.012 CE', 'Lacaune (Tarn, France)']",['France'],[],,,[],,?,226,946 kj(226 kcal),"11,8","4,2","0,5","0,4","29,5",6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Huile de noisette 1re pression,3760048700528,,,,,,['France'],[],,,[],,?,900,3766 kj(900 kcal),100,"8,2",0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']",,,,100 g,en quantité élevée,8.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,+3%,+3%,-4%,-100%,-100%,-100%,-100%,-100%,10,-4%,C,-4%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,
114,Beaumont de Savoie,2489450015877,,['Film en plastique'],,,,['France'],[],,,[],,?,408,1707 kj(408 kcal),35,24,1,"0,5",25,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Bellissima comida jambon serrano,2944844000001,,,,,,['France'],[],,,[],,?,1245,5209 kj(1245 kcal),"14,2","5,7","0,1",0,"29,1","5,33","2,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Coffret de bonbons de chocolat noir et lai,3700840127666,,,,,,['France'],[],,,[],,?,581,2431 kj(581 kcal),37,20,55,42,6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Bio Bierschinken, Rewe",4388844008144,,,,,,['France'],[],,,[],,?,163,682 kj(163 kcal),9,"3,5",1,"0,5",19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Infusion cannelle gingembre curcuma - Auchan,3596710486519,,,['Auchan'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Simmenthal,8001590919316,,,,,,['France'],[],,,[],,?,61,255 kj(61 kcal),"1,5","0,7","0,2","0,2","11,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Tarte au saumon,59240891,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,208,870 kj(208 kcal),10,"5,5",21,"1,6","7,8","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Jus pomme gingembre,3760017390620,,,,,,['France'],[],,,[],,?,42.4,177 kj(42 kcal),0,0,"9,95","9,67","0,001","0,155","0,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Yaourt aux fruits,2760243420017,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Girasoli asperge,2006050031474,,"['Film en plastique', 'Etui en carton']",,,,['France'],[],,,[],,?,296,1238 kj(296 kcal),13,"7,3",34,"7,3","9,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Royal,0205021021656,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Emprésuré chocolat Tonka,3278692500581,,['Pot en carton'],,,,['France'],[],,,[],,?,111,464 kj(111 kcal),"1,8","1,1",18,17,"5,7","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Latte Macchiato, Espresso und Milch",4334011102986,,,,,,['France'],[],,,[],,?,2.04,9 kj(2 kcal),10,"6,5",21,21,"7,3","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Faisselle,3222477736528,,,,,,['France'],[],,,[],,?,79,331 kj(79 kcal),"4,5",3,"5,6","3,8",4,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Aloe farm vera drink coconut,8801861931630,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Olio extravergine di oliva dop valli trapanesi,8020542120914,,,,,,['France'],[],,,[],,?,824,3448 kj(824 kcal),92,14,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'it:Olio extravergine di oliva']",,,,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,
130,Green ice tea zéro sucre,3168930166306,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Alpro barista amande,5411188134435,,,,,,['France'],[],,,[],,?,25,105 kj(25 kcal),"1,2","0,1","2,6","2,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Alpro barista avoine,5411188134459,,,,"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,59,247 kj(59 kcal),3,"0,3","6,7","3,3","0,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Saucisson de l’île de beauté,2658952041336,,,,,,['France'],[],,,[],,?,38,159 kj(38 kcal),28,12,"0,6",0,33,"5,2","2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Marzen,90242434,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Mimolette extra vieille,2423820030176,,,,,"['FR 50.127.001 CE', 'Chef-du-Pont (Manche, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Figue sèches - Couleurs Vives,4056489351627,,,['Couleurs Vives'],"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,293,1226 kj(293 kcal),"2,6","0,3",58,53,"3,3","0,24","0,096",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']",,,,2.6 g,en faible quantité,0.3 g,en faible quantité,53 g,en quantité élevée,0.24 g,en faible quantité,,+6%,+7%,+71%,+6%,+1%,+13%,+1%,+75%,+75%,7,+136%,C,+136%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,,,,
137,Bio ail,5575545065043,,,,,,['France'],[],,,[],,?,350,1464 kj(350 kcal),"1,28","0,3","70,5","3,2","12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Le chat -,3178040633179,,['Plastique'],,['en:hypoallergénique'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Piment Anneaux de Feu,3760063334821,,,,,,['France'],[],,,[],,?,324,1356 kj(324 kcal),"5,81",0,"69,8",0,"10,58",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Boario naturale,80252726,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Yaourt de la ferme,3760281380013,,,,,"['FR 80.037.001 CE', 'Aubvillers (Somme, France)']",['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Miel de thym,3594480005350,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Sauce Truffée,8027355005308,,,,,,['France'],[],,,[],,?,506,2117 kj(506 kcal),54,10,"0,6",0,"2,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Sauce poisson Nuoc Mam,8859585800299,,,,,,['France'],[],,,[],,?,30,126 kj(30 kcal),0,0,"2,4",0,5,"2,37","0,948",B,,"['Epicerie', 'Sauces', 'Sauces Nuoc-mâm']",,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.37 g,en quantité élevée,,-61%,-59%,-100%,-100%,-70%,-100%,-33%,-87%,-87%,7,-33%,C,-33%,22.1%,34.4%,24.7%,10.9%,6.2%,1.7%,94,,,,,
145,Cubes de thon,8717755236159,,,,,,['France'],[],,,[],,?,96.6,404 kj(96 kcal),"0,5",0,0,0,23,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Bio aglio granuli,8004708012657,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,mini snack,4026279972059,,,,,,['France'],[],,,[],,?,188,787 kj(188 kcal),12,"4,4",6,"0,5",14,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Les desucres orange,3760225493670,,,,"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,28,117 kj(28 kcal),"0,1",0,"6,1","6,1","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,ravioles - Produit du terroir - 240g,3701002405455,240g,"['Plastique', 'Barquette', 'Film en plastique']",['Produit du terroir'],"['Plein air', 'Œufs de poules élevées en plein air', 'Oeufs de France', 'AOP', 'IGP', 'Label Rouge']","['FR 26.281.031 CE', 'Romans-sur-Isère (Drôme, France)']",['France'],"['Pate 50 % ', 'farine de blé tendre', 'eau', 'œufs frais 4', '7 %', 'huile de tournesol', 'farce 50% ', 'comté 22 %', 'fromage blanc frais', 'persil', 'œufs frais', 'sel', 'beurre']",,"['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",3,?,285,1192 kj(285 kcal),12,"8,1",30,"1,5",13,"1,5","0,6",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches', 'Ravioles', 'Ravioles du Dauphiné', 'Raviolis du Dauphiné cuits']",['France'],['Drôme'],"44, avenue des allobroges 26100 romans sur Isère",12 g,en quantité modérée,8.1 g,en quantité élevée,1.5 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+1%,+3%,+7%,+1%,+2%,0%,+2%,+2%,15,-7%,D,-7%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,['Leclerc'],,,,
150,Boisson coco amande,3258260024152,,,,,,['France'],[],,,[],,?,346.28,1449 kj(346 kcal),"5,66","4,01","62,38","9,43","8,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,100% Natural Chrysanthemum Teabag,8885009661306,,,,,,['France'],[],,,[],,?,37,155 kj(37 kcal),"0,1",0,"8,2","2,8","0,9","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Miel d’oranger de Valence,3250392968144,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,hamlet,5400265040004,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Eclair chocolat,0210003013789,,,,,,['France'],[],,,[],,?,293,1226 kj(293 kcal),9,"3,6",36,26,"2,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Dielen Ostéocalm Articulation,3401597005848,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Boîte de 6 oeufs chocolat fourrés praliné,3474341100786,,,,,,['France'],[],,,[],,?,554,2318 kj(554 kcal),34,30,50,50,"7,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Escalope de dinde,2667271014631,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,
158,Fougasse,0202009016406,,,,,,['France'],[],,,[],,?,350,1464 kj(350 kcal),20,"9,6",26,"0,8",17,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Fraise clery mauguio,3760131880229,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Raisin sans Pepin,8900000002078,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Ninon,3191220018238,,,,,,['France'],[],,,[],,?,62,259 kj(62 kcal),"3,82","0,76","76,61","46,32","2,14","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Toost rond au seigle,3029330066521,,,,,,['France'],[],,,[],,?,264,1105 kj(264 kcal),"4,1","0,6",45,"5,5","8,8",11,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Lapin en chocolat,,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Feuilleté de mousse,3023290048429,,,,,,['France'],[],,,[],,?,220,920 kj(220 kcal),"14,5","9,6","17,4","15,4","4,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Tartelette arachides,4894375022677,,,,,,['France'],[],,,[],,?,523,2188 kj(523 kcal),28,0,"56,9","11,4",11,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Melocotón En Almíbar 30 / 40 Lata 3 KG,8411916130170,,,,,,['France'],[],,,[],,?,58,243 kj(58 kcal),0,0,15,14,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Confiture,8681185737602,,,,,,['France'],[],,,[],,?,230,962 kj(230 kcal),"0,2","0,2",63,60,"0,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Sushi box,4056489371144,,,,,,['France'],[],,,[],,?,177,741 kj(177 kcal),6,"1,1",24,6,"6,3","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Véritable pain epices,3760129921002,,,,,,['France'],[],,,[],,?,359,1502 kj(359 kcal),"3,5","0,87",74,31,"6,8","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Vin chaud du trappeur,3662051002043,,,,,,['France'],[],,,[],,?,26,109 kj(26 kcal),"4,5","1,5",45,22,6,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Mayonnaise,3660603081836,,,,,,['France'],[],,,[],,?,653,2732 kj(653 kcal),71,"5,4","2,1","1,3","1,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Sushi maki saumon cru,4056489362364,,,,,,['France'],[],,,[],,?,167,699 kj(167 kcal),"3,6","0,6",28,"6,8","4,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Ananas extra-sweet,2868501019154,,,,,,['France'],[],,,[],,?,42.381,177 kj(42 kcal),"0,5","0,01",9,"7,1","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Noix de coco morceau,0208839019020,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Grissini torinesi stirati integrale,8009273001679,,,,,,['France'],[],,,[],,?,418,1749 kj(418 kcal),12,"1,1","62,5",2,12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Oeuf de paques fourrés - Hema,8718537941322,,,['Hema'],,,['France'],[],,,[],,?,538,2251 kj(538 kcal),"32,4","20,1","55,6","53,7","4,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Klare suppe,7613287094421,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,3,13 kj(3 kcal),"0,1","0,1","0,5","0,3","0,1","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Saucisses de volaille,3422210438737,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,,,,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,
