,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,labels,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,link,manufacturing,palm_ingredients,producer_info,brand_owner,origin_detail
20,Corn crackers - NATURE ADDICTS - 50g,3609200009461,['NATURE ADDICTS'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés']",['France'],"['Maïs 57,4% ', 'origine : UE', 'farines de légume ', 'petits pois', 'haricots', 'lentilles', 'pois chiches', ' 30%', 'huiles végétales en proportion variable ', 'mais', 'tournesol', 'protéines de pois de mer', ""arôme naturel d'olive""]",,,"['Végétalien', 'Végétarien']",3,11 g,en quantité modérée,1.5 g,en quantité modérée,1.1 g,en faible quantité,1 g,en quantité modérée,?,,429,-13%,1795 kj(429 kcal),-12%,11,-54%,"1,5",-52%,65,+10%,"1,1",-68%,14,+88%,1,-50%,"0,4",-50%,0,-100%,B,-100%,B,50g,['Sachet'],"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",,['Monoprix'],60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,
21,Tortilla chips fajitas - Old El Paso,8410076482624,['Old El Paso'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],"['Grain de maïs', 'huile de tournesol riche en acide oléïque', 'assaisonnement [sucre', 'sel', 'épices Wapina', 'powie noi', 'CUTCuma', 'gingembre', 'poivre de cayenne', 'oignon', 'maltodextrine', 'extrait de levure', 'arôme', 'arôme de fumée', 'arôme naturel', ""comecteurs d'acidité "", 'acide citrique', 'acétate de sodium', 'ail', 'persil', 'colorant: extrait de paprika', ' Conditionnées sous amosphère protectrice', ' Peut contenir des ingrédients à base de lait', 'soja', 'moutarde', 'graines de sésame et céleri', ' À conserver ans un endroit frais et sec']","['E330 - Acide citrique', 'E262i - Acétate de sodium', 'E160c - Extrait de paprika']",,[],4,26.2 g,en quantité élevée,3 g,en quantité modérée,1.5 g,en faible quantité,0.4 g,en quantité modérée,?,,498,+3%,2084 kj(498 kcal),+3%,"26,2",+15%,3,+2%,"56,8",-6%,"1,5",-21%,"6,3",-2%,"0,4",-66%,"0,16",-66%,6,-38%,C,-38%,B,,,,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,
22,Tarte aux pommes - PICARD - 500g,3270160821945,"['PICARD', 'LE BIO PAR PICARD']","['Surgelés', 'Biscuits et gâteaux', 'Tartes', 'Tartes sucrées', 'Tartes aux pommes', 'Gâteaux et pâtisseries surgelés']",['France'],"['Pomme* 42,5%', 'purée de pomme* 24,7%', 'farine de blé* ', 'gluten', ' 14%', 'sucre de canne*', 'beurre* ', 'lait', ' 5,8%', 'œuf entier issu de poule élevée en plein air 2,3% ', 'liquide', 'pasteurisé', 'amidon de pomme de terre*', 'eau', 'sel', 'jus de citron concentré*', 'graine de vanille bourbon*', "" *Issu de l'agriculture biologique""]",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,7.2 g,en quantité modérée,4.6 g,en quantité modérée,20 g,en quantité élevée,0.15 g,en faible quantité,900,-7%,214,-13%,900 kj(214 kcal),-13%,"7,2",-23%,"4,6",-14%,35,-3%,20,-3%,"1,9",-21%,"0,15",-41%,"0,06",-41%,5,-55%,C,-55%,A,500 g,"['Surgelé', 'Etui en carton', 'Film en plastique']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans additifs', 'AB Agriculture Biologique']","['EMB 64134A', 'Bonloc (Pyrénées-Atlantiques, France)']",['Picard'],67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,"['France', 'Bonloc']",,,,
23,Alpro caffé - 1l,5411188129219,['Alpro'],"['Boissons', 'Boissons au café', 'Boissons avec sucre ajouté']","['France', 'Suisse', 'Belgien']","['Café ', '40%', ' ', 'eau', 'extrait de café*', 'eau', 'sucre', 'amande ', '1,5%', 'fibres de chicorée', ""correcteur d'acidité "", 'phosphates de potassium', 'sel marin de table', 'arômes', 'stabilisants ', 'farine de graines de caroube', 'gomme gellane']","['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E418 - Gomme gellane']",['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.8 g,en faible quantité,0.1 g,en faible quantité,4.9 g,en quantité modérée,0.15 g,en quantité modérée,?,,30,-79%,126 kj(30 kcal),-79%,"0,8",-80%,"0,1",-96%,"4,9",-78%,"4,9",-70%,"0,3",-93%,"0,15",-39%,"0,06",-39%,8,-44%,D,-44%,,1 l,"['Tetra Pak', 'Brique en carton', 'produkt']","['Végétarien', 'Sans gluten', 'Végétalien', 'Point Vert', 'Sans lactose', 'Nutriscore', 'Nutriscore D', 'Rainforest Alliance', 'nl:Zuivelvrij']",['FSC-C014047'],,,,,,,,,,,,,,,,
24,Filets de maquereaux à l'échalote / pêche durable - Carrefour - 169g,3560071175764,['Carrefour'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Maquereaux en conserve']",['France'],"['Filets de maquereaux 55% ', 'Scomber scombrus', 'eau', 'crème fraiche', 'huile de colza', 'échalotes 3,5%', 'jus de citron', 'sel', ""vinaigre d'alcool"", 'échalotes déshydratées 0,7%', 'oignon déshydraté', 'protéines de lait', 'poivre blanc', 'épaississants gomme xanthane et gomme guar', 'persil déshydraté', 'curcuma', ""arôme naturel d'ail"", 'poivre noir', 'laurier poudre', 'clous de girofle', 'thym poudre']","['E415 - Gomme xanthane', 'E412 - Gomme de guar']",['Lait'],"['Non végétalien', 'Non végétarien']",4,14 g,en quantité modérée,3.6 g,en quantité modérée,1.5 g,en faible quantité,0.98 g,en quantité modérée,?,,195,-4%,816 kj(195 kcal),-3%,14,-6%,"3,6",+11%,"5,5",+299%,"1,5",+100%,12,-18%,"0,98",-1%,"0,392",-1%,4,-2%,C,-2%,D,169g,,['Fabriqué en France'],,['Carrefour'],39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,
25,Speculos,3760092218154,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Spéculoos']",['France'],[],,,[],,13 g,en quantité modérée,5.3 g,en quantité élevée,32 g,en quantité élevée,0.84 g,en quantité modérée,?,,442,-7%,1849 kj(442 kcal),-7%,13,-31%,"5,3",-41%,78,+13%,32,-4%,"1,4",-75%,"0,84",+18%,"0,336",+18%,20,-11%,E,-11%,D,,,"['Bio', 'en:gluten-free']",,,83.0%,9.8%,3.2%,2.0%,1.9%,0.0%,53,,,,,,,,
26,Prince Bagel,3513851560304,,,['France'],[],,,[],,,,,,,,,,?,,307,,1284 kj(307 kcal),,"6,5",,2,,50,,"6,3",,11,,"1,2",,"0,48",,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,
27,Fruits tropicaux sans M.G. - SKYR - 145g,5410146418648,['SKYR'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Yaourts', 'Fromages à la crème', 'Skyr']","['Belgique', 'France']","['Lait  écrémé', 'mangue ', '3,2%', 'ananas ', '3,2%', 'fruit de la passion ', '1,6%', 'arômes', 'épaississants ', 'amidon modifié de maïs', 'carraghénanes', 'minéral ', 'citrate de calcium', 'ferments lactiques ', 'lait', 'concentré de carotte et citrouille', ""correcteurs d'acidité "", 'citrate de sodium', 'acide citrique', 'édulcorant ', 'glycosides de stéviol']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,4 g,en faible quantité,0.13 g,en faible quantité,?,,54,-21%,226 kj(54 kcal),-21%,"0,1",-73%,"0,1",-45%,"4,1",-37%,4,-32%,"9,1",-3%,"0,13",+23%,"0,052",+23%,-5,,A,,D,145 g,['Pot'],,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
28,Glace aux bonbons Smarties - Nestlé,09106567,['Nestlé'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,['Carton'],,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,
29,M&M'S Salted Caramel - 400g,5900951280634,"[""M&M's""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],"['Sucre', 'pâte de cacao', 'lait entier en poudre', 'sirop de glucose', 'lactose', 'lait écrémé concentré sucré', 'beurre de cacao', 'huile de palme', 'amidon', 'matière grasse de palme', 'stéarine de palme', 'sel', 'matière grasse de karité', 'humectant ', 'glycérol', 'émulsifiants ', 'lécithine de soja', 'E471', 'stabilisant ', 'gomme arabique', 'sirop de glucose déshydraté', 'dextrine', 'colorants ', 'E100', 'E133', 'E150a', 'E160a', 'E160e', 'E162', 'E170', 'E172', 'arôme naturel', 'cacahuètes', ""agent d'enrobage "", 'cire de carnauba', 'huile de palme', 'extrait naturel de vanille', 'arôme']","['E570 - Acide stéarique', 'E422 - Glycérol', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E414 - Gomme d'acacia"", 'E1400 - Dextrines', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E150a - Caramel E150a', 'E160a - Carotènes mélangés', ""E160e - Apocaroténal 8'"", 'E162 - Rouge de betterave', 'E170 - Carbonates de calcium', 'E172 - Oxyde et hydroxyde de fer', 'E903 - Cire de carnauba']","['Lait', 'Arachides', 'Soja']","['Huile de palme', 'Non végétalien']",4,18 g,en quantité modérée,11 g,en quantité élevée,66 g,en quantité élevée,0.58 g,en quantité modérée,?,,474,-10%,1983 kj(474 kcal),-10%,18,-44%,11,-37%,71,+35%,66,+39%,"4,4",-25%,"0,58",+279%,"0,232",+279%,27,+11%,E,+11%,,400 g,"['Sachet', 'Plastique']",,,['Auchan'],,,,,,,,,,,,"['Huile de palme', 'Stéarine de palme']",,,
30,YAOURT VEGETAL COCO VANILLE,5060426811814,,,['France'],[],,,[],,,,,,,,,,?,,121,,506 kj(121 kcal),,10,,"9,5",,"6,6",,"2,1",,"1,2",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,
31,Whiskys les irrésistibles - WHISKAS - 60g,5998749108550,['WHISKAS'],"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chats']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,60g,,,,,,,,,,,,,,,,,,,
32,Original - Appletiser,90399541,['Appletiser'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']","['France', 'Espagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,10.2 g,en quantité élevée,0 g,en faible quantité,?,,46,0%,192 kj(46 kcal),0%,0,-100%,0,-100%,"10,8",+2%,"10,2",+5%,0,-100%,0,-100%,0,-100%,4,+5%,C,+5%,D,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
33,Pomme golden - Materne,3021760405444,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire']",['France'],[],,,[],,0.5 g,en faible quantité,0.2 g,en faible quantité,10 g,en quantité modérée,0.01 g,en faible quantité,?,,54,-13%,226 kj(54 kcal),-14%,"0,5",+37%,"0,2",+53%,11,-19%,10,-20%,"0,5",+23%,"0,01",+7%,"0,004",+7%,-3,,A,,B,,,"['Agriculture UE', 'Nutriscore', 'Nutriscore A']",,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,
34,Bifensis -,3222270494083,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chats']",['France'],[],,,[],,,,0 g,en faible quantité,0 g,en faible quantité,,,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Gullon cookies - 150g,8410376055856,['Gullón'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],[],,,['Sans huile de palme'],,24 g,en quantité élevée,6 g,en quantité élevée,0.5 g,en faible quantité,0.58 g,en quantité modérée,?,,454,-8%,1900 kj(454 kcal),-8%,24,+3%,6,-49%,63,+1%,"0,5",-98%,"5,9",-10%,"0,58",+5%,"0,232",+5%,8,-63%,C,-63%,D,150g,,['en:palm-oil-free'],,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,
36,Patamilka - Milka - 1.0kg,7622210643391,['Milka'],,['France'],[],,,[],,,,,,,,,,?,,525,,2197 kj(525 kcal),,28,,"7,6",,64,,63,,"3,5",,"0,23",,"0,092",,,,,,,1.0 kg,['Pot'],,,,,,,,,,,,,,,,,,
37,Amora Croq'Mini Cornichons Aux 6 Epices & Aromates Bocal - 205g,8711200460779,['Amora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Conserves', 'Condiments', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Assaisonnements']",['France'],"['cornichons ', 'dont SULFITES', ""vinaigre d'alcool"", 'oignon 8%', 'vinaigre de vin blanc', 'sel', 'épices 1,9% ', 'graines de MOUTARDE', 'poivron rouge réhydraté', 'graines de coriandre', 'piment de la Jamaïque', 'poivre noir', ""arôme naturel d'estragon avec autres arômes naturels""]",,"['Moutarde', 'Anhydride sulfureux et sulfites']",['Sans huile de palme'],4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,2 g,en quantité élevée,55,-95%,13,-94%,55 kj(13 kcal),-94%,"0,5",-95%,"0,1",-92%,2,-91%,"0,7",-93%,"0,7",-83%,2,-79%,"0,8",-79%,3,-73%,C,-73%,,205 g,"['Bocal', 'wrapper', 'Film']",['Point Vert'],,,,,,,,,,,Cornichons pasteurisés au vinaigre.,,,,,,
38,Maïs doux sans sucre ajouté - Carrefour - 150g,3560071275532,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Graines', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en grains', 'Maïs', 'Céréales en conserve', 'Maïs doux', 'Maïs en conserve', 'Maïs doux en conserve']",['France'],"['Maïs doux en grains sans OGM*', 'eau', 'sel', '* OGM Organisme Génétiquement Modifié']",,,[],3,1.6 g,en faible quantité,0.6 g,en faible quantité,9.2 g,en quantité modérée,0.3 g,en quantité modérée,?,,75,-19%,314 kj(75 kcal),-19%,"1,6",-1%,"0,6",+111%,11,-26%,"9,2",+105%,"2,5",-11%,"0,3",-28%,"0,12",-28%,-6,,A,,B,150 g,['boîte'],['Sans sucre ajouté'],,['Carrefour'],46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,['Hongrie'],,,['Hongrie'],,,,
39,Premium müsli triple choc -  - 500g,4061458007092,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales au chocolat']","['France', 'Allemagne']","['Vollkorn-Haferflocken ', '47 %', 'Weizenflakes ', 'Weizen', 'Salz', 'Gerstenmalz - extrakt', 'Zucker', 'Palmöl', 'Schokoladenröllchen aus Vollmilch - und weißer Schokolade ', 'Zucker', 'Vollmilchpulver', 'Kakaobutter', 'Kakaomasse', 'Süßmolkenpulver', 'Emulgator: Sonnenblumenlecithine', 'Zartbitterschokoladenröllchen ', 'Zucker', 'Kakaomasse', 'Kakao - butter', 'Emulgator: Sonnenblumenlecithine', 'gehobelte Mandeln ', '3 %', 'Getreide-Extrudat ', 'Reismehl', 'Zucker', 'Weizenkleber', 'Gersten - und Weizenmalzmehl', 'Salz', 'Kakaopulver', 'Cornflakes ', 'Mais', 'Salz', 'Gerstenmalzextrakt', 'Mandeldragee ', '1 %', ' ', 'Zucker', 'Mandeln', 'Invertzuckersirup', 'Karamellzuckersirup', 'Salz']",,"['Gluten', 'Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,14.9 g,en quantité modérée,5.7 g,en quantité élevée,17.9 g,en quantité élevée,0.67 g,en quantité modérée,?,,437,+4%,1828 kj(437 kcal),+4%,"14,9",+46%,"5,7",+77%,"60,7",-14%,"17,9",-29%,"10,8",+36%,"0,67",+32%,"0,268",+32%,15,+50%,D,+50%,B,500g,,,,"['Knusperone', 'Aldi']",53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,
40,Mayonnaise - Bénédicta - 235g,3660603005252,['Bénédicta'],"['Epicerie', 'Sauces', 'Mayonnaises', 'en:Epicerie']",['France'],"['Huile de colza', 'eau', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', "" jaunes d'œufs frais"", '5%', "",vinaigres d'alcool de vin blanc"", 'jus de citron à base de concentré', 'sel', 'amidon modifié', 'épaississant : gomme xanthane', 'sucre', 'colorant: bêta-carotène']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E160ai - Bêta-carotène']",['Moutarde'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,71 g,en quantité élevée,5.4 g,en quantité élevée,1.3 g,en faible quantité,1.4 g,en quantité modérée,?,,653,+137%,2732 kj(653 kcal),+140%,71,+233%,"5,4",+135%,2,-82%,"1,3",-82%,"1,2",-40%,"1,4",-51%,"0,56",-51%,19,+46%,E,+46%,C,235 g,,,"['EMB 59560', 'Seclin (Nord, France)']",,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['France'],,,['20 avenue André prothin- 92927'],,,,
41,Sablé pur beurre cœur pomme - Sondey - 100g,4056489096764,['Sondey'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'en:Biscuits et gâteaux', 'en:Biscuits sablés', 'en:Snacks sucrés']",['France'],"['Farine de blé', '30% purée de pommes', '25 % beurre ', 'lait', 'sucre de canne', 'sirop de blé', 'œuf', 'sel', 'jus de citron concentré', ""poudre à lever : carbonates d'ammonium "", ' caramel ', 'sucre', 'eau']","[""E503 - Carbonates d'ammonium""]","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,22 g,en quantité élevée,14 g,en quantité élevée,38 g,en quantité élevée,0.58 g,en quantité modérée,?,,491,+11%,2054 kj(491 kcal),+11%,22,+9%,14,+46%,66,+13%,38,+20%,6,+8%,"0,58",+1%,"0,232",+1%,26,+29%,E,+29%,C,100 g,['Etui en carton'],['Bio'],,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
42,10015858,10015858,,,"['France', 'Italie', 'Maroc', 'Espagne', 'Royaume-Uni']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Croque macdo - McDonald's,80767476,"[""McDonald's""]",,['France'],[],,,[],,,,,,,,,,?,,258,,1079 kj(258 kcal),,9,,5,,5,,5,,6,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
44,Sushi box Akashi -  - 205g,4056489139829,,"['Plats préparés', 'Sushis et makis', 'Sushis', 'Assortiments de sushi']",['France'],"['sushi: 77,5% préparation à base de riz ', 'riz cuit ', 'eau', 'riz', 'huile de tournesol', 'sirop de fructose-glucose', ""vinaigre d'alcool"", 'sel', 'vinaigre de riz', ""correcteur d'acidité : acétates de sodium"", ' 8,7% saumon cru ', 'poissons', '4,7% saumon cuit ', 'poissons', '2,7% graines de sésame grillées', '2% fromage frais ', 'lait', 'crème ', 'lait', 'ferments lactiques', ""enzyme coagulante d'origine microbienne"", 'sel', '1,5% concombre', '1,1% algue nori séchée', '0,6% préparation de tomate ', 'tomates semi-déshydratées', 'huile de colza', 'sel', 'origan', 'ail', '0,5% sauce teriyaki ', 'sucre', 'sauce soja ', 'eau', 'sel', 'graines de soja', 'farine de blé', 'eau', 'vinaigre de ríz', 'purée de tomate', 'vin de riz ', 'eau', 'riz', 'blé', 'amidon de maïs', 'gingembre', 'oignons', 'ail', '0,5% mayonnaise ', 'huile de colza', ""jaune d'oeuf**"", 'eau', ""vinaigre d'alcool"", 'graines de moutarde', 'sucre', 'sel', 'épices', '0,2% ciboulette', '0,01% aneth', '**issu de poules élevées en plein air', 'Sauce soja: eau', '19% fèves de soja', 'farine de blé', 'sel', 'Préparation au gingembre: 73% gingembre', 'sucre', 'sirop de glucose', 'fructose', 'eau', 'sel', 'acidifiants: acide citrique', 'acide acétique', '*Wasabi : préparation au raifort: eau', '17% raifort en poudre', 'farine de moutarde', '0,5% wasabi en poudre', 'colorants: complexes cuivriques de chlorophylles et de chlorophyllines', 'curcumine', 'Traces éventuelles de crustacés', 'Non ouvert,']","['E262 - Acétates de sodium', 'E330 - Acide citrique', 'E260 - Acide acétique', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E100 - Curcumine']","['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Soja']","['Non végétalien', 'Non végétarien']",4,5.4 g,en quantité modérée,3 g,en quantité modérée,6.8 g,en quantité modérée,1.88 g,en quantité élevée,?,,179,+12%,749 kj(179 kcal),+12%,"5,4",+35%,3,+252%,26,+5%,"6,8",+8%,"6,2",+16%,"1,88",+1%,"0,752",+1%,13,+40%,D,+40%,C,205 g,,,,,83.8%,1.2%,4.6%,6.7%,2.2%,1.6%,62,,,,,,,,
45,maasdam - 200g,26056524,,,['France'],[],,,[],,,,,,,,,,?,,69,,289 kj(69 kcal),,"5,4",,"3,9",,0,,0,,"5,2",,"0,27",,"0,108",,,,,,,200 g,"['Film en plastique', 'Barquette en plastique']",,,,,,,,,,,,,,,,,,
46,Fromage frais de brebis,3023260032267,,,['France'],[],,,[],,,,,,,,,,?,,204,,854 kj(204 kcal),,17,,12,,"2,3",,"1,6",,11,,"0,9",,"0,36",,,,,,,,,['Fabriqué en France'],"['FR 38.500.001 CE', 'Têche (Isère, France)']",,,,,,,,,,,,,,,,
47,Filets de maquereaux au naturel - Odyssée - 95g,3250392798390,['Odyssée'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux natures']",['France'],"['Filets de maquereaux ', 'Scomber scombrus', ' eau', 'sel']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,19.4 g,en quantité modérée,5 g,en quantité modérée,0.5 g,en faible quantité,0.89 g,en quantité modérée,1048,+34%,252,+22%,1048 kj(252 kcal),+22%,"19,4",+32%,5,+24%,"< 0,5",+94%,"< 0,5",+227%,"19,4",+10%,"0,89",-10%,"0,356",-10%,5,-12%,C,-12%,D,95 g,"['Conserve', 'métal', 'Couvercle en métal']","['Omega-3', 'Riche en Oméga-3', 'Fabriqué en France', 'Nutriscore', 'Nutriscore C', 'Triman']","['FR 62.448.100 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",['Intermarché'],39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,"['Océan Atlantique', 'Océan Atlantique Nord-Est']",Filets de maquereaux au naturel,,"[""Hesdin-l'Abbé"", 'Pas-de-Calais', 'France']",,,,
48,"Cup Carottes, Patate Douce & Cumin - Liebig - 350g",3036811367930,['Liebig'],,['France'],[],,,[],,,,,,,,,,?,,38,,159 kj(38 kcal),,"1,7",,"0,2",,"4,6",,2,,"0,8",,"0,65",,"0,26",,,,,,,350 g,['Pot'],,,,,,,,,,,,,,,,,,
49,Papillote de Poulet Pommes de terre et petits légumes - Marie - 300g,3248830000518,['Marie'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']",['France'],"['Pommes de terre préfrites 36,6% ', 'pommes de terre', 'huile de tournesol', 'dextrose', 'poulet mariné et rôti 15% ', 'viande de poulet 14,7%', 'sel', 'sucre', 'jus de citron', 'courgettes grillées 13,8%', 'jus au persil 13,3% [oignons', 'fond de volaille ', 'jus et graisse de volaille : poulet', 'dinde', 'canard', 'oie ', ' carottes', 'sel', 'aromates', 'eau', 'huile de colza', 'oignons préfrits ', 'dont huile de tournesol', 'huile olive vierge', 'beurre', 'persil 0,4%', 'jus de citron', 'sel', 'amidon de riz', 'thym]', 'demi-tomate cerise 8,3%', 'oignons 6,9%', 'tomates semi déshydratées et marinées 3,2% ', 'tomates', 'huile de colza', 'sel', 'origan', 'ail', 'rondelle de citron 2,6%']",,['Lait'],"['Non végétalien', 'Non végétarien']",4,4.9 g,en quantité modérée,1 g,en faible quantité,1.3 g,en faible quantité,0.67 g,en quantité modérée,462,-21%,110,-26%,462 kj(110 kcal),-25%,"4,9",-17%,1,-40%,10,-27%,"1,3",-33%,"5,8",-28%,"0,67",-21%,"0,268",-21%,-1,-170%,A,-170%,D,300 g,"['Carton', 'Papillote', 'Barquette carton']","['Sans additifs', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A', 'en:Trimaran']","['FR 79.005.001 CE', 'Airvault (Deux-Sèvres, France)', 'EMB 79005A', 'Airvault (Deux-Sèvres, France)']",['Carrefour'],78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,['Poulet origine France'],,,['France'],,,,
