,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,additives,nova_score,manufacturing,markets,allergens,ingredients_origins,link,origin_detail,brand_owner,palm_ingredients,producer_info
1300,MONT BLANC Crème Dessert Chocolat 4x570g 3+1 Offerte - 2280g,3700279306892,2280 g,['Mont blanc'],['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '79 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' cacao maigre en poudre ', ' 2 % de chocolat ', 'cacao en poudre', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', ' ', ' amidon de maïs ', ' amidon transformé de maïs', ' épaississant : gomme xanthane', ' Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",541,129,541 kj(129 kcal),"3,8","2,3",20,17,"3,5","0,12","0,048",,,"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Nutriscore', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crème dessert au chocolat,['Boite'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",4,,,['Lait'],,,,,,
1301,Brique de chèvre - Lidl,4056489181347,,['Lidl'],['France'],[],[],?,351,1469 kj(351 kcal),31,23,21,"2,1",16,1,"0,4",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,31 g,en quantité élevée,23 g,en quantité élevée,2.1 g,en faible quantité,1 g,en quantité modérée,,+24%,+24%,+36%,+44%,+1157%,+117%,-8%,-26%,-26%,13,-2%,D,-2%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,,,,,
1302,Roti de poulet 100% filet -,2006050017812,,,['France'],[],[],?,95,397 kj(95 kcal),"1,4","0,4","0,5","0,5",20,"1,9","0,76",D,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",,1.4 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,,-11%,-11%,-32%,-34%,-54%,-41%,-3%,+3%,+3%,4,-10%,C,-10%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['EMB 72331A', 'Sceaux-sur-Huisne (Sarthe, France)', 'FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)']",,['Film en plastique'],,,,,,,,,,,
1303,ourson en guimauve - Favorina - 170g,4056489277323,170g,['Favorina'],['France'],"['Sirop de glucose', 'sucre', 'eau', '10% chocolat noir ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithines ', 'soja', '10% chocolat au lait ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant : lécithines ', 'soja', ' arôme naturel de vanille', '10% chocolat blanc ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'émulsifiant : lécithines ', 'soja', ' ', ' arôme naturel de vanille', 'dextrose', 'sucre glace', 'gélatine', 'arôme naturel de vanille', 'protéines de lait hydrolysées', ' Traces éventuelles de céréales contenant du gluten', ""d'arachides"", ""de fruits à coque et d'eufs""]","['Non végétalien', 'Non végétarien']",?,400,1674 kj(400 kcal),"10,3","6,2","72,7","64,6","3,5","0,05","0,02",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,10.3 g,en quantité modérée,6.2 g,en quantité élevée,64.6 g,en quantité élevée,0.05 g,en faible quantité,,-5%,-5%,-30%,-4%,+9%,+30%,-17%,-66%,-66%,20,+10%,E,+10%,,,,,,,,,,"['Plastique', 'Carton', 'Film en plastique']","['E322i - Lécithine', 'E428 - Gélatine']",4,,['Lidl'],['Soja'],,,,,,
1304,Peanut butter,8007005004783,,,['France'],[],[],?,599,2506 kj(599 kcal),"53,2","6,6","19,8","6,6","26,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Panettone Traditionnel - La Vie Claire,3266191013107,,['La Vie Claire'],['France'],[],[],?,391,1636 kj(391 kcal),16,8,54,29,"6,8","0,83","0,332",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",16 g,en quantité modérée,8 g,en quantité élevée,29 g,en quantité élevée,0.83 g,en quantité modérée,,+5%,+5%,+7%,-11%,+5%,+12%,-0%,+88%,+88%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
1306,Assortiment de 18 chocolats - Vendôme - 180g,3596710487004,180 g,['Vendôme'],['France'],"['Sucre de canne*', 'pâte de cacao*', 'beurre de cacao*', 'poudre de lait entier*', 'noisettes* 9%', 'amandes* 5,4%', 'pâte de noisettes* 3,2%', 'sirop de glucose', 'beurre concentré* ', 'lait', 'sirop de sucre inverti*', 'éclats de noisettes grillées* 0,6%', 'café soluble* 0,3%', 'extrait de vanille*', ' *Biologique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2379,571,2379 kj(571 kcal),37,17,50,37,"8,1","0,11","0,044",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Chocolats']","['Bio', 'Bio européen', 'Commerce équitable', 'Fairtrade International', 'FR-BIO-10']",37 g,en quantité élevée,17 g,en quantité élevée,37 g,en quantité élevée,0.11 g,en faible quantité,+7%,+8%,+8%,+16%,-2%,-5%,-22%,+38%,-28%,-28%,21,-14%,E,-14%,,,,,,,,,,['Carton'],,4,,,"['Lait', 'Fruits à coque']",,,,,,
1307,Extra mature cheddar - M&S - 350,29089673,350,['M&S'],['France'],"['fromage cheddar très affiné réduit en matières grasses', 'au lait pasteurisé Contient Lait', ' Ce produit contient 30 % de matières grasses en moins comparé à notre fromage cheddar classique', ' CONSERVATION']",[],?,?,,"22,1",,"0,8","0,1","27,9","1,8","0,72",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['Cheddar mature'],22.1 g,en quantité élevée,,,0.1 g,en faible quantité,1.8 g,en quantité élevée,,,,-17%,,-34%,-87%,+37%,+38%,+38%,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['Plastique'],,,,,['Lait'],,,,,,
1308,Les feuilletés pralinés,3470201017911,,,['France'],[],[],?,503,2105 kj(503 kcal),22,11,69,57,"5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Quinta break - 90g,8025579330039,90 g,,['France'],[],[],?,488,2042 kj(488 kcal),22,"3,2",67,"4,5","4,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,Cassonade,0062847610675,,,['France'],[],[],?,375,1569 kj(375 kcal),0,0,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Empanadas au saumon,3571495140429,,,['France'],[],[],?,323,1351 kj(323 kcal),"18,1","10,4","29,6","1,8","9,3","1,3","0,52",,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,Olive et citron vert frais pressés - Oliviers & Co - 500ml,3547130096314,500ml,['Oliviers & Co'],['France'],"['Olive* 99%', 'citron vert* 1%', ' *Biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive d'Italie""]",['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,['Bouteille'],,2,,,,,,,,,
1313,Parmigiano Reggiano,0290024037919,,,['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+0%,+1%,+1%,+1%,-100%,,-1%,0%,0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1314,Boost Curcuma poivre,3770006565311,,,['France'],[],[],?,40,167 kj(40 kcal),0,0,"8,9","7,2","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,Saumon fume islande - Labeyrie - 215g,3033610075462,215 g,['Labeyrie'],['France'],[],[],?,198,828 kj(198 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,,+4%,+4%,+8%,+16%,+21%,+69%,-0%,+0%,+0%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,,,,['Islande'],,,,,
1316,4800188108385,4800188108385,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['135 gm'],,,,,,,,,,,
1317,Sale marino fino iodato - Carrefour,8012666020348,,['Carrefour'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,98,"39,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
1318,Jus de pruneaux d'Agen,3760219062530,,,['France'],[],[],?,234,979 kj(234 kcal),"0,3","0,1",54,35,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,Marrons glacés - Motta,3700125802134,,['Motta'],['France'],[],[],?,325,1360 kj(325 kcal),"0,8","0,1",76,56,"0,8",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,0.8 g,en faible quantité,0.1 g,en faible quantité,56 g,en quantité élevée,,,,+3%,+2%,-10%,-36%,+2%,+11%,-22%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Latte scremato uht a lunga conservazione,8002724002973,,,['France'],[],[],?,34,142 kj(34 kcal),"0,1","0,1","4,9","4,9","3,3","0,1","0,04",C,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits écrémés']",,0.1 g,en faible quantité,0.1 g,en faible quantité,4.9 g,en faible quantité,0.1 g,en faible quantité,,-50%,-54%,-75%,-45%,-51%,-50%,-47%,-44%,-44%,-1,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['Tetra Pak'],,,,,,,,,,,
1321,Foie gras de canard entier du Sud-Ouest - Labeyrie - 230g,3033610031871,230 g,['Labeyrie'],['France'],"['Foie Gras de Canard du Sud-Ouest ', 'Origine France', 'sel', 'Vieil Armagnac* ', '1%', 'poivres ', '1% dont 0,1% de poivre de Sichuan', 'sucre']","['Non végétalien', 'Non végétarien']",?,534,2234 kj(534 kcal),55,23,"2,4","1,9","7,3","1,2","0,48",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']","['Concours général agricole', 'Sans conservateurs', 'IGP', ""Médaille d'or du Concours général agricole"", ""Médaille d'or du concours général agricole 2020""]",55 g,en quantité élevée,23 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,,+1%,+1%,+1%,-1%,+1%,+44%,-3%,0%,0%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,3,['France'],,,['France'],,,,,
1322,Waterdrop microtea,9120077851716,,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Crème dessert - Ekia - 125g,3760206161208,125 g,['Ekia'],['France'],"['Lait entier', 'caramel au beurre et au sel de Guérande 9% ', 'sirop de glucose', 'sucre', 'beurre 11%', 'eau', 'crème', 'sel de Guérande 1,46%', 'caramel 1% ', 'sucre', 'eau', 'amidon de maïs', 'sucre', 'poudre de lait écrémé', 'épaississant : carraghénanes', 'dextrose']",['Non végétalien'],?,111,464 kj(111 kcal),"3,5","2,2",17,"15,9","2,9","0,2","0,08",,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",,3.5 g,en quantité modérée,2.2 g,en quantité modérée,15.9 g,en quantité élevée,0.2 g,en faible quantité,,-15%,-15%,-22%,-20%,-7%,+4%,-14%,+30%,+30%,5,+5%,C,+5%,,,,,,,,"['FR 64.094.103 CE', 'Bardos (Pyrénées-Atlantiques, France)']",,['Glass'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,['France'],,['Lait'],,,,,,
1324,ProActiv - Becel,8719200057449,,['Becel'],['France'],[],[],?,315,1318 kj(315 kcal),35,8,"0,5","0,5","0,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,Fiore Di Campo Taralli Gustosi,8015592000613,,,['France'],[],[],?,467,1954 kj(467 kcal),18,"3,9",65,"1,6","9,8","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,Luce passata bio nature,3329489901521,,,['France'],[],[],?,31,130 kj(31 kcal),"0,3","0,3","4,5","3,3","1,4",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,Gressins à la farine d’epeautre semi-complet bio - Grissinificio Genovese - 150g,8003183001415,150 g,['Grissinificio Genovese'],['France'],"[""Farine d'épeautre T 150*"", ""farine d'épeautre T 55*"", 'levain* ', 'farine de blé tendre*', 'eau', ' 20%', ""huile d'olive vierge extra* 6%"", 'sel de mer', ""\r  * Ingrédients issus de l'agriculture biologique""]",[],?,407,1703 kj(407 kcal),"7,7","1,6",67,"1,7","13,1","2,3","0,92",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Produits artisanaux', 'Pains', 'Biscuits apéritifs', 'Pains spéciaux', 'Gressins', 'Gressins artisanaux']","['Bio', 'Bio européen', 'Agriculture UE', 'Riche en fibres', 'IT-BIO-007', 'Fabriqué en Italie', ""Huile d'olive vierge extra"", 'Levain naturel']",7.7 g,en quantité modérée,1.6 g,en quantité modérée,1.7 g,en faible quantité,2.3 g,en quantité élevée,,-5%,-4%,-34%,-23%,+1%,-21%,+14%,+22%,+22%,11,-7%,D,-7%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,Gressins à la farine d'épeautre semi-complet bio,"['Sec', 'Plastique']",,3,['Italie'],['Biocoop'],"['Gluten', 'Blé tendre']",['Union européenne'],http://grissinificiovinelli.it/,,,,
1328,Croissant integrali,8003896013231,,,['France'],[],[],?,370,1548 kj(370 kcal),19,12,41,18,"5,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,Farina Di Grano Tenero Tipo 00 - Conad,8003160430054,,['Conad'],['France'],[],[],?,339,1418 kj(339 kcal),"0,8","0,1",73,1,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,Saucisses au vin de Savoie et ail des ours - Socopa - 320g,3039050633491,320 g,['Socopa'],['France'],"['Viande de porc origine France ', '91%', 'eau', 'vin blanc de Savoie ', '1,4%', 'sel', 'ail des ours ', '0,2%', 'gras de porc', 'lactose', 'épices', 'dextrose', 'Sucre', 'antioxydants: E300', 'E301', 'conservateurs : E252', 'E250 ', 'colorant: E120 ', 'arômes naturels', 'boyau naturel de porc', 'Valeur Energ Matièr dont a Glucid']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1089,263,1089 kj(263 kcal),22,"8,8","2,2","0,6",14,"1,82","0,728",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Carton', 'Plastique', 'Film en plastique', 'Etui en carton']","['E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",4,['France'],,['Lait'],['France'],,,,,
1331,Café pur arabica - Carrefour,3560071230500,,"['Carrefour', 'Carrefour Bio']",['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,-98%,-98%,-100%,-100%,-96%,-100%,-90%,-100%,-100%,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
1332,Cœur de meule Emmental grand affiné - President,3228022200025,,['President'],['France'],[],[],?,364,1523 kj(364 kcal),28,20,0,0,28,"0,6","0,24",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France']",,28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,,-3%,-3%,-4%,+2%,-100%,-100%,+1%,-8%,-8%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1333,30 CEVAPCICI Inegol Kofte,5902082415183,,,['France'],[],[],?,218,912 kj(218 kcal),15,"7,3",12,"1,2",13,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,I legumi lenticchie rosse sgusciate,8006280010694,,,['France'],[],[],?,314,1314 kj(314 kcal),4,"0,1",41,"1,6",26,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,Häagen-Dazs dule de leche - 81g,12327200,81 g,['Häagen-Dazs'],['France'],"['Crème fraîche ', '31%', 'lait écrémé concentré', 'sucre', 'lait entier concentré', ""jaune d'œuf"", 'sirop de glucose', 'huile de noix de coco', 'sel', 'arômes naturels de vanille', 'gélifiant : pectines']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1121,268,1121 kj(268 kcal),"15,7","10,1","27,2","25,7","4,5","0,21","0,084",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,15.7 g,en quantité modérée,10.1 g,en quantité élevée,25.7 g,en quantité élevée,0.21 g,en faible quantité,+15%,+15%,+15%,+34%,+33%,-3%,+10%,+42%,+40%,+40%,18,+34%,D,+34%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,['pot plastique'],['E440 - Pectines'],4,,,"['Œufs', 'Lait']",,,,,,
1336,Miel de fleurs,3263852001169,,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1337,Fattincasa di leo con farro,8000015003395,,,['France'],[],[],?,464,1941 kj(464 kcal),17,"2,7",67,27,"8,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,M And Ms Minis,04051806,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,Pancakes au pepites de chocolat - Brioche Pasquier - 350g,3256540003859,350g,['Brioche Pasquier'],['France'],[],[],?,375,1569 kj(375 kcal),17,"3,2",50,27,"5,6","0,5","0,2",,['Pancakes'],,17 g,en quantité modérée,3.2 g,en quantité modérée,27 g,en quantité élevée,0.5 g,en quantité modérée,,+23%,+24%,+84%,+61%,+22%,+67%,-39%,-50%,-50%,14,+28%,D,+28%,,,,,,,,,,['Sachet individuel'],,,['France'],['Leclerc'],,,,,,,
1340,Farine pâtissière,3683080182018,,,['France'],[],[],?,330,1381 kj(330 kcal),"1,1","0,2","70,4","0,7","9,7",5,2,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Farines pâtissières']",,1.1 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,5 g,en quantité élevée,,-12%,-13%,-85%,-75%,+17%,-69%,-18%,+8030%,+8030%,14,,D,,,,,,,,,,,,,,,,,,,,,,
1341,Compote bio - Danonino - 90g,3033491487217,90g,['Danonino'],['France'],"['Pomme* ', '45,4%', 'lait* entier pasteurisé', '15,8%', 'banane* ', '13', '1%', 'framboise ', '7,4%', 'fraise* ', '6,8%', 'eau', ""farine d'avoine* "", '3,2%', ""farine d'épeautre* "", '2,1%', 'carotte violette* ', '1,1%', 'jus concentré de citron*', 'ferments lactiques ', 'lait', "" * Ingrédient issu de l'agriculture biologique Contient lait,céreales contenant du gluten "", 'avoine petit épeautre 10/1 all']",['Non végétalien'],?,58,243 kj(58 kcal),"0,9","0,4","12,9","9,1","1,5","0,02","0,008",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']","['Bio', 'Nutriscore', 'Nutriscore A']",0.9 g,en faible quantité,0.4 g,en faible quantité,9.1 g,en quantité modérée,0.02 g,en faible quantité,,-6%,-8%,+147%,+205%,-5%,-27%,+269%,+114%,+114%,-3,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,['Gourde en plastique recyclable'],,3,,,"['Gluten', 'Lait', 'Avoine']",,,,,,
1342,Madeleine au beurre et œufs frais - Erté - 300g,3281320023000,300g,['Erté'],['France'],[],[],?,388,1623 kj(388 kcal),19,"8,5","44,1","22,9","6,2","0,9","0,36",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gâteaux', 'Madeleines']","['Nutriscore', 'Nutriscore E']",19 g,en quantité modérée,8.5 g,en quantité élevée,22.9 g,en quantité élevée,0.9 g,en quantité modérée,,-12%,-12%,-17%,+23%,-16%,-17%,+9%,+11%,+11%,20,+9%,E,+9%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,['Plastique'],,,['le Perray en Yvelines'],,,['France'],,,,,
1343,POIS CHICHES - Moulin des moines,3347430022156,,['Moulin des moines'],['France'],[],[],?,376,1573 kj(376 kcal),"4,9","0,6","54,3","3,7","21,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,Pain a l’épeautre au poids - Carrefour - 0.500g,2206120012796,0.500g,['Carrefour'],['France'],"[""O'EPEAUTRE ORIGINE ANCE PAIN A L EPEAUTRE AU POIDS FQCPAIN EPEAUTRE AU POIO le Mãiché A consommer""]",[],?,262,1096 kj(262 kcal),"2,7","0,3",61,"1,3",11,"1,7","0,68",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,2.7 g,en faible quantité,0.3 g,en faible quantité,1.3 g,en faible quantité,1.7 g,en quantité élevée,,-20%,-21%,-56%,-74%,+11%,-67%,+16%,+33%,+33%,5,-2%,C,-2%,,,,,,,,,,['Papier'],,,,['Carrefour'],,,,,,,
1345,Confettura pesche,8018874101220,,,['France'],[],[],?,874,3657 kj(874 kcal),0,0,51,50,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,Confiture Pastèque à l’orange,3032300100019,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,Maka,5902020655015,,,['France'],[],[],?,358,1498 kj(358 kcal),"1,3","0,6","73,3","0,8","11,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,Olio extra vergine di oliva - Selex,8003100878977,,['Selex'],['France'],[],[],?,822,3439 kj(822 kcal),91,13,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,91 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-5%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
1349,Huile d'olive -,8437019120023,,,['France'],[],[],3700,900,3700 kj(900 kcal),100,12,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,100 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+5%,+3%,+5%,-14%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
1350,Noix de cajou,8711299020724,,,['France'],['100 % noix de cajou'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,595,2489 kj(595 kcal),"46,6","9,1","22,6","6,1","19,3",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,46.6 g,en quantité élevée,9.1 g,en quantité élevée,6.1 g,en quantité modérée,0 g,en faible quantité,,-4%,-3%,-8%,+44%,+40%,+13%,-1%,-100%,-100%,7,+42%,C,+42%,,,,,,,,,,,,1,,,,,,,,,
