,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
53,Triangle Comtois - Crous Languedoc Roussillon - 250g,00013819,,['Crous Languedoc Roussillon'],['Sandwichs'],['France'],"['PATE A PAIN [farine de BLE ', 'farine de BLE', 'GLUTEN de BLE', 'farine de BLE malité', 'levure désactivée', 'eau', 'dextrose', 'graines de tournesol 1,5%', 'sel', 'levure', 'poudre de BEURRE', 'perméat de LACTOSERUM', 'émulsifiant: E471e', 'GLUTEN de BLE', ' graines de millet 0,3%', 'graines de SESAME O,3%', 'colorant E160aiii', 'agent de traitement de la farine : E300]', 'décor GRAINES 3% [millet 45%', 'SESAME 35%', 'pavot 20%]', ' UR US Garhiture 56% Jambon 35,7% ', 'jambon de porc [origine France]', 'eau', 'sel', 'arômes naturels', 'dextrose', 'bouillon de porc déshydratė [eau', 'os et viande de porc', 'extrait de carotte et extrait de poireau]', 'sirop de glucose', 'chlorure de potassium', 'antioxydant ascorbate de sodium', ' conservateur nitrite de C sodium', 'salade batavia 21,4%', ' tomate 21', '4% COMTE 7,1% ', 'LAIT de vache', 'sel', 'FERMENTS LACTIQUES', 'présure', 'moutarde 7,1% ', 'eau', 'graines de moutarde', 'vinaigre d’alcool', 'sel', 'acidifiant : acide citrique', 'conservateur : DISULFITE de potassium', 'BEURRE léger 7,1% ', 'eau', 'BEURRE', 'amidon modifié E1422', 'amidon de pomme de terre', 'acidifiant : acide lactique', 'sel 0,4%', 'émulsifiants E471', 'épaississant E466', 'conservateur : sorbate de potassium colorant : bêta-carotène', 'arôme naturel']","['E160aiii - Bêta-carotène issu de blakeslea trispora', 'E300 - Acide ascorbique', 'E1422 - Adipate de diamidon acétylé', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E466 - Carboxyméthylcellulose', 'E160ai - Bêta-carotène']","['Gluten', 'Graines de sésame']","[""Pourrait contenir de l'huile de palme""]",4,5.5 g,en quantité modérée,2.6 g,en quantité modérée,2.5 g,en faible quantité,1.3 g,en quantité modérée,?,,182,-24%,761 kj(182 kcal),-25%,"5,5",-47%,"2,6",-24%,"22,6",-9%,"2,5",-23%,"9,6",-9%,"1,3",-2%,"0,52",-2%,3,-61%,C,-61%,,,,,,,,"['Arômes naturels', 'Pur beurre']",,250 g,,,,,,,,,,
54,Marrons au naturel,3770007018038,,,,['France'],[],,,[],,,,,,,,,,?,,179,,749 kj(179 kcal),,"1,3",,"0,2",,39,,9,,3,,"0,1",,"0,04",,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en France']",,,,,,,,,,,,
55,Panettone doppia delizia - Granducale,8002734100300,C,['Granducale'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],,,[],,13 g,en quantité modérée,7.8 g,en quantité élevée,28 g,en quantité élevée,0.34 g,en quantité modérée,?,,358,-4%,1498 kj(358 kcal),-4%,13,-13%,"7,8",-13%,54,+5%,28,+8%,"5,5",-19%,"0,34",-23%,"0,136",-23%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
56,Parówki wieprzowe - Pikok,20062736,,"['Pikok', 'Lidl']","['Viandes', 'Charcuteries', 'Saucisses']","['France', 'Pologne']","['PARÓWKI WIEPR Parówki wieprzowe homogenizowane', 'wędzone', 'parzone', 'w osłonce niejadalnej', ' Składniki: 83% mięso wieprzowe', 'woda', 'sól', 'przyprawy', 'ekstrakty przypraw', 'aromaty', 'błonnik grochowy', 'błonnik pszenny bezglutenowy', 'błonnik z babki jajowatej', 'stabilizator: trifosforany', ' przeciwutleniacz: kwas izoaskorbinowy', ' substancja konserwująca: azotyn sodu', ' Możliwa obecność: selera', 'soi', 'gorczycy', 'mleka ', 'łącznie z laktoza', ' i ich pochodnych', ' Pakowane próżniowo', ' Po otwarciu opakowania przechowywać w lodówce', 'spożyć w ciągu 2 dni', ' Wyprodukowano w Polsce', ' L DL']",,,['Non végétalien'],,23 g,en quantité élevée,8.5 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,?,,267,+5%,1117 kj(267 kcal),+4%,23,+11%,"8,5",+7%,"0,7",-51%,"0,5",-34%,13,-14%,"2,5",+28%,1,+28%,21,+20%,E,+20%,,,,,,,,,,,,,,,,,,,,
57,Fruits secs Amande en poudre - Tresors De Chefs,3663327001982,,['Tresors De Chefs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",['France'],"['AMANDES ', '100%', "" traces éventuelles d'autres FRUITS À COQUE""]",,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,4.5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,628,+1%,2628 kj(628 kcal),+1%,"4,5",-92%,0,-100%,4,-54%,0,-100%,21,-9%,0,-100%,0,-100%,-3,-154%,A,-154%,,,,,,,,,,,,,,,,,,,,
58,Câlin extra - Yoplait,3329770073234,,['Yoplait'],,['France'],[],,,[],,,,,,,,,,?,,61,,255 kj(61 kcal),,"0,1",,"0,1",,"7,7",,"7,7",,"6,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
59,GoldMix gourmandise royale salée - Choucri Hasmani sarl - 500gr,5281036105203,,['Choucri Hasmani sarl'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,500 gr,,,,,,,,,,
60,"Royal Oporto 10 Years Old Port, 1er Pack (1 x 750 ml)",5601109131005,,['Royal Oporto'],,['France'],"['l Tawn was petiently matu eal Companhia Velha', ' Reminiscences of spE fine oak', 'are already forseen', "" It's time to taste Ce superbe Porto a vieilli patientement c Compagnie en développant de reminiscenses de fruits murs et bois de chêne"", ' PRODUIT DU PORTUGAL-PRODUCT OF PORTUGAL MS EN BOUTEILLE PAR/BOTTLED IN 2018 EMBOUTEILLE PAR/BOTTLED BY: REAL COMPANHIA VELHA - V CONTEM SULFITOS CONTAINS SULPHITES 0ONTENT DES SUUFITES-ENTHALT SULFIE CONTIENE SOLFITI BEVAT SULFIETEN KOSERVERINGSSTOFFER SULFITIER LAWIERA SIARCZYNY 5 30110']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,750 ml,,['Bouteille'],,,,,,,,
61,Moutarde au pinot noir - Edmond Fallot,3230140010417,B,['Edmond Fallot'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],,,[],,7.1 g,en quantité modérée,0.8 g,en faible quantité,18 g,en quantité élevée,4 g,en quantité élevée,?,,243,+43%,1017 kj(243 kcal),+43%,"7,1",-34%,"0,8",-2%,32,+364%,18,+366%,"5,5",-16%,4,-15%,"1,6",-15%,16,+38%,D,+38%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,
62,viande hachée,20293352,,,"['Viandes', 'Préparations de viande', 'Préparations de viande hachée']",['France'],[],,,[],,4.6 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,?,,129,-41%,540 kj(129 kcal),-41%,"4,6",-71%,"1,6",-75%,0,-100%,0,-100%,22,+45%,"0,1",-92%,"0,04",-92%,-3,-126%,A,-126%,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']","['FR 03.094.007 CE', 'Creuzier-le-Vieux (Allier, France)']",,,,,,,,,,,
63,"Gouda à la truffe noire 1,6%",2480748034112,,,,['France'],[],,,[],,,,,,,,,,?,,369,,1544 kj(369 kcal),,30,,20,,0,,0,,23,,"1,85",,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,
64,Blanc de poulet et salami,3324321275068,,,,['France'],[],,,[],,,,,,,,,,?,,126,,527 kj(126 kcal),,4,,"1,5",,8,,1,,15,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
65,Boite De Tisane Verveine Citron Bio 20 Sachets,3770004965304,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
66,Mission Wraps,8710637105291,,['Mission'],,['France'],[],,,[],,,,,,,,,,?,,304,,1272 kj(304 kcal),,"1,1",,"1,1",,"56,8",,"2,8",,8,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
67,"Milk , Dark & Whitr Selection Box - Marks And Spencer",00047944,,"['Marks And Spencer', 'Marks & Spencer']",,['France'],[],,,[],,,,,,,,,,?,,511,,2138 kj(511 kcal),,"27,3",,"18,1",,"61,6",,"56,3",,"4,2",,"0,2",,"0,08",,,,,,,,,,,,,,['FSC-C023337'],,,,,,,,,,,
68,Ocean Bomb Natural Deep Sea Sparkling Water -- Cider Flavour,4712966540099,,['Ocean Bomb'],['es:Refrescos'],"['France', 'Espagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,?,,43,+139%,180 kj(43 kcal),+117%,0,-100%,0,,10,+123%,10,+129%,0,-100%,0,-100%,0,-100%,2,+31%,B,+31%,,,,,,,,,,,,,,,,,,,,
69,Orégano - Ducros,3166291010757,B,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Herbes aromatiques', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Origan', 'Origan séché moulu']","['France', 'Espagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,43.4%,0.0%,30.7%,8.2%,17.7%,0.0%,93,,,,,,,,,,,,,
70,tey,8859095653996,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,g,8859090475050,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Organic protein chocolat - Prozis - 1g,5600854627221,,['Prozis'],,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,394,,1648 kj(394 kcal),,6,,"1,9",,28,,0,,57,,"1,2",,"0,48",,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'PT-BIO-10']",,1 g,,,,,,,,,,
73,"Grand menage, vinaigre d'alcool aromatise citron",3013169000023,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2 melting middle cod fiahcakes - Sainsbury's,01773132,E,"[""Sainsbury's""]","['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Poissons panés de cabillaud']","['France', 'Royaume-Uni']",[],,,[],,9.2 g,en quantité modérée,2.2 g,en quantité modérée,1.6 g,en faible quantité,0.41 g,en quantité modérée,?,,198,+4%,828 kj(198 kcal),+5%,"9,2",+12%,"2,2",+162%,"18,5",+14%,"1,6",+37%,"10,1",-20%,"0,41",-36%,"0,164",-36%,0,,B,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,['MSC-C-50173'],,,"['unknown', 'ps-tray', 'ldpe-film']",,,,,,,,
75,Melodi -  - 400gr,5200117130088,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,400gr,,,,,,,,,,
76,Knorr Chicken Noodle Soup,62811651,,['Knorr'],,['France'],[],,,[],,,,,,,,,,?,,20,,84 kj(20 kcal),,"0,2",,"0,1",,"3,5",,"0,03",,"0,7",,"0,3",,"0,12",,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
77,Pain complet 360g,0208140007679,,,,['France'],[],,,[],,,,,,,,,,?,,199,,833 kj(199 kcal),,"1,1",,"0,2",,37,,"2,7",,"7,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
78,"Hatherwood Joghurt British Style Bitter Orange, Bitish style",20419004,,,,['France'],[],,,[],,,,,,,,,,?,,118,,494 kj(118 kcal),,"3,7",,"2,3",,"16,8",,"16,4",,"3,9",,"0,15",,"0,06",,,,,,,,,,,,,,['DE BY-77 EG'],,,,,,,,,,,
79,Auchan Sprits chocolate con leche,3596710320806,C,['Auchan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sprits']",['France'],[],,,[],,30.6 g,en quantité élevée,17.5 g,en quantité élevée,27.2 g,en quantité élevée,0.6 g,en quantité modérée,?,,532,+1%,2226 kj(532 kcal),+1%,"30,6",+4%,"17,5",+5%,"57,8",-2%,"27,2",+11%,"5,3",-1%,"0,6",+23%,"0,24",+23%,24,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,['Auchan'],,,,,,,,,
80,Spiruline bio,3663479004787,E,,"['Compléments alimentaires', 'Spiruline']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,['Bio'],,,,,,,,,,,,
81,"Clémentine de Corse, calibre 4/5, catégorie 1, France",3760178120159,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Rognons de porc sauce madère et tagli - Le Petit Cuisinier,3356067750240,,['Le Petit Cuisinier'],,['France'],[],,,[],,,,,,,,,,?,,94,,393 kj(94 kcal),,"2,5",,"0,6",,11,,"1,1",,"7,1",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
83,Sauter de porc,3039050542113,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,,
84,Galette des rois,,D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],,,[],,34 g,en quantité élevée,18.1 g,en quantité élevée,12.5 g,en quantité modérée,0.7 g,en quantité modérée,?,,483,+14%,2021 kj(483 kcal),+15%,34,+29%,"18,1",+22%,36,-7%,"12,5",-3%,"7,8",+23%,"0,7",+0%,"0,28",+0%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
85,Sambal oelek,8717677861194,,,,['France'],[],,,[],,,,,,,,,,?,,16,,67 kj(16 kcal),,"0,5",,"0,1",,"2,3",,"1,2",,"0,6",,"8,9",,"3,56",,,,,,,,,,,,,,,,,,,,,,,,,
86,ANANAS,3569880000373,,,,['France'],[],,,[],,,,,,,,,,?,,370,,1548 kj(370 kcal),,0,,0,,93,,77,,1,,"0,725",,"0,29",,,,,,,,,,,,,,,,,,,,,,,,,
87,Crème de marron,3339334000613,,,,['France'],[],,,[],,,,,,,,,,?,,288,,1205 kj(288 kcal),,"0,54",,"0,1",,69,,56,,"1,02",,"0,022",,"0,009",,,,,,,,,,,,,,,,,,,,,,,,,
88,The protein ball co raspberry brownie,0813047020159,,,,['France'],[],,,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,11,,"2,6",,40,,34,,12,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
89,Foie Gras de Canard entier mi-cuit - Terres Paysannes - 250g,3760006970659,B,['Terres Paysannes'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers', 'Foies gras mi-cuits']",['France'],"['Foie Gras de Canard du Sud-Ouest sel', 'poie', 'sucre']",,,[],,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+4%,2276 kj(544 kcal),+4%,56,+3%,24,+3%,"2,2",-6%,"0,9",-43%,"7,5",+9%,"1,3",+12%,"0,52",+12%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['Sans nitrite de sodium', 'Label Rouge']",,250 g,,,,,,,,,,
90,3254560032125,3254560032125,,,"['Non alimentaire', 'Open Pet Food Facts']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Mélange Sambahia,2600223016604,,,,['France'],[],,,[],,,,,,,,,,?,,465,,1946 kj(465 kcal),,18,,"6,6",,"65,9",,"12,7",,8,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
92,Au temps d'eugenie,3760082198589,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Haricots Blancs - Provinces Gastronomie - 660g,3574316020382,A,['Provinces Gastronomie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes secs', 'Haricots', 'Légumineuses en conserve', 'Haricots blancs', 'Haricots en conserve', 'Haricots blancs en conserve']",['France'],"['Haricots blancs lingots secs trempés', 'eau', ""graisse d'oie 3%"", 'tomates', 'sel']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,,,3.4 g,en quantité modérée,,,,,?,,?,,,,?,,"3,4",+1738%,?,,,,?,,,,,,,,,,16.9%,36.6%,17.6%,8.0%,13.1%,7.8%,91,['Point Vert'],,660 g,,"['Bocal', 'Verre']",,,,['France'],,,,
94,Aunt Jemima Syrup Butter Flavor Lite,0030000056202,,['Aunt Jemima'],"['Édulcorants', 'Sirops', 'Sirops simples']","['France', 'États-Unis']","['High fructose corn syrup', 'water', 'cellulose gum', 'salt', 'natural and artificial flavor', 'caramel color', 'sorbic acid and sodium benzoate ', 'preservatives', 'sodium hexametaphosphate']","['E466 - Carboxyméthylcellulose', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E452i - Polyphosphate de sodium']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,,,41.7 g,en quantité élevée,0.875 g,en quantité modérée,?,,167,-42%,699 kj(167 kcal),-42%,0,-100%,,,"43,33",-40%,"41,67",-36%,0,-100%,"0,875",+1396%,"0,35",+1396%,,,,,,,,,,,,,,,,,The Quaker Oats Company,,,,,,,
95,Couronne brioche 6/8p,2020001560639,,,,['France'],[],,,[],,,,,,,,,,?,,378,,1582 kj(378 kcal),,13,,7,,54,,14,,11,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
96,Whisky - Ballantines - 70cl,5000299610718,,['Ballantines'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,70cl,,,,,,,,,,
97,Avoine drink chocolat - Lima,5411788047920,,['Lima'],,['France'],[],,,[],,,,,,,,,,?,,68,,285 kj(68 kcal),,"1,3",,"0,2",,13,,"9,8",,"0,9",,"0,08",,"0,032",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
98,Poisson à la parisienne,3512030018056,,,,['France'],[],,,[],,,,,,,,,,?,,86,,360 kj(86 kcal),,"3,9",,"2,5",,"1,8",,"1,7",,10,,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,
99,Sucre a la vanille,27024829,,,,['France'],[],,,[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,0,,0,,99,,99,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
100,Gnocchi a la pomme de terre - Leaderprice,3263858871315,B,['Leaderprice'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,1.3 g,en faible quantité,1 g,en quantité modérée,?,,167,0%,699 kj(167 kcal),-0%,"0,5",-64%,"0,1",-73%,35,+6%,"1,3",+8%,"4,1",-2%,1,-12%,"0,4",-12%,4,+12%,C,+12%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,,,,,
101,Petit beurre breton,3552085010131,,,,['France'],[],,,[],,,,,,,,,,?,,495,,2071 kj(495 kcal),,"20,8",,"12,5",,69,,25,,7,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
102,Norvège - Labeyrie,3033610076070,E,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],,,[],,12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,?,,198,+7%,828 kj(198 kcal),+7%,12,+14%,"2,5",+21%,"0,6",+21%,"0,6",+80%,22,-0%,"2,9",+3%,"1,16",+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
103,Pure Honey 400GR,8888192901884,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
104,Yaourt aromatisé ferme,3291330008867,,,,['France'],[],,,[],,,,,,,,,,?,,97,,406 kj(97 kcal),,"1,8",,"1,1",,15,,"14,9",,"4,2",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,
105,Wappenlese Weisswein - бяло вино - REWE - 1l,4388860142501,,['REWE'],,"['France', 'Allemagne', 'Suisse']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,1 l,,['Tetra Pak ®'],,,,,,,,
106,Prego Traditional,0051000025487,,,,['France'],"['spice salsa prego tradicional 1214 0z código: cs02549 101 ingredientes: puré de tornate ', 'aqua', 'posta de tomate', 'efr trocitos de tomate en jugo de tomate', 'jorobe de moiz', 'sol', 'aceite vegetal ', 'contiene unoo màs de los siquientes: dw moiz', 'semillo de algodon', 'conolo', 'ajo deshidrotodo', 'polvo de cebollo', 'acido citrico y especies ', 'albohaco', 'orégano', 'sa piconte', ' y perejil deshidrotodo y soborizonte', 'elaborado en estodos unidos por: compbell soup componylmportada! y distribuido por: distribuidora corripio', 'sasdirección: av', ' nühez de cocçeres esa', ' calle 1son geronimo', 'santo dominga', 'r,d', ' teléfono: 809-227-3000 registro sonitario #: 16510']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,"['glass-jar', 'paper-wrapper', 'aluminium-lid']",,,,,,,,
107,Croquettes,5410171002065,,,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,134,,561 kj(134 kcal),,"0,3",,"0,1",,27,,"0,5",,"4,5",,"0,8",,"0,32",,,,,,,,,,,,,['Sans conservateurs'],,,['Delhaize'],,,,,,,,,
108,Gaufre moulée arôme chocolat,3760215891677,,,,['France'],[],,,[],,,,,,,,,,?,,468,,1958 kj(468 kcal),,"28,8",,0,,12,,"5,5",,"28,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
109,Panettone,8005505003190,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],,,[],,14.4 g,en quantité modérée,8.7 g,en quantité élevée,26.5 g,en quantité élevée,0.35 g,en quantité modérée,?,,379,+1%,1586 kj(379 kcal),+2%,"14,4",-4%,"8,7",-3%,"54,1",+5%,"26,5",+2%,"7,1",+4%,"0,35",-21%,"0,14",-21%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
110,Thé english breakfast bio,7290000529707,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
111,Huile de nigelle - Dieti Natura,3700446414641,,['Dieti Natura'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Xtra Grote Hagel Melk Pak 350 Gram,8718906619104,,,,['France'],[],,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,"9,5",,6,,68,,66,,7,,"0,2",,"0,08",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
113,MELANGE JAPONAIS - Casino,3222477064362,,['Casino'],['Mélanges de biscuits soufflés'],['France'],[],,,[],,9.1 g,en quantité modérée,2 g,en quantité modérée,13 g,en quantité élevée,1.3 g,en quantité modérée,?,,420,+5%,1757 kj(420 kcal),+5%,"9,1",+19%,2,+27%,72,+0%,13,+127%,11,+9%,"1,3",+43%,"0,52",+43%,13,+127%,D,+127%,,,,,,,,,,,['Casino'],,,,,,,,,
114,Pain de mie complet,3760017500692,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
115,Saucisson Sec Noisettes,3466250027353,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs aux noisettes']",['France'],[],,,[],,33 g,en quantité élevée,12 g,en quantité élevée,2.1 g,en faible quantité,5 g,en quantité élevée,?,,427,-1%,1787 kj(427 kcal),-1%,33,-7%,12,-10%,"2,1",-20%,"2,1",+39%,22,-13%,5,+14%,2,+14%,25,+2%,E,+2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,
116,Cidre doux - La vie claire,3266191000527,C,['La vie claire'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,
