,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
55,Endive bio,3347762001928,,['Bio'],['France'],[],,[],?,17,71 kj(17 kcal),"0,2","0,05","2,37","1,72","1,03","0,006","0,002",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",,0.05 g,en faible quantité,1.72 g,en faible quantité,0.006 g,en faible quantité,,+6%,+3%,-43%,-45%,+1%,+32%,-6%,-97%,-97%,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,0.2 g,en faible quantité,-5,,A,,,,,,,,,,,
56,Le Demi-Chou Rouge - Les Nouveaux Producteurs du Nord - 1demi chou,3347762002512,['Les Nouveaux Producteurs du Nord'],"['Fruits et Légumes de France', 'Origine France']",['France'],['Demi-chou rouge'],,[],?,?,,?,,?,,?,,,1 demi chou,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Choux cabus', 'Légumes frais', 'Chou rouge', 'Choux rouges frais']",,,,,,,,,,,,,,,,,,59.0%,0.0%,0.0%,14.5%,17.3%,9.2%,96,,,,,,,,,['Plastique'],,['France'],,,['France'],,
57,Gratin Savoyard au Beaufort AOP et mini diots - C'Pierre Clot - 600g,3347770420094,"[""C'Pierre Clot""]",,['France'],"['Pommes de terre 46%', 'diots 18% ', 'viande de porc', 'gras de proc', 'sel', 'dextrose', 'épices', 'antioxydant : E301', 'conservateur : E250', 'boyau naturel de porc', 'eau', 'crème fraîche 9', '6%', 'Beaufort AOP 4%', 'fécule de pomme de terre', 'lactose', 'protéines de lait', 'sel', 'ail', 'poivre']","['Lait', 'Beaufort']","['Non végétalien', 'Non végétarien']",723,?,723 kj(173 kcal),11,"5,5",12,"1,9",6,"1,12","0,448",600 g,,['Plats préparés'],4,5.5 g,en quantité élevée,1.9 g,en faible quantité,1.12 g,en quantité modérée,+11%,,+8%,+54%,+141%,-10%,-9%,-14%,+19%,+19%,,,,,,,,11 g,en quantité modérée,10,+154%,C,+154%,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",Gratin de pommes de terre au beaufort AOP et mini diots,"['Carton', 'Plastique', 'Frais']",,,"['FR 38.565.001 CE', 'Voreppe (Isère, France)']",['Carrefour'],,,
58,Canistrelli Anis,3347950000023,,,['France'],[],,[],?,497,2079 kj(497 kcal),"22,4","8,5","65,3","26,4","7,3","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Canistrelli aux raisins,3347950000047,,,['France'],[],,[],?,463,1937 kj(463 kcal),"16,8","3,2","69,1","27,8","7,6","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,brassin de Noël - grain d orge - 75cl,3347970000157,['grain d orge'],,['France'],[],,[],?,?,,?,,?,,?,,,75 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Biere Blonde - Grain d orge,3347970001444,['Grain d orge'],,['France'],[],,[],?,0,0 kj(0 kcal),?,0,?,0,0,0,0,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,,,,,,,-100%,-100%,,-100%,,-100%,-100%,-100%,-100%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,"['Bouteille', 'Verre']",,,,['Magasins U'],,,
62,Bière blonde pur malt - Grain d'Orge - 6x25cl,3347970011245,"[""Grain d'Orge""]","['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Eau', ""malt d'orge"", 'malt de blé', 'houblons', 'antioxydant : acide ascorbique']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,6x25 cl,B,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières sans gluten', 'Bières blondes', 'Bières bio']",3,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,['E300 - Acide ascorbique'],,"['Carton', 'Bouteille', 'Verre']",,,,['Carrefour'],,,
63,Thaler d'epeautre au fromage,3347972444126,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,[],?,348,1456 kj(348 kcal),"7,1","1,8","55,9","2,7",12,"1,95","0,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Saint-Emilion Vieux Verdot - 75cl,3348008822178,['Vieux Verdot'],,['France'],['Raisins noirs'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,75cl,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",3,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,Bordeaux,['Bouteille verre'],,['Bordelais'],,['Gamm vert'],"['Saint-Emilion', 'Gironde']",,
65,Fromage blanc Silhouette 0% - Yoplait,3348261005011,['Yoplait'],,['France'],['Lait écréme reconstitué ? Protéines de lait - Conservateur : Sorbate de potassium - Ferments lactiques - Présure'],['Lait'],[],?,57,238 kj(57 kcal),"0,1","0,1","5,9","5,9","6,8","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
66,Dolce vita,3348261208757,,,['France'],[],,[],?,171,715 kj(171 kcal),"7,3","5,1","22,2","19,3","4,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Yaourt brassé nature façon grecque - Yoplait,3348261208818,['Yoplait'],,['France'],['Reconstituted whole milk - Cream - Lactic cultures'],['Lait'],[],?,119,498 kj(119 kcal),"9,2","5,8","4,3","4,3","3,9","0,16","0,064",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts à la grecque', 'Yaourts brassés nature']",,5.8 g,en quantité élevée,4.3 g,en faible quantité,0.16 g,en faible quantité,,+49%,+51%,+98%,+92%,-9%,-2%,-3%,+32%,+32%,,,,,,,,9.2 g,en quantité modérée,4,+180%,C,+180%,,,,,,,,,,
68,Yop - Yoplait,3348261604528,['Yoplait'],,['France'],[],,[],?,79,331 kj(79 kcal),"2,2","1,5","11,4","11,3","2,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Yaourt sucré vanille,3348261941104,,,['France'],[],,[],?,87,364 kj(87 kcal),"2,1","1,3","12,3","12,2","3,8","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Aromatisé fraise - Tennessee Farm,3348261942040,['Tennessee Farm'],,['France'],[],,[],?,88,368 kj(88 kcal),"2,2","1,3","12,5","12,4","3,8","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Aromatisé citron/mangue - Tennessee Farm,3348261942064,['Tennessee Farm'],,['France'],['Yaourt sucré aromatisé mangue • Citron Mango • Lemon Flavoured yoghurt Ingrédiens : Lait écrémé reconstitué Lait entier reconstitué Sucre - Arôme mangue arôme naturel de citron - Ferments lactiques Ingrédients Reconstituted skimmed milk reconstituted whole milk Sugar mango flavour or natural lemon flavour lactic cultures'],,[],?,89,372 kj(89 kcal),"2,1","1,5","12,6","12,5","3,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Yaourt coco,3348261982015,,,['France'],[],,[],?,88,368 kj(88 kcal),"2,2","1,3","12,5","12,4","3,8","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Noir de tanzanie 75% - Lapita,3348266301606,['Lapita'],,['France'],[],,[],?,584,2443 kj(584 kcal),"46,9","28,2","25,1","21,6","8,1","0,02","0,008",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,28.2 g,en quantité élevée,21.6 g,en quantité élevée,0.02 g,en faible quantité,,+5%,+5%,+19%,+22%,-35%,-32%,+6%,-57%,-57%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,46.9 g,en quantité élevée,21,-1%,E,-1%,,,,,,,,,,
74,Chocolat - Lapita,3348266301613,['Lapita'],,['France'],"['Sucre', 'Beurre de cacao', 'Poudre de lait entier', 'Pâte de cacao Papouasie - Nouvelle-Guinée', 'Émulsifiant: lécithine de soja', 'Arôme naturel de vanille', ' Cacao:33% mini']",,['Non végétalien'],?,572,2393 kj(572 kcal),"38,4","23,1","47,1",46,"7,9","0,23","0,092",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",4,23.1 g,en quantité élevée,46 g,en quantité élevée,0.23 g,en faible quantité,,+3%,+4%,+11%,+18%,-9%,-6%,+10%,-1%,-1%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,38.4 g,en quantité élevée,28,+10%,E,+10%,['E322i - Lécithine'],,,,,,,,,
75,Noir aux pépites à l'orange - Lapita,3348266301712,['Lapita'],,['France'],[],,[],?,562,2351 kj(562 kcal),"42,2","25,4","30,4","27,2","7,4","0,07","0,028",,C,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs à l'orange""]",,25.4 g,en quantité élevée,27.2 g,en quantité élevée,0.07 g,en faible quantité,,+7%,+7%,+23%,+23%,-30%,-27%,+10%,+80%,+80%,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,42.2 g,en quantité élevée,23,+7%,E,+7%,,,,,,,,,,
76,Chocolat - Lapita,3348266301729,['Lapita'],,['France'],[],,[],?,555,2322 kj(555 kcal),"34,9","21,1","52,5",51,"7,1","0,22","0,088",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au caramel', 'Chocolats au lait au caramel']",,21.1 g,en quantité élevée,51 g,en quantité élevée,0.22 g,en faible quantité,,+1%,+1%,+4%,+3%,-2%,-0%,+8%,-44%,-44%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,34.9 g,en quantité élevée,26,-3%,E,-3%,,,,,,,,,,
77,Lait aux céréales craquantes - Lapita,3348266301767,['Lapita'],,['France'],"['Sucre', 'Poudre de lait entier', 'Beurre de cacao', 'Pâte de cacao', 'Céréales biscuitées 10%: Farine de blé', ' Sucre', ' Malt de blé', ' Amidon de blé', ' Bicarbonate de sodium ', 'Poudre à lever', ' Sel', ' Beurre de cacao', ' Arôme naturel de vanille', 'Emulsifiant :lécithine de soja', 'Arôme naturel de vanille', ' Cacao:31% mini Fabriqué sur un équipement qui traite également des produits contenant du lait', 'du soja', 'des arachides et autres fruits à coques', 'céréales à gluten ', 'blé']","['Gluten', 'Fruits à coque', 'Arachides', 'Soja']",['Non végétalien'],?,533,2230 kj(533 kcal),"30,4","18,3","56,7","54,5","7,5","0,47","0,188",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux céréales', 'en:cereal-milk-chocolates']",4,18.3 g,en quantité élevée,54.5 g,en quantité élevée,0.47 g,en quantité modérée,,+1%,+1%,+3%,+2%,-0%,+12%,+3%,+22%,+22%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,30.4 g,en quantité élevée,28,+7%,E,+7%,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",,,,,,,,,
78,Lapita cuisine noir 53% - 200g,3348266301804,['Lapita'],,['France'],[],,[],?,532,2226 kj(532 kcal),"33,4",20,"47,9","45,1","5,4","0,02","0,008",200 g,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,20 g,en quantité élevée,45.1 g,en quantité élevée,0.02 g,en faible quantité,,-4%,-4%,-15%,-13%,+24%,+42%,-30%,-57%,-57%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,33.4 g,en quantité élevée,26,+23%,E,+23%,,,,,,,,,,
79,Miel de Fleurs - Yves Bruneau - 500g,3348450000070,['Yves Bruneau'],['AOP'],['France'],[],,[],?,320,1339 kj(320 kcal),0,0,78,78,1,0,0,500 g,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de Corse']",,0 g,en faible quantité,78 g,en quantité élevée,0 g,en faible quantité,,+10%,+9%,-100%,-100%,-2%,+11%,+257%,-100%,-100%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,0 g,en faible quantité,,,,,,,,,"['France', 'Corse']",,,,,
80,Côtes de porc Échine,3348580000087,,"['Viande Française', 'Viande Porcine Française']",['France'],[],,[],?,213,891 kj(213 kcal),15,7,"0,5","0,5",19,"0,2","0,08",,E,"['Viandes', 'Porc', 'Côtes de porc']",,7 g,en quantité élevée,0.5 g,en faible quantité,0.2 g,en faible quantité,,+10%,+11%,+28%,+47%,-32%,+18%,-2%,-78%,-78%,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,15 g,en quantité modérée,3,-56%,C,-56%,,,,,,,,,,
81,rillon de confit de canard à la landaise,3348580040878,,"['Sans additifs', 'Sans conservateurs']",['France'],[],,[],?,462,1933 kj(462 kcal),45,16,"1,8","0,5",13,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Chipolatas,3348580040922,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs']",['France'],[],,[],?,229,958 kj(229 kcal),22,"8,8",1,1,15,"1,8","0,72",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,8.8 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,,-4%,-4%,+16%,+22%,-15%,+58%,-3%,0%,0%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,22 g,en quantité élevée,17,+2%,D,+2%,,,,,,"['EMB 56010B', 'Baud (Morbihan, France)', 'EMB 56610B', 'FR 56.010.001 CE', 'Baud (Morbihan, France)']",,,,
83,"Merguez boeuf mouton JEAN FLOC'H, 6 pieces",3348580040946,,['Sans conservateurs'],['France'],[],,[],?,299,1251 kj(299 kcal),26,12,"2,2","1,6",14,"2,4","0,96",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,12 g,en quantité élevée,1.6 g,en faible quantité,2.4 g,en quantité élevée,,+14%,+14%,+21%,+31%,+4%,+39%,-2%,+26%,+26%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,26 g,en quantité élevée,23,+22%,E,+22%,,,,,,,,,,
84,Saucisses volaille,3348580041196,,,['France'],[],,[],?,181,757 kj(181 kcal),13,"5,2","5,2",1,15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)']",,,,
85,Mousse de canard supérieure pur canard,3348580043244,,,['France'],[],,[],?,334,1397 kj(334 kcal),30,12,4,3,12,"1,1","0,44",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",,12 g,en quantité élevée,3 g,en faible quantité,1.1 g,en quantité modérée,,-17%,-16%,-22%,-15%,+26%,+55%,+29%,-25%,-25%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,30 g,en quantité élevée,18,-12%,D,-12%,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)']",,,,
86,Saucisse strasbourg -  - 1kg,3348580050914,,,['France'],[],,[],?,275,1151 kj(275 kcal),25,10,"1,5","0,5",11,"1,6","0,64",1 kg,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,10 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+0%,+0%,+3%,+8%,+5%,-56%,-13%,-18%,-18%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,25 g,en quantité élevée,19,-1%,E,-1%,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)']",,,,
87,Lardons Fumes 1kg - Jean Floc'h - 1kg,3348580050990,"[""Jean Floc'h""]",,['France'],"['POITRINE DE PORC', 'SIROP DE GLUCOSE', 'ACIDIFIANTS ', 'ACETATE DE LACTATE DE POTASS LIM', 'ANTIOXYDANtS ', 'ERYTHORBATE DE ASCORBATE DE SODIUM', 'CONSERVATEUR ', 'NITRITE DE SODIUM', 'DEXTROSE', 'AROME NATUREL', 'FUMAGE AU BOIS DE CONSOMMER CUIT A COEUR ORIGINE UE']",,"['Non végétalien', 'Non végétarien']",?,284,1188 kj(284 kcal),24,8,2,1,15,"2,5",1,1 kg,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",4,8 g,en quantité élevée,1 g,en faible quantité,2.5 g,en quantité élevée,,+6%,+8%,+11%,-3%,+144%,+56%,-9%,-6%,-6%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,24 g,en quantité élevée,20,0%,E,0%,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
88,Jambon cuit,3348580051553,,,['France'],[],,[],?,116,485 kj(116 kcal),4,"1,6",2,"1,5",18,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)']",,,,
89,Saucisses Format XXL - Jean Floc'h - 3kg,3348580051867,"[""Jean Floc'h""]","['Viande-francaise', 'Viande Porcine Française', 'Point Vert', 'Sans conservateurs', 'en:produced-in-bretagne']",['France'],"['Viande de porc 90 %', 'eau', 'sel', 'acidifiants lactate de potassium', 'acétate de sodium', 'dextrose', 'arômes naturels', 'épices,', 'antioxydants ', 'érythorbate de sodium', 'acide ascorbique', ' Boyau naturel de porc']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1163,?,1163 kj(278 kcal),25,10,1,1,13,"1,8","0,72",3 kg,,"['Viandes', 'Charcuteries', 'Saucisses']",4,10 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,+9%,,+9%,+20%,+26%,-30%,+33%,-14%,-8%,-8%,,,,,,,,25 g,en quantité élevée,19,+9%,E,+9%,"['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E316 - Érythorbate de sodium', 'E300 - Acide ascorbique']",Saucisses Format XXL,"['Frais', 'Plastique']",,['France'],"['FR 56.010.001 CE', 'Baud (Morbihan, France)', 'EMB 56010D', 'Baud (Morbihan, France)']",,"['France', 'Bretagne', 'Baud']",,
90,Andouillette pur porc,3348580052413,,"['Viande Française', 'Viande Porcine Française']",['France'],[],,[],?,223,933 kj(223 kcal),17,"6,8",1,1,18,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)', 'EMB 56140', 'Moréac (Morbihan, France)', 'EMB 56140A', 'Moréac (Morbihan, France)']",,,,
91,Saucisson ail fume -,3348580056404,,,['France'],[],,[],?,286,1197 kj(286 kcal),26,10,1,"0,5",12,"2,5",1,,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,10 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,+5%,+4%,+17%,+17%,-9%,-30%,-25%,+18%,+18%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,26 g,en quantité élevée,22,+14%,E,+14%,,,,,,,,,,
92,10 chipolatas supérieures aux herbes - Jean Floc'h,3348580059900,"[""Jean Floc'h""]","['Sans colorants', 'Produit en Bretagne']",['France'],[],,[],?,229,958 kj(229 kcal),22,"8,8",1,1,15,"1,8","0,72",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,8.8 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,,-8%,-8%,+9%,+15%,-21%,+61%,0%,+2%,+2%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,22 g,en quantité élevée,17,-1%,D,-1%,,,,,,"['EMB 56010', 'Baud (Morbihan, France)']",,,,
93,Rôti cuit supérieur aux herbes,3348580063846,,"['Viande-francaise', 'Viande-porcine-francaise']",['France'],[],,[],?,132,552 kj(132 kcal),4,"1,6",1,"0,5",23,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)']",,,,
94,Noix de jambon au poivre - Lidl,3348580067127,['Lidl'],,['France'],"['Jambon de porc ', 'origine franc', 'eau', 'sel', 'arômes naturels', 'dextrose', 'bouillon ', 'eau', 'os et viande de porc', 'extrait de carotte et de poireau', 'sirop de glucose', 'chlorure de potassium', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium', 'enrobage de surface ', 'poivre']",,"['Non végétalien', 'Non végétarien']",?,111,464 kj(111 kcal),3,"1,2",1,"0,5",20,"1,9","0,76",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,['Lidl'],,,
95,Coca Cola Zero sucre,3348630001064,['Coca Cola'],,['France'],"['EAU GAZÉIFIÉE', 'COLORANT ', 'E150d', 'ACIDIFIANTS ', '838', '831', 'ARÔME', 'ÉDULCORANTS E950', 'E211', 'CAFEINE', ' CONTIENT DE LA CAFÉINE', ' CONTIENT DE LA PHÉNYLALANINE', ' MIS EN BOÎTE PAR LA SOCIÉTÉ 7 FRÈRES CHARPENTIER', 'MONTRAVEL', '321', 'NOUVELLE-CALÉDONIE', 'RC ', 'TEL 27 22 44', ""AVEC L'AUTORISATION DE THE COCA-COLA COMPANY"", ""PROPRIÉTAIRE MARQUES DÉPOSÉES 'COCA-COLA ZERO'"", 'ET LA']",,[],"1,4",0.3,"1,4 kj(0 kcal)",0,0,"0,1",0,"0,05","0,11","0,044",,,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",4,0 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-30%,-70%,-30%,-100%,-100%,+22%,-100%,+47%,+610%,+610%,,,,,,,,0 g,en faible quantité,1,+2%,B,+2%,"[""E150d - Caramel au sulfite d'ammonium"", 'E950 - Acésulfame K', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
96,Coca-Cola Zero,3348630001095,['Coca-Cola'],,['France'],"['EAU GAZÉIFIÉE COLORANT ', 'E150d', 'ACIDIFIANTS ', 'E338', '831', 'ARbME', 'ÉDULCORANTS ', '051', 'E950', 'CONSERVATEUR ', 'E211', 'CAFÉINE', 'PHENYLALANINE']",['E150d'],[],?,0,0 kj(0 kcal),0,0,"0,1",0,"0,05","0,011","0,004",,,"['Boissons', 'Boissons édulcorées']",4,0 g,en faible quantité,0 g,en faible quantité,0.011 g,en faible quantité,,-100%,-100%,-100%,-100%,-96%,-100%,-61%,-68%,-68%,,,,,,,,0 g,en faible quantité,0,-100%,B,-100%,"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
97,Coca zero - Coca Cola,3348630001101,['Coca Cola'],,['France'],"['BOISSON RAFRAICHISSANTE AVEC ÉDULCORANTS : EAU GAZÉIFIÉE', 'COLORANT ', 'E150d', 'ACIDIFIANTS ', '838', '831', 'E951', 'E950', 'CONSERVATEUR ', 'E211', 'CAFÉINE', ' CONTIENT DE LA 2240 CHARPENTIER', 'MONTRAVEL', 'B', 'P', ' 321', 'NOUMÉA', 'NOUVELLE-CALÉDONIE RC']",,[],"1,4",0.3,"1,4 kj(0 kcal)",0,0,"0,1",0,"0,05","0,011","0,004",,,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",4,0 g,en faible quantité,0 g,en faible quantité,0.011 g,en faible quantité,-30%,-70%,-30%,-100%,-100%,+22%,-100%,+47%,-29%,-29%,,,,,,,,0 g,en faible quantité,1,+2%,B,+2%,"[""E150d - Caramel au sulfite d'ammonium"", 'E951 - Aspartame', 'E950 - Acésulfame K', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
98,Coca cola Zero,3348630001231,['Coca Cola'],,['France'],"['EAU GAZÉIFIE', 'COLORANTS ', 'E150d', 'ACIDIFIANTS ', 'E338', 'E331', 'AROME', 'ÉDULCORANTS ', 'E951', 'E951', ' CONTIENT DE LA PHÉNYLALANINE']",,[],"1,4",0.3,"1,4 kj(0 kcal)",?,0,"0,1",0,"0,05","0,028","0,011",,,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",4,0 g,en faible quantité,0 g,en faible quantité,0.028 g,en faible quantité,-30%,-70%,-30%,,-100%,+22%,-100%,+47%,+81%,+81%,,,,,,,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E951 - Aspartame']",,,,,,,,,
