,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,manufacturing,traceability_code,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,labels,producer_info,brand_owner,palm_ingredients,link,origin_detail
74,Céréales Go Lean Crunch - Kashi - 52g,0018627597636,"['Canada', 'France']","['MÉLANGE DE SEPT CÉRÉALES ENTIÈRES ET DE SÉSAME ', 'GRAINS ENTIERS : BLÉ ROUX', 'RIZ BRUN', 'ORGE', 'TRITICALE', 'AVOINE', 'SEIGLE', 'SARRASIN', 'GRAINES DE SÉSAME', 'FLOCONS DE SOYA', ' SIROP DE RIZ BRUN', 'SIROP DE CANNE À SUCRE SÉCHÉ ', 'RACINE DE CHICORÉE ', 'INULINE', 'AVOINE ENTIÈRE', 'HUILE DE CANOLA EXTRAITE PAR PRESSION', 'MIEL', 'SEL', 'CANNELLE', 'MÉLANGE DE TOCOPHÉROLS ', 'POUR CONSERVER LA FRAÎCHEUR', ' CONTIENT DES INGRÉDIENTS DU BLÉ', ""DE L'ORGE"", 'DU TRITICALE', ""DE L'AVOINE"", 'DU SEIGLE', 'DU SÉSAME ET DU SOYA']",['Non végétalien'],?,384.6154,1609 kj(384 kcal),"5,769","0,769","71,154","23,077","17,308",,,52g,,['Kashi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,,,,"['Gluten', 'Avoine', 'Graines de sésame', 'Soja']",3,5.77 g,en quantité modérée,0.769 g,en faible quantité,23.1 g,en quantité élevée,0.457 g,en quantité modérée,,+11%,+10%,+1%,-51%,+21%,+306%,+83%,"0,457",+52%,"0,183",+52%,6,+268%,C,+268%,,,,,,,,['E306 - Extrait riche en tocophérols'],,,,,,
75,Country vegetable soup - M&S,00107952,"['France', 'Royaume-Uni']",[],[],?,28,117 kj(28 kcal),"0,7","0,4","4,2","2,3","0,6",,,,"['pp-pot', 'pp-lid']",['M&S'],,,,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,"0,5",,"0,2",,,,,,,,,,,,,,['en:gluten-free'],,,,,
76,Dark Chocolate Corn Thins 4 x (130g) - Sainsbury’s,00156318,"['France', 'Espagne']","['dark chocolate ', '54%', ' ', 'cocoa mass', 'sugar', 'cocoa butter', 'anhydrous milk fat', 'emulsifier: soya lecithin', ' flavouring', 'corn ', '45%', 'sea salt', 'high oleic sunflower oil', 'emulsifier: sunflower lecithin', 'Dark chocolate contain: cocoa solids 53% minimum']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",?,1957,8188 kj(1957 kcal),"17,7","10,3","67,7",23,7,,,130g,['Plastic'],"['Sainsbury’s', ""By sainsbury's""]",['Chocolate snack'],,,,,,4,17.7 g,en quantité modérée,10.3 g,en quantité élevée,23 g,en quantité élevée,0.37 g,en quantité modérée,,,,,,,,,"0,37",,"0,148",,22,,E,,,,,,,,,['E322i - Lécithine'],"['Végétarien', 'en:Sin gluten']",,,,,
77,Creme de marrons - Clement faugier,0022314015136,['France'],"[""châtaignes d'Ardèche AOP "", '50%', 'sucre', 'sirop de glucose', 'eau', 'extrait naturel de vanille Préparé avec 50g de fruits pour 100g Teneur totale en sucres : 60g pour 100g']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,270,1130 kj(270 kcal),"0,8","0,2","63,6","50,2","1,3",C,,,,['Clement faugier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,,,,4,0.8 g,en faible quantité,0.2 g,en faible quantité,50.2 g,en quantité élevée,0.01 g,en faible quantité,,+8%,+8%,+7%,+38%,+6%,+1%,+18%,"0,01",-47%,"0,004",-47%,11,-4%,D,-4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,,,
78,Apricot Halves in Light Syrup - Del Monte - 420g,0024000024385,"['Belgique', 'France', 'Allemagne', 'Italie']","['ABRICOTS', 'EAU', 'SIROP DE GLUCOSE-FRUCTOSE', 'SUCRE', 'AFFERMISSANT: CHLORURE DE CALCIUM']","['Sans huile de palme', 'Végétalien', 'Végétarien']",256,58,256 kj(58 kcal),0,0,13,12,"0,04",A,,420 g,"['Conserve métallique', 'steel-can']",['Del Monte'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Produits à tartiner', 'Petit-déjeuners', 'Aliments à base de plantes en conserve', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Fruits en conserve', 'Confitures et marmelades', 'Fruits au sirop', 'Confitures', ""Confitures d'abricot"", 'Abricots au sirop', 'Abricots au sirop appertisés']",,['Greece'],,"['Delhaize', 'Netto']",,4,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,0.4 g,en quantité modérée,-7%,-18%,-14%,-100%,-100%,-12%,-13%,-91%,"0,4",+848%,"0,16",+848%,-2,,A,,29.9%,36.7%,16.9%,8.5%,8.0%,0.0%,96,"['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",,,,,,
79,Fruit snacks - Welch's,0034856909811,"['France', 'Espagne']","['fruit puree ', 'grape', 'peach', 'pear', 'banana', 'mango', 'kiwi and passión fruit', 'corn syrup', 'sugar', 'modified corn starch', 'gelatin', 'citric acid lactic acíd', 'natural and artificial flavors', 'ascorbic acid ', 'vitamin c', 'alpha tocopherol acetate ', 'vitamin E', 'vitamin A palmitate', 'sodium citrate', 'coconut oil', 'carnauba wax', 'annatto ', 'color', 'turmeric ', 'color', 'red 40', 'and blue 1,']","['Non végétalien', 'Non végétarien']",?,80,335 kj(80 kcal),0,0,20,11,0,E,,,,"[""Welch's""]","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,,,,4,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0.1 g,en faible quantité,,-77%,-77%,-100%,-100%,-75%,-81%,-100%,"0,1",-13%,"0,04",-13%,2,-86%,B,-86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E428 - Gélatine', 'E270 - Acide lactique', 'E331 - Citrates de sodium', 'E903 - Cire de carnauba', 'E160b - Rocou', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,,,,,
80,"Pressed pinapple, apple, peach & passion fruit juice - M & S",00390811,"['France', 'Royaume-Uni']","[""Jus d'ananas du Costa Rica "", '52%', ' Jus de pomme ', '28%', ' Purée de pêche ', '14%', ' Jus de fruit de la passion ', '6%', ' CONSEILS Servir de préférence frais', ' Ce produit peut se dissocier naturellement', ' Bien secouer avant utilisation', ' CONSERVATION']",[],?,47,197 kj(47 kcal),"0,1","0,1","11,11","10,9","0,4",C,,,,['M & S'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,,['FSC-C081801'],['Marks & Spencer'],,1,0.1 g,en faible quantité,0.1 g,en faible quantité,10.9 g,en quantité élevée,0.1 g,en faible quantité,,+4%,+5%,-37%,+276%,+7%,+13%,+19%,"0,1",+852%,"0,04",+852%,5,-26%,C,-26%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,
81,2% Milkfat Reduced Fat Milk - marks and Spencer,00392990,['France'],"['Wheatflour contains Gluten ', 'With Wheatflour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', ' - Green Olives - Water - Extra Virgin Olive Oil - Salt - Wheat Fibre ', 'contains Gluten', ' - Dried Fermented Wheatflour ', 'contains Gluten', ' - Wheat Gluten - Yeast ', 'Yeast - Vitamin D Yeast', ' - Dried Red Chilli Flakes - Cracked Black Pepper - Dried Oregano', ' Suitable for vegetarians']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,50,209 kj(50 kcal),"1,875","1,25",5,"4,583","3,333",,,,,['marks and Spencer'],,,,,['Marks & Spencer'],['Gluten'],4,,,,,,,,,,,,,,,,,"0,12",,"0,048",,,,,,,,,,,,,,['Végétarien'],,,,,
82,Ginger preserve - Wilkin & Sons - 340g e,0043647340016,"['France', 'Royaume-Uni']","['Sucre', 'Gingembre', ""Gélifiant : pectine d'agrumes"", ""régulateur d'acidité : acide citrique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,270,1130 kj(270 kcal),0,0,66,65,0,C,,340 g e,"['Verre', 'Bocal']","['Wilkin & Sons', 'Tiptree']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de gingembre']",,['Angleterre'],,,,4,0 g,en faible quantité,0 g,en faible quantité,65 g,en quantité élevée,0.02 g,en faible quantité,,+12%,+12%,-100%,-100%,+10%,+15%,-100%,"0,02",-32%,"0,008",-32%,12,-4%,D,-4%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E440 - Pectines', 'E330 - Acide citrique']",,,,,,
83,Smucker's Organic Peanut Butter Creamy - 2tbsp,0051500053300,['France'],"['ORGANIC ROASTED PEANUTS', 'CONTAINS 1% OR LESS OF SALT']",[],?,18,"75,3 kj(18 kcal)","1,6","0,2","0,5","0,1","0,8",C,,2 tbsp,['Glass'],"[""Smucker's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",['États-Unis'],"['Orrville', 'OH']",['5150005330'],,,1,1.6 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,,-97%,-97%,-97%,-98%,-97%,-98%,-97%,"0,2",-62%,"0,08",-62%,-1,-109%,A,-109%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,"['Bio', 'en:USDA Organic']",,,,,
84,Heritage Flakes Kamut Wheat - Nature s path - 375g,0058449770206,"['France', 'États-Unis']","['Kamut khorasan wheat flour*', 'wheat bran*', 'whole wheat meal*', 'cane sugar*', 'whole oat flour*', 'spelt flour*', 'barley flour*', 'whole millet*', 'barley malt extract*', 'quinoa*', 'sea salt', 'honey*']",[],?,400,1674 kj(400 kcal),"3,75",0,"77,5","12,5","12,5",B,,375g,,['Nature s path'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,,,,3.75 g,en quantité modérée,0 g,en faible quantité,12.5 g,en quantité modérée,1.06 g,en quantité modérée,,+0%,+0%,-57%,-100%,+16%,-25%,+34%,"1,062",+198%,"0,425",+198%,0,-100%,B,-100%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,"['Bio', 'Bio européen', 'en:USDA Organic', 'AB Agriculture Biologique']",,NATURE'S PATH,,,
85,Barre California Avec Amandes - Taste of Nature - 40g,0059527401555,"['Belgique', 'France', 'Suisse']",[],[],1989,447,1989 kj(447 kcal),25,"2,7",40,26,"11,8",,,40 g,['Barre'],['Taste of Nature'],['Snacks; barres énergétiques.'],,,,,,,25 g,en quantité élevée,2.7 g,en quantité modérée,26 g,en quantité élevée,0.04 g,en faible quantité,,,,,,,,,"0,04",,"0,016",,7,,C,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,
86,Cheese oatcakes - Nairns - 200g,0061232201948,['France'],"['Organic Wholegrain Oats ', '68%', 'Organic Brown Flaxseed ', '8%', 'Organic Sunflower Seeds ', '6%', 'Oat Protein', 'Organic Sustainable Palm Fruit Oil', 'Organic Tapioca Starch', 'Organic Sunflower Oil', 'Organic Chia Seeds ', 'Salvia Hispanica', ' ', '2%', 'Sea Salt', 'Raising Agent: Sodium Bicarbonate', ' Allergy Advice: For allergens', 'including cereals containing gluten', 'see ingredients in bold', ' Our factory is nut free and our recipe is wheat and nut free', ' We cannot guarantee our ingredients are wheat and nut free', 'Manufactured on equipment that handles milk Our oatcakes are made With Sustainable Palm Fruit Oil']",[],?,472,1975 kj(472 kcal),"26,6",12,"44,7","0,6","13,6",B,,200 g,['paper-carton'],['Nairns'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Crackers au froment']",,,,,,,26.6 g,en quantité élevée,12 g,en quantité élevée,0.6 g,en faible quantité,2.8 g,en quantité élevée,,+2%,+1%,+34%,+121%,-25%,-85%,+37%,"2,8",+40%,"1,12",+40%,20,+30%,E,+30%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['E500ii - Carbonate acide de sodium'],"[""À l'huile de tournesol"", 'en:Bio', 'en:Sans sucre ajouté']",,,,,
87,Sel De Table - Windsor - 1kg,0066010001055,"['Canada', 'France']","['SALT', 'CALCIUM SILICATE', 'SUGAR', 'POTASSIUM IODIDE']",['Sans huile de palme'],?,0,0 kj(0 kcal),0,0,0,0,0,B,,1 kg,,['Windsor'],"['Epicerie', 'Condiments', 'Sels', 'Sels de table']",,,,,,2,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,96.5 g,en quantité élevée,,,-100%,-100%,-100%,-100%,-100%,-100%,"96,5",+38%,"38,6",+38%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,['E552 - Silicate de calcium'],,,,,,
88,Sardine Fillets in Spring Water - Brunswick - 106Gr,0066613000097,"['Canada', 'France', 'États-Unis']","['HERRING', 'SPRING WATER CONTAINS: HERRING']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,130,544 kj(130 kcal),7,"1,5",0,0,17,D,Sardines,106 Gr,['Canned fish'],['Brunswick'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Filets de poissons', 'en:Sardines-in-spring-water']",['Canada'],,,['Superstore'],['Poisson'],1,,,,,,,,,,,,,,,,,"0,5",,"0,2",,,,,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,BRUNSWICK,,,
89,Pure prot - Pure Protein,0067002307780,['France'],"[""farine d'arachide"", 'glycérine', 'gélatine', 'sirop de maltitol', 'concentré de protéines de lactosérum', 'isolat de protéines de soja', 'eau', 'maltitol', 'arachides', 'huile de palmiste modifiée', 'isolat de protéines de lactosérum', 'collagène', ""huile d'arachide"", 'sucre', 'arôme', 'amidon de tapioca', 'cacao', 'carbonate de calcium', 'sel', 'sucralose ', '168 mg/barre de 50 g', 'lécithine de soja', ""beurre d'amande"", 'isolat de protéines de lait', ' contient du lait', 'du soja', 'des arachides', 'des sulfites et des amandes', ' peut contenir des noix de cajou et des graines de sésame']","['Non végétalien', 'Non végétarien']",?,400,1674 kj(400 kcal),12,6,32,12,40,,,,,['Pure Protein'],,,,,,,4,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,"['E422 - Glycérol', 'E428 - Gélatine', 'E965 - Maltitol', 'E955 - Sucralose']",['en:gluten-free'],,,['Huile de palme'],,
90,Almond Smooth Butter Smooth - Nuts to You Nut Butter Inc.,0068892236525,['France'],['Dry-roasted almonds'],[],?,190,795 kj(190 kcal),18,2,6,0,6,C,,,,['Nuts to You Nut Butter Inc.'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', 'Beurres de noix']",,,,,,,18 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-69%,-69%,-64%,-73%,-56%,-100%,-74%,0,-100%,0,-100%,-1,-111%,A,-111%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,['Sans gluten'],,,,,
91,Linguine - Marks & Spencer,00671651,['France'],[],[],?,353.75,1480 kj(353 kcal),"1,375","0,375","89,375",2,"12,25",C,,,,['Marks & Spencer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Linguine']",,,,,,,1.38 g,en faible quantité,0.375 g,en faible quantité,2 g,en faible quantité,0.125 g,en faible quantité,,+3%,+3%,-19%,+3%,+33%,-28%,-2%,"0,125",+466%,"0,05",+466%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,['Fabriqué en Italie'],,,,,
92,Coors Light Beer,0071990301033,['France'],"['16 fl', 'oz', '1 pint beer - 473ml ©2015 coors brewing co,', '6olden', 'co 80 ouestions? 1,800,642,6116 coorslight,com serving facts: serving size: 12 fl oz ', '355mlt 114 servings/container', 'per serving 4,2% àlc/vol: cat: 102', 'carbs: 5g fat og: protein: <1g government warning: ', '1', ' according to the surgeon general', 'women should not drink alcoholic beverages during pregnancy because of the risk of birth defects', '2', ' consumption of alcoholic beverages impairs your ability to drive a car or operate machinery', 'and may cause health problems', 'ia or t me ct-ma-hih-hy 54-m 106 ca can please recycle 60615a 4 la 846231-10015607 urn blue ckies®']",[],?,102,427 kj(102 kcal),0,0,0,0,1,C,,,,['Coors'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,+132%,+131%,-100%,-100%,-100%,-100%,+150%,0,-100%,0,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,
93,Kimchee ramen - NongshimSamyang,0074603003287,['France'],"['ngredients laatrour refined palm ol', 'modifed tapioca starchins 1420', 'refined salt', 'emulsifierisoy lecithine322', 'l acidoity unaasm caronathendtiol sodum carinonatereso0', '0', 'sodium phosphate dibasicie390', 'citric acidieioil thicener rargmin12 grin tea ramor olinature-dentical', ' kum on', 'canbage salt not pepper powder garlic ginger', 'salt', 'flavour enhancerimonosodium l-gutamate nmsonkiloderatosoy sauce powder wnite sugar mixed sicy powderichill garlic', 'onion', 'yeast powder dred ool rd pepper powder acdity regolatoridl malic acid', 'e296', 'dried komchi flakes', 'napa cabbage', 'salt', 'red pepper powoer gark gn emorusdoneslack pepper powoer red pepper seed oil', 'paprika', 'nature identical garlic flavor', 'caramel powder contains wneat gluten soy alleers ror allerensaease se ingredients in rold manufactured in afacility that also processes celeries', 'cereals containing guiten mlx mastari nuts peanutis sesame seeds andsoy products storage store ina cool dry place avoid direct sunlight', ' sest refore as shown on package zutaten sur nentes almol mooszerte tapiocastárkeons 1420', 'raffiniertes salz emulgatorisojalecthine322', 'sllatoramlarronatieso ', 'natrnumkarbonatiesoo', 'zweibasisches natriumphosphatte390', 'zitronensaureie330 sooungsmitsgiargumme12 gronter genchmanosolinaturdentisch suppesaopuisichinanoh', 'salz sohapfes prefferpulver anoblauch ingmer', 'salz geschmacisverstarnerl mononatrumglutamatesz1', 'wcoroyusczvenchll', 'knoblauch', 'zmedal hefepuvergetrooineter pak a', ' vr e 삼양식품', '주', ': imported by ruche entervatioral wanufactured by/hergestellt von/geproduceerd door/fabrioque par samyang foods co', 'ltd', ' 104', 'opaesan-ro-3-gil', 'seongbuk gu', 'seoul korea made in korea/hergestellt in korea/gemas www', 'samyangfoods', 'com tel  913324557133/malrchn sing long fo00 productrs sdn su mvat mgalar tradiag ca', ' no awihar strtalik townsvangon man ique en corde samyang ', 'aus', ' pty ltd 20 postle st cdopers plans qld 410']",[],1813,433,1813 kj(433 kcal),"15,8","7,5","62,5","2,5",10,,,,['Plastic'],['NongshimSamyang'],['en:Nouilles instantanées'],,['Corée du Sud'],,['Paris Store'],"['Gluten', 'Soja']",,15.8 g,en quantité modérée,7.5 g,en quantité élevée,2.5 g,en faible quantité,4.5 g,en quantité élevée,,,,,,,,,"4,5",,"1,8",,19,,E,,,,,,,,,['E296 - Acide malique'],['Halal'],,,,,
94,Virgin Coconut Oil,0078742149387,['France'],[],[],?,857.1,3586 kj(857 kcal),100,"92,8",0,0,0,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,,,,,100 g,en quantité élevée,92.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-0%,-0%,+3%,+10%,-100%,-100%,-100%,0,-100%,0,-100%,20,+3%,E,+3%,,,,,,,,,,,,,,
95,Hoisin Sauce - Lee Kum Kee - 397g,0078895700022,"['France', 'Allemagne', 'Suisse', 'États-Unis']","['Sucre', ' Eau', 'Pâte de soja Fermentée ', 'Eau', 'Sel', 'soja', ' Farine de Blé', ' SeI', 'Patate Douce Séchée', 'Colorant E150a', ' Amidon de Maïs Modiﬁé', 'Ail Déshydrate', 'Pâte de Sésame', ' Épices', ' Piments Salés', 'Acidiﬁant E260']","['Sans huile de palme', 'Végétalien', 'Végétarien']",956,225,956 kj(225 kcal),1,"0,5",50,49,"1,5",,Hoisin Sauce,397 g,"['Verre', 'Bocal']",['Lee Kum Kee'],"['Epicerie', 'Sauces', 'Sauces hoisin']",,,,,"['Gluten', 'Graines de sésame', 'Soja']",4,1 g,en faible quantité,0.5 g,en faible quantité,49 g,en quantité élevée,17.5 g,en quantité élevée,,+6%,+7%,-47%,+74%,+10%,+18%,-26%,"17,5",+261%,7,+261%,20,+7%,E,+7%,,,,,,,,"['E150a - Caramel E150a', 'E260 - Acide acétique']",,,Lee Kum Kee Co. Ltd.,,,
96,Honey Roasted Cashews - Marks And Spencer - 150g,00770385,['France'],[],[],?,583,2439 kj(583 kcal),43,"6,8","28,2",17,"17,9",E,,150 g,,"['Marks And Spencer', 'Marks & Spencer']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,,,43 g,en quantité élevée,6.8 g,en quantité élevée,17 g,en quantité élevée,0.48 g,en quantité modérée,,-3%,-2%,-7%,-20%,+10%,+162%,-4%,"0,48",-23%,"0,192",-23%,8,+6%,C,+6%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,
97,M&S smoothie mango pineapple & passion friit,00778015,['France'],[],[],?,68,285 kj(68 kcal),"0,5","0,5","14,9","12,4","0,5",,,,,['M&S'],,,,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
98,Farine de Riz - Cock - 400g,0084909000774,"['France', 'Allemagne']","['riz 98%', 'eau 2%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,343,1435 kj(343 kcal),0,0,79,0,"6,8",C,,400g,"['Triman', 'sachet']","['Cock', 'Cock Brand']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']",,['Thailand'],,,,1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,,-3%,-3%,-100%,-100%,+2%,-100%,-1%,"0,02",+68%,"0,008",+68%,0,,B,,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,,,,,
99,Sauce sucrée et epicée pour rouleaux de printemps - Cock Brand - 275ml,0084909015853,"['France', 'États-Unis']","['Sucre 45%', 'eau', 'piment rouge 10%', 'navet', 'carotte', 'sel', 'ail', ""correcteur d'acidité "", 'E260']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,222,929 kj(222 kcal),"0,7","0,2",64,63,"0,8",,Sauce sucrée et epicée pour rouleaux de printemps,275 ml,['Bottle'],['Cock Brand'],"['Epicerie', 'Sauces']",,['Thaïlande'],,['Tang Frères S.A.'],,3,0.7 g,en faible quantité,0.2 g,en faible quantité,63 g,en quantité élevée,5 g,en quantité élevée,,-7%,-6%,-96%,-91%,+546%,+875%,-70%,5,+107%,2,+107%,22,+90%,E,+90%,,,,,,,,['E260 - Acide acétique'],['Point Vert'],,Thai World Import & Export Co.,,,
100,Boisson Aloe Vera - Wang Korea,0087703138315,['France'],"['EAU', 'FRUCTOSE', 'ALOE VERA 7%', 'SUCRE', 'CORRECTEUR ', 'E330', 'ANTIOXYDANTS ', 'E327', 'E300', 'VERA', 'COLORANTS ', 'E133', 'E102', "" LECOLORMTEIQPEVTAVO{RDESEFFEBINDSRABLES SUR L'ACMTEETL'ATT?DESENFAI?S aqAI""]",[],?,38,159 kj(38 kcal),0,0,"9,6","5,2",0,,,,"['Bouteille', 'Plastique']","['Wang Korea', 'Aloe dream']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'en:Jus aloe vera']",['en:Chine'],['Corée'],,['Paris Store'],,4,0 g,en faible quantité,0 g,en faible quantité,5.2 g,en quantité modérée,0.1 g,en faible quantité,,-5%,-5%,-100%,-100%,+14%,-30%,-100%,"0,1",+310%,"0,04",+310%,10,+69%,E,+69%,,,,,,,,"['E330 - Acide citrique', 'E327 - Lactate de calcium', 'E300 - Acide ascorbique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E102 - Tartrazine']",,,,,,
101,Natural Yogurt Fat Free Count On Us - Marks & Spencer,00852111,['France'],"['Yaourt britannique sans matières grasses ', 'Lait', ' • Culture : Bifidobacterium', ' Pour les allergènes', 'voir les ingrédients indiqués en gras', ' Ne convient pas aux personnes allergiques aux fruits à coque et aux arachides en raison des méthodes de fabrication', "" INFORMATION A déguster dans le cadre d'une vie saine complétée par une variée et équilibrée"", ' CONSERVATION']",['Non végétalien'],230,54,230 kj(54 kcal),70,"0,1","7,5","6,6","5,6",,,,['composite-carton'],['Marks & Spencer'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,['Marks & Spencer'],['Lait'],,70 g,en quantité élevée,0.1 g,en faible quantité,6.6 g,en quantité modérée,0 g,en faible quantité,-38%,-41%,-40%,+2041%,-95%,-32%,-35%,+49%,0,-100%,0,-100%,-2,-165%,A,-165%,,,,,,,,,,,,,,
102,Sparkling scottish Mountain water - Simply M&S,00872607,['France'],[],[],?,0,0 kj(0 kcal),"0,1",0,"0,1","0,01","0,1",,,,,['Simply M&S'],,,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
