,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,palm_ingredients,brand_owner,producer_info,origin_detail
29,Mélange d'olives à la provençale - Tropic Apero,3382510001331,,,,,['Tropic Apero'],,,,,,,['France'],"["" Olives d'import tournantes"", 'notres', 'potvron et piment', 'sel', ' oignon', 'huile de tournesol', ' ml', ' acidifiants ', 'E330', 'vinaigre', "" conservateur sulfites / Contient des sulfites 'traces éventuelles anchots"", 'lupin', ' amande ? Valeur nutritionnelle moyenne pour 100 g ? énergje']",['Anhydride sulfureux et sulfites'],[],,,,,,,,,,?,,169,,707 kj(169 kcal),,17,,3,,"0,9",,"0,2",,"1,4",,"4,4",,"1,76",,,,,,,,,,,,,['E330 - Acide citrique'],,,,,
30,Olives vertes dénoyautées à la Provençale aux herbes de Provence - Tropic Apero - 110g,3382510032021,B,,110 g,"['Barquette', 'Plastique']",['Tropic Apero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",,['Maroc'],,,,['France'],"['Olive du Maroc 78%', 'huile de tournesol', 'poivron', 'sel', 'herbes de Provence 0,1%', 'laurier', 'acidifiant E330', 'conservateur : sulfites']",['Anhydride sulfureux et sulfites'],['Sans huile de palme'],3,27.6 g,en quantité élevée,3.6 g,en quantité modérée,0.1 g,en faible quantité,4.58 g,en quantité élevée,1123,+71%,?,,1123 kj(268 kcal),+68%,"27,6",+75%,"3,6",+43%,"3,2",+132%,"0,1",-47%,"0,9",-17%,"4,58",+36%,"1,832",+36%,16,+38%,D,+38%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['E330 - Acide citrique'],['Cora'],,,,
31,Cidre fermier - Le Brun - 75cl,3383790000014,B,Cidre fermier brut,75 cl,"['Bouteille', 'Verre']",['Le Brun'],"['Boissons', 'Boissons alcoolisées', 'Cidres']","['IGP', 'en:produced-in-bretagne', 'Déconseillé aux femmes enceintes']","['France', 'Bretagne']",['PLOVAN'],,,['France'],['pommes à cidre'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,
32,"Hachés de veau Façon Bouchère, extra tendre - Tendriade - 4x 100g",3384480031899,,,4 x 100 g,['Frais'],['Tendriade'],"['Viandes', 'Steaks', 'Steaks hachés', 'Viandes de veau']",,,,,,['France'],[],,[],,,,6 g,en quantité élevée,0.5 g,en faible quantité,0.12 g,en faible quantité,?,,207,+16%,866 kj(207 kcal),+16%,?,,6,+38%,?,,"0,5",+61%,"17,5",+5%,"0,12",-82%,"0,048",-82%,,,,,,,,,,,,,,,,,
33,Mon coulis de framboise - Fruits Rouges & Co,3385630003001,,,,,['Fruits Rouges & Co'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de framboise']",,,,,,['France'],"['Framboise 83%', 'sucre 17 %']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0.01 g,en faible quantité,?,,105,-20%,439 kj(105 kcal),-20%,"0,5",+81%,0,-100%,20,-29%,20,-24%,"1,2",+36%,"0,01",-38%,"0,004",-38%,0,-100%,B,-100%,,,,,,,,,,,,,
34,Framboises - Fruits Rouges & Co. - 125g,3385630010375,C,Framboises Adelita Catégorie 1,125 g,"['Barquette', 'Plastique']",['Fruits Rouges & Co.'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Framboises', 'Framboises fraîches']",,['Maroc'],,,http://www.fruitsrougesandco.com/,['France'],['Framboises Adelita'],,[],,0.36 g,en faible quantité,0 g,en faible quantité,4.26 g,en faible quantité,0.009 g,en faible quantité,183,,?,,183 kj(44 kcal),+10%,"0,36",+11%,0,-100%,"4,26",-26%,"4,26",+26%,"1,28",+31%,"0,009",+189%,"0,004",+189%,-10,,A,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,,['Boucheries André'],,,,
35,Snacks - Croc Me,3385970017102,,,,,['Croc Me'],,,,,,,['France'],"['Semoule de maïs 55%', 'pomme de terre déshydratée ', 'dont conservateur : disulfite de sodium ou sulfite acide de sodium', 'farine de blé', 'matière grasse végétale de palme', 'sel 1,79%', "" Traces d'arachide et de lait A conserver dans un endroit frais et sec""]",['Gluten'],['Huile de palme'],,,,,,,,,,?,,458,,1916 kj(458 kcal),,15,,6,,72,,"1,2",,"7,2",,"1,7",,"0,68",,,,,,,,,,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition']",['Magasins U'],,,,
36,Choucroute gourmande - Les Braserades Guy Dupuis - 820g,3387620058558,C,"Chou cuisiné, rondelles de saucisson fumé supérieur cuit, tranche de poitrine de porc fumée cuite, saucisses fumées supérieures cuites, saucisses de Francfort cuites.",820 g,"['Frais', 'Barquette', 'Plastique']","['Les Braserades Guy Dupuis', 'Les Brasérades', 'Guy Dupuis']","['Plats préparés', 'Frais', 'Plats préparés frais', 'Choucroutes', 'Plats préparés à réchauffer au micro-ondes', 'Choucroutes garnies']",['Point Vert'],,['France'],"['FR 60.341.011 CE', 'Lagny-le-Sec (Oise, France)']",,['France'],"['Chou 61 %', 'viande de porc 22 %', 'eau', 'jus de cuisson', 'sel', 'matière grasse animale', 'vin blanc', 'conservateur : E250 E326 E262', 'stabilisant : E450 E451 E452', 'plantes aromatiques', 'poireau', 'arômes', 'épices', 'arômes naturels', 'dextrose', 'plasma de porc', 'antioxydant E300 E301 E316', 'aromates ', 'MOUTARDE', 'vin rouge ', 'SULFITES', 'exhausteur de goût E621', 'acidifiant E575', 'arôme de fumée', 'boyau naturel de porc et mouton coloré E160b']","['Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,12 g,en quantité modérée,4.4 g,en quantité modérée,0.8 g,en faible quantité,2.3 g,en quantité élevée,?,,141,+24%,590 kj(141 kcal),+26%,12,+42%,"4,4",+38%,"2,3",+5%,"0,8",+37%,"6,4",+17%,"2,3",+74%,"0,92",+74%,13,+130%,D,+130%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E326 - Lactate de potassium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone']",['Carrefour'],,,,
37,Crepes maison - Ar Vilin Goz - 550g,3387800020108,B,,550 g,"['Sachet', 'Plastique']",['Ar Vilin Goz'],"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']","['Point Vert', 'Fabrication artisanale']",,,,,['France'],"['Farine de blé', 'lait frais œufs', 'sucre', 'beurre 1,88%', 'sel', 'huile de tournesol']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],3,5.3 g,en quantité modérée,2.6 g,en quantité modérée,19 g,en quantité élevée,0.8 g,en quantité modérée,?,,249,-14%,1042 kj(249 kcal),-15%,"5,3",-31%,"2,6",-11%,43,-8%,19,-7%,"6,5",-15%,"0,8",+2%,"0,32",+2%,11,+5%,D,+5%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,
38,12 Crêpes Bretonnes - Les Hermines,3387801000123,,,,,['Les Hermines'],,['Sans conservateurs'],,,,,['France'],"['Farine de Froment', 'sucre', 'œufs', 'lait en poudre écrémé ', 'lactosérum', 'protéines de lait', 'sirop de glucose', 'dextrose', ' beurre concentré ', 'dont carotène ', 'E106A', ' 6%', 'farine de sarrasin', 'sel', 'arôme vanille', ' SANS CONSERVATEUR']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,383,,1602 kj(383 kcal),,"8,9",,5,,"65,8",,"25,7",,"8,9",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,
39,Préparation de Fruits Fraises - St. Dalfour - 284g e,3388600000062,D,,284 g e,"['Verre', 'Pot', 'Bocal']",['St. Dalfour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises', 'Preparations-a-base-de-fruits']","['Sans colorants', 'Sans conservateurs']",,,,,"['France', 'Suisse']","['Fraises 51%', 'sucres extraits de fruits', 'gélifiant: pectines de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.8 g,en faible quantité,0.01 g,en faible quantité,50.2 g,en quantité élevée,0.03 g,en faible quantité,893,-3%,?,,893 kj(213 kcal),-2%,"0,8",+232%,"0,01",-78%,52,-2%,"50,2",-1%,"0,5",+13%,"0,03",+32%,"0,012",+32%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['E440 - Pectines'],,,,,
40,Rhapsodie de fruit Abricots - St. Dalfour - 284g,3388600000369,,,284 g,,['St. Dalfour'],,"['Sans colorants', 'Sans conservateurs']",,,,,"['France', 'Suisse']","['Abricots 51%', 'jus de fruits concentrés', 'raisin', 'datte', ' 48%', 'gélifiant : pectine', 'jus de citron']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,894,,?,,894 kj(214 kcal),,"0,8",,"0,01",,52,,"49,9",,"0,5",,"0,05",,"0,02",,,,,,,,,,,,,['E440 - Pectines'],,,,,
41,Curry Madras - La conquête des saveurs - 55g,3390126000259,B,,55 g,"['Plastique', 'Boîte']",['La conquête des saveurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']",,,,,,['France'],"['Curcuma', 'coriandre', 'fenugrec', 'ail', 'sel', 'piment', 'fenouil', 'poivre']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,['Géant'],,,,
42,Sucre glace - Jean Hervé - 260g,3390390001686,A,Sucre glace,260 g,"['Pot', 'Verre']",['Jean Hervé'],"['Édulcorants', 'Sucres', 'Sucres glaces']","['Bio', 'Bio-dynamie', 'Demeter']",,,,,['France'],['Sucre de canne roux demeter'],,[],,0 g,en faible quantité,0 g,en faible quantité,99.3 g,en quantité élevée,0 g,en faible quantité,?,,398,+5%,1665 kj(398 kcal),+5%,0,-100%,0,-100%,"99,3",0%,"99,3",+5%,0,-100%,0,-100%,0,-100%,14,-1%,D,-1%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,['Bio14'],,,,
43,Pâtes D'amandes Bio - Jean herve - 50g,3390390006551,D,,50 g,['Sachet'],['Jean herve'],"['Massepain', ""Pâtes d'amande""]","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,http://www.jeanherve.fr/fr/pate-d-amande-bio-nature/413-pate-d-amande-nature-bio-3390390006551.html,['France'],"['Sucre de canne roux*', 'Amandes blanches* 41%', 'jus de raisin rectifié concentré*', 'sel de mer', "" *Issu de l'agriculture biologique""]",,[],3,21.4 g,en quantité élevée,1.8 g,en quantité modérée,49.8 g,en quantité élevée,0.05 g,en faible quantité,?,,445,+1%,1862 kj(445 kcal),+1%,"21,4",+28%,"1,8",+1%,"50,8",-22%,"49,8",-18%,"10,9",+74%,"0,05",+30%,"0,02",+30%,14,-10%,D,-10%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,"[""magasin d'usine Jean Hervé""]",,,,
44,Crème de Munster - Val de Weiss - 150g,3390952501500,C,,150 g,"['Couvercle et pot à jeter', 'Opercule à recycler', 'PP 05', 'Frais']",['Val de Weiss'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages fondus']",,,"['Les Fromageries de Blámont', '68650', 'Lapouterie', 'France']","['FR 90.010.001 CE', 'Belfort (Territoire de Belfort, France)']",,['France'],"['Munster ', 'lait', 'eau', 'sels de fonte ', 'E452', 'E450', 'E339']",['Lait'],['Non végétalien'],4,27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2.9 g,en quantité élevée,?,,296,+17%,1238 kj(296 kcal),+17%,27,+34%,18,+34%,"0,5",-91%,"0,5",-88%,14,+20%,"2,9",+46%,"1,16",+46%,18,+16%,D,+16%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition']",['Leader Price'],,,,
45,Pancakes Nature -  - 160g,3392590204232,,,160 g,['Sachet'],,['Pancakes'],,,,,,['France'],"['Farine de blé', 'lait écrémé', 'ceuf entier liquide pasteurisé', 'huiles végétales ', 'colza', 'coco', 'sucre', 'poudres levantes: carbonates de odium', 'diphosphates', 'phosphates de calcium ', 'abeurre en poudre', 'conservateurs: propionate calcium', 'sorbate de potassium', 'sel', 'arôme mille', 'émulsifiant ', 'lécithine de tournesol', ""mono diglycérides d'acides gras"", ',']","['Gluten', 'Lait']",['Non végétalien'],4,14.1 g,en quantité modérée,2.7 g,en quantité modérée,14.3 g,en quantité élevée,1.08 g,en quantité modérée,?,,305,+0%,1276 kj(305 kcal),+0%,"14,1",+53%,"2,7",+36%,"36,6",-11%,"14,3",-12%,"6,9",-25%,"1,08",+7%,"0,432",+7%,12,+10%,D,+10%,,,,,,,,"['E502 - Carbonates', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",['LIDL'],,,,
46,Madeleines royales de Commercy - Clair de lorraine,3393190017468,B,,,,['Clair de lorraine'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,,,['France'],[],,[],,28 g,en quantité élevée,17 g,en quantité élevée,24 g,en quantité élevée,0.56 g,en quantité modérée,?,,473,+7%,1979 kj(473 kcal),+8%,28,+23%,17,+145%,51,-3%,24,-13%,"6,2",+9%,"0,56",-31%,"0,224",-31%,21,+14%,E,+14%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,
47,"""1L Gentiane Fraiche 15 ° Aveze"" - 1l",3394210003430,C,,1 l,"['Bouteille', 'Verre']",['Avèze'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Gentiane']",,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,0.0%,42.1%,42.8%,11.4%,3.6%,0.0%,58,,['Magasins U'],,,,
48,Gratin Savoyard à l'emmental de Savoie - Vanoise - 1kg,3394920376459,B,Gratin de pommes de terre à l'emmental de Savoie,1 kg,"['Frais', 'Plastique', 'Carton']",['Vanoise'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Plats préparés à réchauffer au micro-ondes', 'Gratins de légumes']",['Point Vert'],"['France', 'Savoie']","['France', 'Isère']","['FR 38.565.001 CE', 'Voreppe (Isère, France)']",,['France'],"['Pommes de terre 55 %', 'crème fraîche', 'eau', 'emmental de Savoie 4,4 %', 'lactose', 'protéines de lait', 'amidon modifié de maïs', 'fécule de pomme de terre', 'sel', 'ail', 'poivre', '\rTraces possible de gluten', 'œufs', 'poisson', 'moutarde', 'fruits à coque', 'soja']",['Lait'],"['Non végétalien', 'Non végétarien']",4,6 g,en quantité modérée,4.2 g,en quantité modérée,2.9 g,en faible quantité,0.58 g,en quantité modérée,?,,125,+15%,523 kj(125 kcal),+15%,6,-12%,"4,2",+21%,14,+135%,"2,9",-0%,3,-23%,"0,58",-6%,"0,232",-6%,5,+88%,C,+88%,71.1%,12.3%,5.4%,6.1%,3.0%,2.1%,76,['E14XX - Amidons modifiés'],['LIDL'],,,,
49,Tartiflette au Reblochon de Savoie - Vanoise - 600g,3394920378620,B,,600 g,['Carton'],['Vanoise'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Tartiflettes']",['Label Rouge'],,,,,['France'],"['Pommes de terre 52%', 'Reblochon AOP 20% ', 'lait cru de vache', 'sel', 'ferments lactiques', 'présure', 'colorant de croûte : rocou', 'lardons fumés 1096 ', 'poitrine de porc ', 'origine : France', 'sel', 'dextrose', 'acidifiant : E330', 'antioxydant : E301 ', 'conservateur : E250', 'oignons', 'crème fraîche 6,3%', 'eau', 'fécule de pomme de terre', 'sel', 'poivre', ' ', 'Pourcentages exprimés sur le total de la recette']",['Lait'],"['Non végétalien', 'Non végétarien']",4,9.6 g,en quantité modérée,6.1 g,en quantité élevée,0.7 g,en faible quantité,0.73 g,en quantité modérée,686,+20%,?,,686 kj(164 kcal),+15%,"9,6",+17%,"6,1",+33%,12,+13%,"0,7",-31%,"6,6",+20%,"0,73",-0%,"0,292",-0%,10,+81%,C,+81%,68.3%,16.4%,4.8%,5.7%,2.8%,2.0%,73,"['E160b - Rocou', 'E330 - Acide citrique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
50,Noir Caraïbe 66% cacao - Valrhona - 70g,3395320066780,D,chocolat noir,70 g,['Tablette'],['Valrhona'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Chocolats noirs']",,['France'],,,http://fr.valrhona.com/nos-chocolats.aspx?idArticle=1272&idCategorie=168&nom=CARA%C3%8FBE+66%25&search=,"['Danemark', 'France']","['Fèves de cacao', 'sucre', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'extrait naturel de vanille']",['Soja'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,40 g,en quantité élevée,24 g,en quantité élevée,35 g,en quantité élevée,0.04 g,en faible quantité,?,,572,+3%,2393 kj(572 kcal),+3%,40,+2%,24,+4%,40,+4%,35,+10%,"8,2",+7%,"0,04",-14%,"0,016",-14%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['E322i - Lécithine'],"['vente privée', 'Irma.dk']",,,,
51,Noir GUANAJA70 % - Valrhona - 1kg,3395328093757,E,Chocolat noir de couverture,1 kg,['Sachet plastique'],['Valrhona'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,['France'],"['Fèves de cacao', 'sucre', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'extrait naturel de vanille']",['Soja'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,42 g,en quantité élevée,26 g,en quantité élevée,32 g,en quantité élevée,0.03 g,en faible quantité,?,,572,+3%,2393 kj(572 kcal),+3%,42,+7%,26,+13%,36,-7%,32,+1%,"8,3",+8%,"0,03",-36%,"0,012",-36%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['E322i - Lécithine'],['Venteprivee.com'],,,,
52,Chips croustillantes nature - Sibell - 6 * 30g,3396110100011,B,,6 * 30 g,,['Sibell'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",,,,,,['France'],[],,[],,35.6 g,en quantité élevée,3.2 g,en quantité modérée,0.4 g,en faible quantité,1.2 g,en quantité modérée,?,,555,+4%,2322 kj(555 kcal),+4%,"35,6",+7%,"3,2",+8%,"51,1",+1%,"0,4",-69%,"5,2",-12%,"1,2",-9%,"0,48",-9%,10,-8%,C,-8%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,
53,Flan Vanille Caramel - Bonneterre - 400g (4x 100g),3396410035624,,"Dessert lacté gélifié, à la vanille, nappé de caramel",400 g (4 x 100 g),"['Pots', 'Plastique', 'Frais']",['Bonneterre'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Flans gélifiés']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,"['Bretagne', 'France']","['FR 35.288.001 CE', 'Saint-Malo (Ille-et-Vilaine, France)']",,['France'],"['Lait partiellement écrémé', 'concentré de lait écrémé', 'caramel 9 % ', 'sucre', 'eau', 'sucre de canne', 'extrait naturel de vanille 1 %', 'gélifiant : carraghénanes']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,1.8 g,en faible quantité,1.2 g,en faible quantité,18.7 g,en quantité élevée,0.18 g,en faible quantité,470,-15%,?,,470 kj(112 kcal),-26%,"1,8",-53%,"1,2",-47%,"18,9",-19%,"18,7",+9%,"4,8",+48%,"0,18",+5%,"0,072",+5%,4,-28%,C,-28%,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","[""L'Eau Vive""]",,,,
54,Brioche Tressée - Bonneterre - 300g,3396410046934,B,,300 g,"['Sachet', 'Plastique']",['Bonneterre'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Fabriqué en Vendée']",['France'],"['France', 'Vendée']",,,['France'],"['Farine de blé*', 'levain de pâte* ', 'gluten', 'œufs* ', '12 %', 'huile de tournesol*', 'sucre de canne roux*', 'sucre inverti*', 'eau', 'levure fraîche', 'sel marin de Noirmoutier', 'vinaigre de cidre*', 'farine de blé malté*', ""extrait d'acérola*"", 'épices*', ""* : Issu de l'agriculture biologique""]","['Œufs', 'Gluten']",['Non végétalien'],4,12 g,en quantité modérée,1.5 g,en quantité modérée,10 g,en quantité modérée,1.2 g,en quantité modérée,?,,350,-2%,1464 kj(350 kcal),-2%,12,-6%,"1,5",-76%,51,-1%,10,-31%,"8,6",+7%,"1,2",+20%,"0,48",+20%,10,-38%,C,-38%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,
55,Torsades au Petit Épeautre - Bonneterre - 500g,3396410047733,B,Spécialité céréalière à la semoule semi-complète de petit épeautre issu de l'agriculture biologique,500 g,['Sachet plastique'],"['Bonneterre', 'Distriborg']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Torsades', 'Pâtes de petit épeautre', 'Torsades au Petit Épeautre']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'IT-BIO-009', 'AB Agriculture Biologique', 'Agriculture Italie', 'Eco-Emballages', 'Fabrication Traditionnelle']","['Italie', 'Agriculture Italie']",,,http://www.bonneterre.fr/,['France'],['Semoule semi-complète de petit épeautre'],['Gluten'],[],,2 g,en faible quantité,0.3 g,en faible quantité,2 g,en faible quantité,0.01 g,en faible quantité,1474,,348,+0%,1474 kj(348 kcal),+1%,2,-1%,"0,3",-32%,68,+3%,2,-24%,"11,5",-4%,"< 0,01",-21%,"0,004",-21%,-6,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,
