,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
78,Château roc de boissac - Puisseguin saint emilion - 75cl,3211201068165,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['Puisseguin saint emilion'],75cl,,['France'],,,,,,,,,,
79,Emmental Français Montagnon,0208580014107,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],[],[],32 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.35 g,en quantité modérée,?,,396,+4%,1657 kj(396 kcal),+5%,32,+8%,20,+1%,0,-100%,0,-100%,27,-3%,"0,35",-41%,"0,14",-41%,10,-11%,C,-11%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
80,1/6 Jambon sec,3369571994611,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",['France'],[],[],13.9 g,en quantité modérée,5.6 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,?,,260,+11%,1088 kj(260 kcal),+11%,"13,9",+9%,"5,6",+15%,0,-100%,0,-100%,"33,7",+16%,"2,1",-58%,"0,84",-58%,17,+2%,D,+2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,,,,
81,Petit Cantal Jeune,0205246019650,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Cantal', 'Cantal jeune']",['France'],[],[],29 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,370,+1%,1548 kj(370 kcal),+1%,29,-2%,22,+6%,"0,5",-67%,"0,5",+52%,25,+4%,2,+7%,"0,8",+7%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
82,Pâté de lièvre,3352180001061,,,['France'],[],[],,,,,,,,,?,,271,,1134 kj(271 kcal),,"22,2",,"8,8",,"1,5",,"0,5",,"16,4",,"1,66",,"0,664",,,,,,,,,,,,,['Sans additifs'],,,,,,,,,,,,,,
83,3760021960796,3760021960796,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Escalopes de dinde,0209278020790,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,"['FR 61.096.020 CE', ""Chapelle-d'Andaine (Orne, France)""]",,,,,,,,,,,
85,Carottes -  - 10kl,5413731000105,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,10kl,,,,,,,,,,,,
86,Cranberries - 150g,3701178700088,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",['France'],[],[],1.4 g,en faible quantité,0.1 g,en faible quantité,65 g,en quantité élevée,0.001 g,en faible quantité,?,,308,-9%,1289 kj(308 kcal),-9%,"1,4",+98%,"0,1",-60%,"82,4",+4%,65,-2%,"0,1",-64%,"0,001",-96%,0,-96%,8,+11%,C,+11%,,,,,,,,"['en:gluten-free', 'Sans lactose']",,150 g,,,,,,,,,,,,
87,Miel,9425668101370,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Roquefort AOP Bio,0297063026119,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
89,Saucisse fraiche,2470968039622,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 15.014.038 CE', 'Aurillac (Cantal, France)']",,,,,,,,,,,
90,Steak boeuf,0207637011090,E,"['Viandes', 'Bœuf', 'Steaks de bœuf']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,,,
91,Marbré au chocolat - anchant - 300g,3254160033461,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Anchant'],300g,,,,,,,,,,,,
92,Pâté chouan,3760005220649,,,['France'],[],[],,,,,,,,,?,,1200,,5021 kj(1200 kcal),,19,,7,,"1,6",,"0,5",,16,,"1,5",,"0,6",,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,
93,Comté 20 mois d'affinage FORT DES ROUSSES - JuraFlore,2481234035491,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,23,+6%,0,-100%,0,-100%,27,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['AOP'],['JuraFlore'],,,,,,,['Lait'],3,,,,,
94,6 quenelles volaille avec morceaux de champignons,3104702074622,,,['France'],[],[],,,,,,,,,?,,132,,552 kj(132 kcal),,"7,7",,"4,7",,"11,4",,"1,63",,"3,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
95,chair à saucisses - 510g,2915630005104,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,510 g,,,,,,,,,,,,
96,Blackcurrant,8026365613411,,,['France'],[],[],,,,,,,,,?,,238,,996 kj(238 kcal),,0,,0,,98,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3700790002235,3700790002235,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Cookie chunk - Leclerc,2020002669461,,,['France'],[],[],,,,,,,,,?,,467,,1954 kj(467 kcal),,24,,12,,55,,35,,"5,6",,"0,008",,"0,003",,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,
99,Guimauves au chocolat - Grand Frais - Vrac,2609713034241,,"['Snacks', 'Snacks sucrés', 'Confiseries']",['France'],"['sirop de glucose-fructose', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', 'arôme', 'chocolat au lait ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'LAIT entier en poudre', 'émulsifiant: lécithine de SOJA', 'arôme', 'chocolat blanc ', 'sucre', 'beurre de cacao', 'LAIT entier en poudre', 'émulsifiant: lécithine de SOJA', 'arôme', 'sirop de glucose', 'sucre', 'gélatine', 'Soja', 'arôme', ' Mélange en proportions variables', 'Chocolat au lait : cacao 25% minimum Chocolat blanc cacao 20% minimum Traces possibles de gluten et de sulfites', ' Chocolat noir cacao :35% minimum Fabriqué en France']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Fabriqué en France'],['Grand Frais'],Vrac,,,['Vrac'],['Grand frais'],"['E322i - Lécithine', 'E428 - Gélatine']","['Lait', 'Soja']",4,,,['France'],,
100,merlu,2434904026961,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,tête veau,2426127036018,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Eclair cafe - 350g,0000607019023,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.9%,13.5%,4.8%,3.3%,2.5%,0.0%,64,,,350 g,,,,,,,,,,,,
103,Macarons a la chataigne,3770004261192,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,
104,Pommes de terre,3250391258574,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,,,,,,,,,,,
105,Rôti cuit a l'ancienne,2440508036213,,,['France'],[],[],,,,,,,,,?,,262,,1096 kj(262 kcal),,17,,"6,9",,"1,2",,0,,26,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10 nems crevette,3503040300323,,,['France'],[],[],,,,,,,,,?,,182,,761 kj(182 kcal),,"4,6",,"0,5",,"26,8",,"2,9",,"8,3",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Caffè Latte - Starbucks,5760466445931,,,['France'],[],[],,,,,,,,,?,,70,,293 kj(70 kcal),,"2,6",,"1,7",,"8,9",,"8,5",,"2,8",,"0,08",,"0,032",,,,,,,,,,,,,,['Starbucks'],,,,,,,,,,,,,
108,Fudge au chocolat et vin de glace,0771098006396,,,['France'],[],[],,,,,,,,,?,,428,,1791 kj(428 kcal),,16,,9,,66,,61,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Café Moulu,3526462200095,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,,,
110,Peppero - Lotte,8801062012770,,,['France'],[],[],,,,,,,,,?,,520,,2176 kj(520 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Lotte'],,,,,,,,,,,,,
111,Queue de crevettes crue congelée - PSP - 800g,3379144102138,D,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,['PSP'],800g,,,,,,,,,,,,
112,Croquants d'Auvergne - Biscuiterie de l'Artense - 250g,0764252398703,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",['France'],"['Ingrédients : farine de blé', 'pur beurre 18%', 'oeufs frais entiers', 'sucre']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Pur beurre'],"[""Biscuiterie de l'Artense""]",250 g,"['FR 15.092.002 CE', 'Lanobre (Cantal, France)']",,['sachet plastique'],['Le Village Auvergnat'],,,3,,,"[""Biscuiterie de l'Artense Z.A. 15270 LANOBRE""]",,
113,MÉLANGE VITALITÉ - Grand Frais,2600292019094,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['France'],"['raisin sec golden  ', 'raisin', 'huile de tournesol', 'conservateur : anhydride sulfureux ', 'bleuet séché  ', 'bleuet', 'sucre', 'huile de tournesol ', 'baies de goji séchées', 'baies de physalis séchées  ', 'baies de physalis', 'sucre', 'cranberries séchées ', 'cranberries', 'sucre', ' huile de tournesol ']",[],2.4 g,en faible quantité,0.3 g,en faible quantité,59.4 g,en quantité élevée,0.33 g,en quantité modérée,?,,328,-2%,1372 kj(328 kcal),-3%,"2,4",-65%,"0,3",-87%,"67,8",+17%,"59,4",+37%,"4,2",+2%,"0,33",+276%,"0,132",+276%,3,-37%,C,-37%,,,,,,,,,['Grand Frais'],,,['Importation'],['au détail'],['grand frais'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,3,,,['conditionnement en France'],,
114,Croissants ×10,0200753022964,,,['France'],[],[],,,,,,,,,?,,385,,1611 kj(385 kcal),,21,,14,,40,,7,,"6,9",,"0,92",,"0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,
115,3760061752252,3760061752252,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Brie,0202702012668,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ensemble avec les éleveurs lait des pyrénées. demarche solidaire - Casino,3222476760210,B,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['France'],"['lait demi-écrémé ', 'origine : france']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.5 g,en faible quantité,1.1 g,en faible quantité,4.5 g,en faible quantité,0.1 g,en faible quantité,195,-1%,46,-2%,195 kj(46 kcal),-1%,"1,5",-11%,"1,1",+7%,"4,7",-2%,"4,5",-6%,"3,5",+8%,"0,1",-10%,"0,04",-10%,-1,-2120%,A,-2120%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Casino'],,,,,['Casino'],,['Lait'],1,Lait demi-écrémé stérilisé UHT,,,,
118,Gouda vieux,2885798025323,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas vieux']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
119,Peanut rayu,5392000155503,,,['France'],[],[],,,,,,,,,?,,703,,2941 kj(703 kcal),,71,,"9,6",,"5,8",,"3,2",,"8,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Ginger tea,8935033410316,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,500g,77948786,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
122,Fenouil en graines - La Vie Claire - 30g,3266191021829,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],['La Vie Claire'],30 g,,,,['La Vie Claire'],,,,,,,,
123,Magret de canard du sud ouest,0219007049008,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['IGP'],,,,,,,,,,,,,,
124,saucisson payson - 300g,8413107101952,,,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,30,,12,,"3,8",,"2,4",,24,,"4,3",,"1,72",,,,,,,,,,,,,"['Sans gluten', 'Point Vert']",,300 g,,,,,,,,,,,,
125,2661282010514,2661282010514,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Nerds Mango Chile - Nestlé,0079200931599,,"['Snacks', 'Snacks sucrés', 'Confiseries']","['France', 'États-Unis']","['Dextrose', 'sugar', 'malic acid', 'and less than 2% of corn syrup', 'natural flavor', 'carnauba wax', 'color added', 'yellow 5', 'yellow 5 lake', 'yellow 6']",[],0 g,en faible quantité,14 g,en quantité élevée,93.3 g,en quantité élevée,0 g,en faible quantité,?,,400,-5%,1674 kj(400 kcal),-5%,0,-100%,14,+117%,"93,33",+40%,"93,33",+88%,0,-100%,0,-100%,0,-100%,24,+32%,E,+32%,,,,,,,,,['Nestlé'],,,,,,"['E296 - Acide malique', 'E903 - Cire de carnauba', 'E102 - Tartrazine', 'E110 - Jaune orangé S']",,4,,,,Sunmark,
127,Colorant Gel - Rouge - 20G - Scrapcooking,3700392471316,,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,0,,0,,"56,6",,"49,2",,0,,"1,75",,"0,7",,,,,,,,,,,,,,['Scrapcooking'],,,,,,,,,,,,,
128,Petits biscuits saveur noix de coco,3496720428724,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Coffeeto,8690575910112,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,"1,7",,"1,1",,"9,5",,"9,4",,"1,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Miel,3760253060004,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,cookies framboise chocolat blanc,2008580000005,,,['France'],[],[],,,,,,,,,?,,487,,2038 kj(487 kcal),,26,,17,,57,,35,,"5,5",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Cups au chocolat et beurre d'amande - Hail Merry - 50g,,,['Snacks and desserts'],['France'],"[""Sirop d'érable"", ""beurre d'amande"", ""farine d'amande"", 'cacao', 'huile de noix de coco', 'sel de mer']",[],38 g,en quantité élevée,12 g,en quantité élevée,20 g,en quantité élevée,0.584 g,en quantité modérée,?,,480,,2010 kj(480 kcal),,38,,12,,36,,20,,12,,"0,584",,"0,234",,16,,D,,,,,,,,,,['Hail Merry'],50 g,,['États-Unis'],['Plastique'],,,['Fruits à coque'],3,Chocolat au beurre d'amande,,,,
133,Tagliatelle,8000093243799,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Tagliatelles']",['France'],[],[],1.2 g,en faible quantité,0.2 g,en faible quantité,4 g,en faible quantité,0.22 g,en faible quantité,?,,351,+10%,1469 kj(351 kcal),+10%,"1,2",-49%,"0,2",-67%,72,+19%,4,+98%,12,+9%,"0,22",+75%,"0,088",+75%,-1,,A,,,,,,,,,,,,,,,,,,,,,,,
134,Caramel liquide,8435406703590,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramel liquide']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,55.7 g,en quantité élevée,0.01 g,en faible quantité,?,,292,-18%,1222 kj(292 kcal),-17%,0,-100%,0,-100%,"73,1",+3%,"55,7",-7%,0,-100%,"0,01",-96%,"0,004",-96%,13,-27%,D,-27%,,,,,,,,,,,,,,,,,,,,,,
135,Duo de carottes - Les Crudettes - 200g,3061430008902,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Carottes', 'Légumes frais', 'Légumes préparés', 'Carottes râpées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,['Les Crudettes'],200 g,"['EMB 13018D', 'Cabannes (Bouches-du-Rhône, France)']",,"['Sachet', 'Plastique']",,,,,,,,,
136,Boudin noir traditionnel,2200029029268,,,['France'],[],[],,,,,,,,,?,,267,,1117 kj(267 kcal),,22,,"8,8",,"3,4",,"2,6",,13,,"1,4",,"0,56",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,
137,Pâte à tartiner,51045333,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['France'],[],['Sans huile de palme'],37 g,en quantité élevée,4.9 g,en quantité modérée,46 g,en quantité élevée,0 g,en faible quantité,?,,575,+10%,2406 kj(575 kcal),+10%,37,+15%,"4,9",-40%,51,+1%,46,+5%,"7,1",+14%,0,-100%,0,-100%,21,+2%,E,+2%,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar', 'en:palm-oil-free']",,,,,,,,,,,,,,
138,Magret de canard frais,0275001085084,,['Plats préparés'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 79.114.001 CE', 'Exireuil (Deux-Sèvres, France)']",,,,,,,,,,,
139,Speculoos - Lotus,5410126006254,,,['France'],[],[],,,,,,,,,?,,571,,2389 kj(571 kcal),,"35,7",,"7,9",,"58,8",,"36,2",,"3,2",,"0,6",,"0,24",,,,,,,,,,,,,,['Lotus'],,,,,,,,,,,,,
140,Sundried tomato & basil,00023702,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,"12,3",,"2,9",,"3,9",,"3,2",,"1,4",,"0,5",,"0,2",,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,,,
141,Tarte au pomme,0232250022963,B,"['Tartes', 'Tartes sucrées', 'Tartes aux pommes']",['France'],[],[],8.1 g,en quantité modérée,5.5 g,en quantité élevée,17 g,en quantité élevée,0.32 g,en quantité modérée,?,,882,+257%,3690 kj(882 kcal),+258%,"8,1",-13%,"5,5",+2%,32,-11%,17,-17%,"1,6",-34%,"0,32",+26%,"0,128",+26%,19,+73%,E,+73%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,,,,
142,Fruits rouges & Co framboise,3385630058568,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"0,5",,0,,"4,3",,"4,3",,"1,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Pain cannelle,0048121229054,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']","['France', 'États-Unis']","['Enriched wheat flour [flour', 'malted barley flour', 'reduced iron', 'niacin', 'thiamin mononitrate ', 'vitamin b1', 'riboflavin ', 'vitamin b2', 'folic acid]', 'water', 'sugar', 'soybean oil', 'cinnamon', 'yeast', 'salt', 'wheat', 'gluten', 'monoglycerides', 'calcium propionate and sorbic acid ', 'to preserve freshness', 'datem', 'reb a ', 'stevia leaf sweetener', 'soy lecithin', 'natural flavor', 'soy', 'whey', 'calcium sulfate']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4.69 g,en quantité modérée,0 g,en faible quantité,12.5 g,en quantité modérée,1.34 g,en quantité modérée,?,,312,-5%,1305 kj(312 kcal),-5%,"4,69",-24%,0,-100%,"56,25",+3%,"12,5",+219%,"6,25",-34%,"1,34",+5%,"0,536",+5%,4,-22%,C,-22%,,,,,,,,,,,,,,,"['E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E322i - Lécithine']","['Gluten', 'Lait', 'Soja']",4,,,,"Bimbo Bakeries USA, Inc.",
144,Herbes De Provence - l'Herbier de Provence - 50g,3417960000280,B,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Boissons chaudes', 'Boissons à base de végétaux', 'Plantes aromatiques', 'Produits déshydratés', 'Thés', 'Aliments à base de plantes séchées', 'Infusions', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']",['France'],"['thym ', '30%', 'romarin ', '20%', 'sarriette ', '20%', 'origan vert', 'marjolaine', 'hysope']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Biopartenaire']","[""l'Herbier de Provence"", 'Herbier de France']",50 g,,['France'],,['Biocoop'],,,1,,http://www.arcadie.fr,['Mejannes les Ales'],,
145,Huile de sésame toasté - J. Leblanc,3760109435055,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,['J. Leblanc'],,,,,,,,,,,,,
146,2240697034119,2240697034119,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Poitrine 1/2 sel,2231725089348,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,21,,21,,"0,5",,0,,16,,"1,2",,"0,48",,,,,,,,,,,,,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,,,
148,Pomme alpedor,3565400121153,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
