,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,traceability_code,link,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,brand_owner,origin_detail,producer_info
1139,Crème de cacahuètes - Monki - 650g,8712439030702,C,650 g,"['Bocal', 'Verre', 'métal', 'Glass']",['Monki'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']","['Bio', 'Bio européen', 'NL-BIO-01', 'AB Agriculture Biologique']",,,,,"['Belgique', 'France', 'Allemagne']","['Cacahuètes grillées de culture biologique contrôlée', 'sel marin']",[],?,,617,+3%,49,+2%,17,+18%,27,+10%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,3,2582 kj(617 kcal),7,5,"0,32","0,128",,,49 g,en quantité élevée,7 g,en quantité élevée,5 g,en quantité modérée,0.32 g,en quantité modérée,+3%,-16%,-21%,-40%,-40%,15,+36%,D,+36%,Crème de cacahuètes,,,,
1140,Alsa Moelleux Marbre,8712566121519,,,,['Alsa'],,"['Sans colorants', 'Sans conservateurs', 'Entrepreneurs + Engagés']",,,,['Magasins U'],['France'],"['Towt Qa pnépatation du gâteau ', '415 9', ' : du suote', 'de la bottine de BLÉ A', ' 24%', ""de Q'0%tidoa de BLÉ"", 'de la poudtte à leva : E 575 d cottb0h0ia de sodium', 'du é4qu', 'Qsi6mts : E 471', 'E 472a', 'b', 'e et E 470a', 'de Qa moftodexhiue', 'du pnotéilteo de LAIT', ': 90$flhte xauthaue attôble', "" Pete conteui't : œu6"", ' Et du cacao eu poudtte ', '20 9', ' Peté contena : glLdem', 'laü', 'œu6', ' MCII moeUeux monbné se cousewe daus eudttot bau sec et se cousoeame daus Qu 48 h qui suiveut sa pnépanati0h']","[""Pourrait contenir de l'huile de palme""]",?,,323,,12,,47,,"5,7",,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472a - Ester diacétyl-acétique d'acides gras"", 'E470a - Stéarate de sodium/potassium/calcium']",4,1351 kj(323 kcal),"6,7",28,"0,4","0,16",,"['Gluten', 'Lait']",,,,,,,,,,,,,,,,,,,,,,
1141,Supreme de tomates velouté - Knorr,8712566389674,B,,,['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Tomates et dérivés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de tomates']",,,,,['Delhaize'],"['Belgique', 'France']","['Eau', 'tomatesl 44%', 'amidon de maïs modifié', 'MASCARPONE 2%', 'CRÈME 1,5%', 'sucre', 'sel', 'huile de tournesol', 'extrait de levure', 'BABEURRE en poudre', 'LAIT écrémé en poudre', 'ail', 'poivre noir', 'feuille de laurier en poudre', 'Migan', ' Peut contenir gluten', 'oeufet céleri', "" I issus de l'agriculture durable""]",['Non végétalien'],?,,42,+2%,"1,9",+56%,"5,8",-1%,"0,7",-15%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,3,176 kj(42 kcal),"0,9","3,3","0,8","0,32",,['Lait'],1.9 g,en faible quantité,0.9 g,en faible quantité,3.3 g,en faible quantité,0.8 g,en quantité modérée,+5%,+124%,+10%,+25%,+25%,3,,C,,,,,,
1142,Sweet Strawberries - Look-O-Look - 115g,8713600175000,E,115g,,['Look-O-Look'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']","['Végétarien', 'Végétalien']",,,,,"['France', 'Suisse']","['Sucre', 'sirop de glucose-fructose', 'farine de froment', 'sirop de glucose', 'dextrose', 'amidon modifié', 'huile de palme', 'acidifiants ', 'acide citrique', 'arôme', 'stabilisants ', 'gomme arabique', 'gomme de cellulose', 'concentrés de fruits et de plantes ', 'tomate', 'potiron', 'radis', 'hibiscus', 'carotte', 'pomme', 'colorants ', 'curcumine', 'bleu brillant FCF', 'antioxydants ', 'extrait riche en tocophérols', 'acide ascorbique', ""agent d'enrobage "", ""cire d'abeille blanche""]","['Huile de palme', 'Végétalien', 'Végétarien']",?,,336,-3%,0,-100%,84,+4%,0,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E466 - Carboxyméthylcellulose', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E306 - Extrait riche en tocophérols', 'E300 - Acide ascorbique', ""E901 - Cire d'abeille""]",4,1406 kj(336 kcal),0,53,"0,07","0,028",,['Gluten'],0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0.07 g,en faible quantité,-3%,-100%,-12%,-63%,-63%,14,-3%,D,-3%,,['Huile de palme'],,,
1143,Gaufres Fourrées Goût Caramel - Antoinette patisserie,8714065110605,,,,['Antoinette patisserie'],,,,,,,['France'],"['38% sirop ', 'siropde glucose-fructose', 'sirop de sucre', 'farine de blé', 'sucre', 'graisse de palme', '8% beurre ', 'lait', 'farine de soja', 'huile de colza', 'sel', 'dextrine ', 'blé', 'émulsifiant ', 'lécithine de soja', 'E471 ', 'végétal', 'poudre à lever ', 'E500', 'acidifiant ', 'acide citrique ']","['Huile de palme', 'Non végétalien']",?,,424,,16,,66,,"3,5",,,,,,,,,"['E1400 - Dextrines', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium', 'E330 - Acide citrique']",4,1774 kj(424 kcal),9,36,"0,625","0,25",,"['Gluten', 'Lait', 'Soja']",,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
1144,Carte D'or Les Authentiques Glace Au Café Arabica de Colombie 1400ml - 700g,8714100535752,B,700 g,['1400 ml'],"[""Carte d'Or""]","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['Point Vert'],,,,,['France'],"['LAIT écrémé réhydraté', 'sucre', 'CRÈME fraîche¹ ', '12%', 'sirop de glucose-fructose', 'sirop de glucose', 'LAIT concentré écrémé', 'BEURRE concentré', 'café Arabica de Colombie en poudre ', '1,8%', 'pâte de cacao', 'LACTOSE et protéines de LAIT', 'beurre de cacao', 'sirop de sucre caramélisé', 'arômes', 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'carraghénanes', 'émulsifiant ', ""mono - et diglycérides d'acides gras"", 'extrait de café', ' Peut contenir : œuf', 'gluten', 'fruits à coque', '¹de nos régions françaises']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",967,+7%,231,+5%,9,-17%,34,+30%,"3,1",-7%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,967 kj(231 kcal),6,29,"0,13","0,052",,['Lait'],9 g,en quantité modérée,6 g,en quantité élevée,29 g,en quantité élevée,0.13 g,en faible quantité,+5%,-12%,+29%,-14%,-14%,13,+3%,D,+3%,"Crème glacée café au café Arabica de Colombie (1,8%) avec des morceaux de chocolat aromatisés au café (7%).",,,,
1145,Pastasnack Pilz-rahm-sauce - Knorr - 70g,8714100697092,,70g,['5 PP'],['Knorr'],"['Plats préparés', 'Produits déshydratés', 'Plats à base de pâtes', 'Produits lyophilisés à reconstituer']","['Végétarien', 'Union Végétarienne Européenne']",,,,,"['France', 'Allemagne', 'Espagne']","['60% Teigwaren ', 'HARTWEIZENGRIESS', 'EIKLARPULVER', 'Kartoffelstärke', '6% SAHNEPULVER', 'Palmöl', 'Glukosesirup', 'Aromen ', 'mit Weissweinaroma', 'Speisesalz', '2,1% Pilze ', '1,4% Champignons', 'Steinpilzpulver', 'Butterpilzpulver', 'Hefeextrakt', 'Zwiebeln', 'MIILCHEIWEISS', 'Kochsalzersatz', 'Zucker', 'Petersilie', 'Knoblauch', 'Pfeffer']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,,96,-60%,"2,6",-58%,15,-58%,"2,8",-54%,,,,,,,,,4,402 kj(96 kcal),"1,5","0,9","0,78","0,312",,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,-60%,-45%,-86%,-88%,-88%,,,,,,,,,
1146,Fleischbrühe - Knorr,87111125,,,,['Knorr'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de bœuf', 'Bouillons cubes']",['Point Vert'],['Europe'],,http://www.knorr.com,['Delhaize'],"['Belgique', 'France']","['sel', 'exhausteur de goût ', 'E621', 'E627', 'E631', 'graisse de palme', 'amidon de pomme de terre', 'graisse de poule', 'graisse de palme entièrement hydrogéné', 'arôme', 'extrait de viande de boeuf 2,1%', 'maltodextrine', 'oignon en poudre', 'persil', 'carotte', 'curcuma', 'sirop de caramel', 'antioxygène:extrait de romarin']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,,5,-96%,"0,4",-90%,"0,2",-99%,"0,2",-96%,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E392 - Extrait de romarin']",4,21 kj(5 kcal),"0,2","0,1",1,"0,4",,,0.4 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,1 g,en quantité modérée,-96%,-91%,-97%,-96%,-96%,4,-54%,C,-54%,,['Huile de palme'],,,
1147,Amora Sauce caesar salade & sandwich bouteille 1L - 1000ml,8722700472575,D,1000 ml,"['Plastique', 'bouteille']",['Amora'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces salades', 'Assaisonnements']","['Sans exhausteur de goût', 'Sans colorants artificiels']",,,http://www-unileverfoodsolutions-com.s3.amazonaws.com/ext%2Fdownload%2Fmis%2Ffr%2F8_72270_047257_5_fr.pdf,['Intermarché'],['France'],"['Eau', 'huile de tournesol', 'vinaigre ', 'sucre', 'LAIT écrémé en poudre', ""jaune d'OEUF"", 'ail ', '2', '3%', 'FROMAGE ', '1,7%', 'amidon modifié de maïs', 'sel', 'arômes ', 'dont LAIT', 'acidifiant ', 'acide lactique', 'protéines de LAIT', 'ANCHOIS ', '0,11%', 'POISSON', 'épaississant ', 'gomme xanthane', ',extrait de carthame ,sucre inverti', 'antioxydant ', 'E385', 'jus de citron concentré', 'conservateur ', 'sorbate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",341,-67%,82,-60%,8,-14%,"1,4",-93%,"0,8",-81%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,"['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E415 - Gomme xanthane', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,341 kj(82 kcal),"1,1",1,"0,48","0,192",,"['Œufs', 'Poisson', 'Lait']",8 g,en quantité modérée,1.1 g,en faible quantité,1 g,en faible quantité,0.48 g,en quantité modérée,-62%,-14%,-89%,-95%,-95%,4,-64%,C,-64%,Sauce Salade & Sandwich Caesar,,,,
1148,Barkley's - Tuttle & Co. - 50g,87313277,E,50 g,['Metall'],['Tuttle & Co.'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,['France'],"['Zucker', 'Glucosepulver', 'Süßungsmittel: E420', 'Maltodextrin', 'Geliermittel: E414', 'Aroma', 'Trennmittel: E470b', 'Farbstoffe: E162', 'E160a']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,,385,+8%,"0,9",-52%,98,+18%,"0,5",-76%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E420 - Sorbitol', ""E414 - Gomme d'acacia"", ""E470b - Sels de magnésium d'acides gras"", 'E162 - Rouge de betterave', 'E160a - Carotènes mélangés']",4,1611 kj(385 kcal),"0,9",86,"0,01","0,004",,,0.9 g,en faible quantité,0.9 g,en faible quantité,86 g,en quantité élevée,0.01 g,en faible quantité,+7%,-15%,+48%,-92%,-92%,14,-3%,D,-3%,,,,,
1149,Nouilles Neoguri Ramyun Seafood & Spicy - Nongshim - 120g,8801043157711,B,120 g,"['Sacht', 'Plastique', 'sachet']",['Nongshim'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Plats préparés déshydratés', 'Nouilles instantanées', 'Soupes de nouilles instantanées']","['Sans OGM', 'Sans acides gras trans']",,,,,['France'],"['Nouilles : Farine de blé ', 'Australie', 'fécule de pomme de terre', 'huile de palme', 'assaisonnement ', 'huile de riz', 'sucre', 'seiche', 'anchois', 'émulsifiant : E322 ', 'contient soja', 'crevette', 'sauce de poisson ', 'thon', 'dorade', 'sel', 'liquide de tocophérol ', 'antioxydant : E306', 'émulsifiant : E322 ', 'contient soja', ""correcteur d'acidité : E501"", 'E339', 'E500', 'extrait de thé vert ', 'oligosaccharides', 'cathéchine de thé', 'acidifiant : E330', 'colorant : E101', '\r Poudre de soupe : Assaisonnement ', 'maltodextrine', 'protéines végétales hydrolysées ', 'soja', 'blé', 'sel', 'extrait de levure', 'moule', 'sucre', 'seiche', 'palourde', 'anchois', 'thon', 'crabe', 'crevette', 'bonite à dos rayé', 'sel', 'assaisonnement ', 'maltodextrine', 'piment rouge', 'poivre noir', 'ail', 'sucre', 'exhausteurs de goût : E631', 'E627', 'caramel en poudre ', 'maltodextrine', 'colorant : E150c', 'antiagglomérant : E551', '\r Flocons : varech', 'oignon vert', 'carotte', 'gâteau de poisson ', 'pollachlus', 'seiche', 'amidon de blé']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,,417,+90%,13,+79%,67,+132%,"7,9",+77%,61.6%,18.9%,5.5%,9.0%,3.5%,1.5%,81,"['E322 - Lécithines', 'E306 - Extrait riche en tocophérols', 'E501 - Carbonates de potassium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E101 - Riboflavine', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E551 - Dioxyde de silicium']",4,1745 kj(417 kcal),"6,5","3,8","4,1","1,64","['Corée', 'Corée du Sud']","['Crustacés', 'Poisson', 'Gluten', 'Mollusques', 'Soja', 'Dorade', 'Palourde']",,,,,,,,,+86%,+95%,+118%,+108%,+108%,,,,,Nouilles instantanées fruits de mer et épices,['Huile de palme'],,,
1150,Jin Ramen Piment Doux - Ottogi - 120g,8801045999906,,120 g,"['Sachet', 'Plastique']",['Ottogi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['Corée du Sud'],,,"['Woolworths', 'Paris Store']","['Australie', 'France']","['Nouilles', '106,8g', ': Farine de blé tendre 61%', 'tecule modifiée ', 'pomme de terre', 'tapioca', 'huile de palme', 'fêcule de pomme de terre', 'gluten de blá sel', ' extrait de levure', ""correcteurs d'acidité: E501"", 'E452', 'colorant: E101 Assaisonnement en poudre', '11g', ': Sel', 'sucre', 'exhausteurs de goût: E621', ' EMT E631', 'sauce soja en poudre ', 'soja', 'blé', 'sel', 'protéines végétales hydrolysées ', 'soja', 'blé', 'mais', 'piment rouge', 'pâte de soja en poudre ', 'soja', 'blé', 'extrait de levure en poudre', 'ail en poudre', 'huile de palme en poudre', 'glucose', 'poivre noi', 'dextrine', 'extrait de varech en poudre', 'varech', 'dextrine', 'sel', 'extrait de piment', ' Mélange de légumes séchés', '2,2g', ': Chou chinois', 'protéines végétales texturées ', 'soja', 'blé', 'carotte', 'ciboule', 'champignons shitake', 'algue']",['Huile de palme'],1760,+45%,421,+41%,13,+12%,66,+63%,10,+57%,,,,,,,,"['E14XX - Amidons modifiés', 'E501 - Carbonates de potassium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E101 - Riboflavine', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E1400 - Dextrines']",4,1760 kj(421 kcal),"6,7","3,3","3,9","1,56",['Corée du Sud'],"['Gluten', 'Soja']",,,,,,,,,+40%,+27%,+36%,+49%,+49%,,,,,,,,,
1151,Sauce d'huître Maekrua - Maekrua gold label brand,8850038400080,,,,['Maekrua gold label brand'],"['Epicerie', 'Sauces']",['Point Vert'],,,,,"['France', 'Suisse', 'Royaume-Uni']","[""Extrait d'huîtres 30%"", 'sauce soja ', 'fèves de soja', 'farine de froment', 'sel', 'eau', 'sucre', 'amidon modifié', 'sel iodé', 'amidon de maïs', ""régulateur d'acidité E575"", 'conservateur E211']","['Non végétalien', 'Non végétarien']",?,,67,-72%,0,-100%,16,+61%,"0,7",-74%,,,,,,,,"['E14XX - Amidons modifiés', 'E1414 - Phosphate de diamidon acétylé', 'E575 - Glucono-delta-lactone']",4,280 kj(67 kcal),0,11,"7,6","3,04",,"['Mollusques', 'Soja']",0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,7.6 g,en quantité élevée,-72%,-100%,+70%,+214%,+214%,12,+3%,D,+3%,,,,,
1152,Lait de coco - Thai heritage - 400ml,8850781700055,B,400 ml,"['Can', 'Bocal']",['Thai heritage'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco', 'Boissons sans sucre ajouté']",,,,,,"['Belgique', 'France']","['Coconut', 'Water', 'Stabiliser ', 'E415', 'E435']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,145,-8%,"13,6",-13%,"4,49",+62%,"1,42",+12%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,"['E415 - Gomme xanthane', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition']",4,607 kj(145 kcal),"1,04","3,64","0,1","0,04",,,13.6 g,en quantité élevée,1.04 g,en quantité modérée,3.64 g,en quantité modérée,0.1 g,en faible quantité,-7%,-92%,+117%,+37%,+37%,1,-89%,B,-89%,,,,,
1153,Singha - 1500ml,8850999320007,,1500 ml,['Plastik'],['Singha'],"['Boissons', 'Eaux']",,,,,,"['France', 'Allemagne', 'Thaïlande']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,100% Coconut Water - Tipco - 1L,8851013764494,,1 L,,['Tipco'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",,,,,,"['France', 'La Réunion']",['Eau de coco 1000rnL Eau De Coco'],[],?,,23,+21%,0,-100%,"5,6",+23%,"0,2",+75%,,,,,,,,,,96 kj(23 kcal),0,"5,1",0,0,,,0 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0 g,en faible quantité,+16%,-100%,+41%,-100%,-100%,8,+225%,D,+225%,,,,,
1155,Napój Red Bull Sugarfree 250ML - Redbull - 250ml,9002490200220,,250 ml,['Lata de aluminio'],['Redbull'],"['en:Boissons', 'en:Boissons gazeuses', 'en:Boissons édulcorées', 'en:Boissons énergisantes']",,['en:Estados unidos'],,https://www.redbull.com/mx-es/,"['Walmart', 'bodega aurrera', 'Samsclub', 'Soriana', 'Oxxo']","['France', 'en:Mexique']",[],[],?,,0,,0,,0,,0,,,,,,,,,,,0 kj(0 kcal),0,0,"0,102","0,041",['Estados unidos'],,,,,,,,,,,,,,,,,,,,,,,
1156,Ananas Und Kokos Getränk 25% 1 l Elopak Pfanner,9006900213091,,,,['Pfanner'],['Boissons'],,,,,,"['France', 'Allemagne']",[],[],?,,46,-18%,"0,5",+44%,11,-3%,"0,5",+1%,,,,,,,,,,192 kj(46 kcal),"0,1",11,0,0,,,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,-20%,-15%,+17%,-100%,-100%,15,+96%,E,+96%,,,,,
1157,Baked Beans In Tomate Sauce,9300657007799,B,,,,"['Plats préparés', 'Légumes préparés', 'Haricots à la tomate']",,,,,['Woolworths'],"['Australie', 'France']","['tomato sauce ', '51%', ' [tomatoes ', '24%', 'water', 'sugar', 'maize thickener ', '1422', 'salt', 'food acids ', 'acetic acid', 'citric acid', 'flavours]', 'navy beans ', '49%', ' may be present: soy']",[],?,,355,+290%,"0,5",-13%,13,+6%,"4,8",-3%,17.3%,37.5%,18.0%,13.6%,7.9%,5.7%,96,"['E1422 - Adipate de diamidon acétylé', 'E260 - Acide acétique', 'E330 - Acide citrique']",4,1485 kj(355 kcal),0,"4,7","0,36","0,144",,,0.5 g,en faible quantité,0 g,en faible quantité,4.7 g,en faible quantité,0.36 g,en quantité modérée,+307%,-100%,+91%,-53%,-53%,4,,C,,,,,,
1158,Anchor Pure New Zealand Butter - 454g,9415007302988,,454 g,,['Anchor'],,,,,,,['France'],[],[],?,,72,,"81,1",,"0,6",,"0,6",,,,,,,,,,,301 kj(72 kcal),"48,9","0,6","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,
1159,D'jino,9501100001931,,,,,,,,,,,"['Cameroun', 'France']",[],[],?,,43,,0,,"9,7",,1,,,,,,,,,,,180 kj(43 kcal),0,"9,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,
1160,Nectar orange - kirène - 1L,9501100460073,C,1L,"['Tetra Pak', 'Tetra Brik', 'Tetra Brik Aseptic']",['kirène'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons sans alcool', ""Nectars d'orange""]",,,['FSC-C014047'],,,"['France', 'Sénégal']","['eau', ""concentré de jus d'orange "", 'min 60%', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,52,+33%,?,,?,,?,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,3,218 kj(52 kcal),,,,,,,,,,,,,,,+34%,,,,,,,,,,,,,
1161,Meloui crèpe feuilletée - Bladi - 400g e,9557477771281,,400 g e,"['Sachet', 'Plastique', 'surgelé']",['Bladi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pains', 'Pains spéciaux']",['Halal'],,,,['Magasins U'],['France'],"['Farine de BLÉ 48 %', 'eau', 'margarine [Huiles végétales et-graisses ', 'huile de palme', 'huile des fractions de palme et de la fraction de palme hydrogénée', 'eau', 'sel', 'émulsifiant: ', 'produits à partir de SOJA', 'E471 et E475', 'conservateur: E202', 'arôme', 'antioxydants: E320', 'substances E321 et colorants: E100', 'E160a et E160b]', 'farine de riz', 'sucre', 'sel', 'poudre à lever [amidon de maïs', 'agent levant: E450i', 'E500ii]']",['Huile de palme'],?,,278,-4%,"5,8",+14%,50,+2%,"6,3",-32%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E320 - Butylhydroxyanisol', 'E100 - Curcumine', 'E160a - Carotènes mélangés', 'E160b - Rocou', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",4,1163 kj(278 kcal),"3,8","3,1","0,9","0,36",,"['Gluten', 'Soja']",5.8 g,en quantité modérée,3.8 g,en quantité modérée,3.1 g,en faible quantité,0.9 g,en quantité modérée,-5%,+325%,-30%,-26%,-26%,6,+60%,C,+60%,Crêpe feuilletée nature,['Huile de palme'],,,
1162,Tuile apero gout paprika,3263853190367,B,,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",,,,,,['France'],[],[],?,,490,-4%,"24,8",-16%,60,+8%,4,-9%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,2050 kj(490 kcal),"2,5","6,3","1,3","0,52",,,24.8 g,en quantité élevée,2.5 g,en quantité modérée,6.3 g,en quantité modérée,1.3 g,en quantité modérée,-4%,-26%,+82%,-13%,-13%,14,+4%,D,+4%,,,,,
1163,Pâte à pizza aux céréales complètes - BioBleud - 430g,3531150222051,A,430 g,"['Film en plastique', 'Etui en carton']",['BioBleud'],['Pâtes à pizza'],"['Bio', 'Bio européen', 'PEFC']",,,,,['France'],"['Farine de blé T65""', 'Farines multicéréales ', '30%', ' ', 'farine de blé complète T110""', ""farine d'épeautre semi complète T80"", 'farine de seigle complète T130', ' ', ' Eau ', ' Huile de tournesol désodorisée', ' Poudre à lever ', 'amidon de mais""', 'carbonates de sodium', 'acidifiant : tartrates de potassium', ': Sel de Guérande', ' levain de seigle dévitalisé déshydraté ', '0', '6%', ' Jus de citron concentré', ' Alcool de blé: Levure désactivée déshydratée', ' levure boulangère""', ' Peut contenir des traces de lait et de soja', ' ""Ingrédients issus de l\'Agriculture Biologique']",[],1072,-11%,256,-9%,"5,4",-4%,"44,8",-4%,"7,1",-2%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,"['E500 - Carbonates de sodium', 'E336 - Tartrates de potassium']",3,1072 kj(256 kcal),"0,9","1,2","1,7","0,68",,,5.4 g,en quantité modérée,0.9 g,en faible quantité,1.2 g,en faible quantité,1.7 g,en quantité élevée,-9%,-18%,-26%,+10%,+10%,3,-58%,C,-58%,Pâte Feuilletée avec de la matière grasse végétale,,,,
1164,Fritz kola zuckerfrei,4260107222972,,,,,,,,,,,"['France', 'Allemagne']",[],[],?,,4,,1,,1,,0,,,,,,,,,,,17 kj(4 kcal),1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1165,Flan - Carrefour,3276556237734,,,,['Carrefour'],,,,,,['Carrefour'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
