,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
101,Panzani macaroni aux oeufs 5kg - 5000g,3038350943101,['France'],"['Semoule de BLE dur de qualité supérieure', 'OEUFS ', '14%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1543,364,1543 kj(364 kcal),"3,3","0,9",68,3,14,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,pâtes alimentaires aux œufs,"['Œufs', 'Gluten']",,,,,,,
102,Panzani penne rigate aux oeufs 5kg - 5000g,3038350943804,['France'],"['Semoule de BLE dur de qualité supérieure', 'OEUFS frais ', '14%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1543,364,1543 kj(364 kcal),"3,3","0,9",68,3,14,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,pâtes alimentaires aux œufs frais,"['Œufs', 'Gluten']",,,,,,,
103,Panzani tagliatelle aux oeufs 5kg - 5000g,3038353024906,['France'],"['Semoule de BLE dur de qualité supérieure', 'OEUFS ', '16', '6%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1603,379,1603 kj(379 kcal),4,"0,9",70,"3,2",14,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Film'],,pâtes alimentaires aux œufs,"['Œufs', 'Gluten']",,,,,,,
104,Panzani coquillettes aux oeufs 5kg - 5000g,3038350943002,['France'],"['Semoule de BLE dur de qualité supérieure', 'OEUFS ', '14%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1543,364,1543 kj(364 kcal),"3,3","0,9",68,3,14,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,pâtes alimentaires aux œufs,"['Œufs', 'Gluten']",,,,,,,
105,Panzani couscous etui 1.5kg - 1500g,3038352507608,['France'],"['100% semoule de BLE dur de qualité courante', ' Contient du GLUTEN']",[],1549,366,1549 kj(366 kcal),2,"0,4",73,3,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],1500 g,['Film'],,graines de couscous moyen qualité courante,['Gluten'],,,,,,,
106,Panzani mini serpentini ultra résistante panzani+ 5kg - 5000g,3038350240903,['France'],"['Semoule de BLE dur de qualité supérieure', ""blanc d'ŒUFS "", '1%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1573,371,1573 kj(371 kcal),"1,8","0,3",74,"2,8",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,spécialité céréalière à base de semoule de blé dur et de blanc d'œufs,"['Œufs', 'Gluten']",,,,,,,
107,Panzani fusilli ultra résistante panzani+ 5kg - 5000g,3038350242907,['France'],"['Semoule de BLE dur de qualité supérieure', ""blanc d'ŒUFS "", '1%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1573,371,1573 kj(371 kcal),"1,8","0,3",74,"2,8",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,spécialité céréalière à base de semoule de blé dur et de blanc d'œufs,"['Œufs', 'Gluten']",,,,,,,
108,Panzani penne rigate ultra résistante panzani+ 5kg - 5000g,3038350243805,['France'],"['Semoule de BLE dur de qualité supérieure', ""blanc d'ŒUFS "", '1%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1573,371,1573 kj(371 kcal),"1,8","0,3",74,"2,8",13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,spécialité céréalière à base de semoule de blé dur et de blanc d'œufs,"['Œufs', 'Gluten']",,,,,,,
109,Panzani tagliatelle plate ultra résistante panzani+ 5kg - 5000g,3038350244208,['France'],"['Semoule de BLE dur de qualité supérieure', ""blanc d'ŒUFS "", '1%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1573,371,1573 kj(371 kcal),"1,8","0,3",74,"2,8",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Film'],,spécialité céréalière à base de semoule de blé dur et de blanc d'œufs,"['Œufs', 'Gluten']",,,,,,,
110,Panzani plus mezze penne ultra resistante 5kg - 5000g,3038350245809,['France'],"['Semoule de BLE dur de qualité supérieure', ""blanc d'ŒUFS "", '1%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1573,371,1573 kj(371 kcal),"1,8","0,3",74,"2,8",13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,spécialité céréalière à base de semoule de blé dur et de blanc d'œufs,"['Œufs', 'Gluten']",,,,,,,
111,Panzani spaghetti ultra résistante panzani+ 5kg - 5000g,3038350245007,['France'],"['Semoule de BLE dur de qualité supérieure', ""blanc d'ŒUFS "", '1%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1573,371,1573 kj(371 kcal),"1,8","0,3",74,"2,8",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,spécialité céréalière à base de semoule de blé dur et de blanc d'œufs,"['Œufs', 'Gluten']",,,,,,,
112,Panzani macaroni ultra résistante panzani+ 5kg - 5000g,3038359002441,['France'],"['Semoule de BLE dur de qualité supérieure', ""blanc d'ŒUFS "", '1%', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1573,371,1573 kj(371 kcal),"1,8","0,3",74,"2,8",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,spécialité céréalière à base de semoule de blé dur et de blanc d'œufs,"['Œufs', 'Gluten']",,,,,,,
113,Pz ble nature precuit 5kg - Panzani - 5000g,3038350497901,['France'],['100% BLE dur précuit'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1510,357,1510 kj(357 kcal),"2,1","0,4",66,2,15,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,blé dur précuit,['Gluten'],,,,,,,
114,P+ linguine 3kg /1 - Panzani - 3000g,3038351738607,['France'],"['100% semoule de BLE dur de qualité supérieure', ' Si le numéro de lot contient la lettre N', ""peut contenir de l'œuf""]",[],1531,361,1531 kj(361 kcal),2,"0,3",72,"3,7",12,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],3000 g,['Sac'],,pâtes alimentaires de qualité supérieure - linguine,['Gluten'],,,,,,,
115,Panzani riz indica 10 kg - 10000g,3038353023800,['France'],['100 % riz long grain étuvé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1508,355,1508 kj(355 kcal),"0,9","0,2",79,"0,5",7,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],10000 g,['Sac'],,riz long grain étuvé,,,,,,,,
116,Panzani riz indica 25 kg - 25000g,3038353023701,['France'],['100 % riz long grain étuvé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1508,355,1508 kj(355 kcal),"0,9","0,2",79,"0,5",7,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],25000 g,['Sac'],,riz long grain étuvé,,,,,,,,
117,Panzani maestro riz rond de camargue 5kg - Pz maestro - 5000g,3017491023033,['France'],['100 % riz rond de qualité supérieure - Origine Camargue France'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1505,354,1505 kj(354 kcal),1,"0,3",80,0,6,0,0,,,['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pz maestro'],5000 g,['Sac'],,riz rond de qualité supérieure - Riz rond de Camargue,,,,,,,,
118,PZ RIZ BASM TA 5kg MAESTRO - Pz maestro - 5000g,3017491794001,['France'],['Riz basmati long grain'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1490,351,1490 kj(351 kcal),"0,8","0,4",77,"0,1","8,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pz maestro'],5000 g,['Sac'],,riz basmati long grain naturellement parfumé,,,,,,,,
119,PZ SCE ARRABIATA 2kg MAESTR - Panzani + - 2000g,3038352882606,['France'],"['Légumes ', 'pulpe de tomates et concentré de tomates 71%', 'poivrons rouges 5%', 'oignons 4%', 'eau', ""huile d'olive 2%"", 'amidon transformé', 'sel', 'ail', 'basilic', 'sucre', 'épices 0,13%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",261,62,261 kj(62 kcal),2,"0,3","8,4","5,9","1,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],2000 g,['Brique'],,Sauce tomate épicée,,['E14XX - Amidons modifiés'],4,,,,,
120,"Panzani nutrition puree sans lactose et tres pauvre en sel 4,5kg - 4500g",3038359004919,['France'],"['Pommes de terre 81%', 'LAIT en poudre délactosé 13%', 'amidon modifié de pommes de terre', 'émulsifiant : E471', 'stabilisant : E450', 'arômes', 'antioxydant : E304', 'colorants: curcuma', 'curcumine', ' Contient du LAIT Peut contenir du céleri', ""de l'œuf"", 'de la moutarde,du soja et des sulfites', ' Conditionné sous atmosphère protectrice']","[""Pourrait contenir de l'huile de palme""]",1569,371,1569 kj(371 kcal),"3,3","1,9",71,"5,2",11,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],4500 g,['Film'],,purée de pommes de terre sans lactose et très pauvre en sel,['Lait'],"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E304 - Acide palmityle-6-L-ascorbique', 'E100 - Curcumine']",4,"[""E304 - Palmitate d'ascorbyle""]",,,,
121,Miel de montagne,3760183620156,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Panzani maestro riz parfume thai 2.5kg - Pz maestro - 2500g,3038359008511,['France'],['Riz long grain naturellement parfumé Thaï'],[],1479,348,1479 kj(348 kcal),"0,6","0,2",78,"0,1","7,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pz maestro'],2500 g,['Sac'],,Riz long grain naturellement parfumé Thaï,,,,,,,,
123,"Pz riz special risotto 2,5 - Panzani - 2500g",3038359008627,['France'],['Riz long blanchi Arborio de qualité supérieure'],[],1469,346,1469 kj(346 kcal),1,"0,3",77,"0,1",7,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],2500 g,['Enveloppe'],,Riz long blanchi Arborio de qualité supérieure,,,,,,,,
124,"Panzani riz basmati maestro 2,5kg - Pz maestro - 2500g",3038359008528,['France'],['Riz basmati long grain'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1490,351,1490 kj(351 kcal),"0,8","0,4",77,"0,1","8,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pz maestro'],2500 g,['Sac'],,Riz basmati long grain naturellement parfumé,,,,,,,,
125,Panzani plus boulgour facile 5kg - 5000g,3038359008795,['France'],"['Boulgour précuit ', 'BLE dur précuit', ' 100%', ' Contient du gluten', ' Peut contenir du soja et du sésame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1511,358,1511 kj(358 kcal),"3,4","0,4",64,"2,4",14,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Enveloppe'],,Boulgour précuit,['Gluten'],,,,,,,
126,Panzani lentilles les faciles 5kg - 5000g,3038359008788,['France'],"['100% Lentilles vertes précuites Peut contenir du gluten', 'du soja et du sésame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1390,329,1390 kj(329 kcal),"1,2","0,2",50,1,24,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Enveloppe'],,Lentilles vertes précuites,,,,,,,,
127,Panzani paille en ble dur - 500g,3038359009389,['France'],['BLÉ dur'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],500 g,['Enveloppe'],,Paille en BLÉ dur,['Gluten'],,,,,,,
128,Panzani+ pates mini serpentini salade 5kg - 5000g,3038359010071,['France'],"['Semoule de BLE dur de qualité supérieure', ' Contient du gluten', "" Si le numéro de lot contient la lettre N peut contenir de l'oeuf""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1531,361,1531 kj(361 kcal),2,"0,4",72,"3,7",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],5000 g,['Sac'],,Pâtes alimentaires de qualité supérieure,"['Œufs', 'Gluten']",,,,,,,
129,Purée de lentilles corail micro granulée 2kg - Panzani + - 2000g,3038359010279,['France'],"['Lentilles corail 50%', 'Pomme de terre 41%', 'Sucre', 'Sel', 'Amidon', 'Arômes naturels', 'Épices', 'Colorant : jus concentré de betterave', 'Huile de tournesol', 'curcuma', 'Emulsifiant : E471', 'Antioxydant : E304']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",329,78,329 kj(78 kcal),"1,1","0,3",12,"2,5","4,1","0,61","0,244",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],2000 g,['Film'],,purée de lentilles corail,['Anhydride sulfureux et sulfites'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E304 - Acide palmityle-6-L-ascorbique']",4,"[""E304 - Palmitate d'ascorbyle""]",,,,
130,Riz pz bio long grain indica 5kg - Panzani + - 5000g,3038359010200,['France'],"[""100% riz long grain étuvé issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1508,355,1508 kj(355 kcal),"0,9","0,2",79,0,7,0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],5000 g,['Sac'],,Riz long grain étuvé Bio,,,,,,,,
131,Polenta express panzani plus 1kg - 1000g,3038359010262,['France'],['100% semoule de maïs précuite'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1513,357,1513 kj(357 kcal),1,"0,2",78,"0,5","7,9",0,0,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani +'],1000 g,['Enveloppe'],,Farine de maïs,,,,,,,,
132,Riz rond de Camargue - Taureau Ailé Professionnel - 5kg,3038359011139,['France'],"['100% Riz rond de qualité supérieure', ' Origine : Camargue', 'France']",[],1515,357,1515 kj(357 kcal),"1,1","0,3",80,0,"6,4","0,05","0,02",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de Camargue']",['IGP'],1.1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,+1%,+2%,+3%,-41%,-28%,+7%,-100%,-14%,+500%,+500%,1,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,"['Taureau Ailé Professionnel', 'Taureau Ailé']",5 kg,['Sac'],,Riz rond de qualité supérieure,,,1,,,,,
133,Pz pureé zero pest - Panzani - 500g,3038359011078,['France'],"['Purée de tomates 84%', 'eau', ""correcteur d'acidité : acide citrique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",110,26,110 kj(26 kcal),"0,2",0,4,4,"1,3","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],500 g,"['Bocal', 'Couvercle en métal']",,Purée de tomates réduite à 7%,,['E330 - Acide citrique'],,,,,,
134,Ta basmati tomate 2' 250g pav6 - Taureau aile - 250g,3038359010873,['France'],"['Riz basmati étuvé précuit à la vapeur 75%', 'poivrons rouges 5%', 'purée de tomates 5%', 'huile de tournesol', ""purée d'oignons"", 'tomates séchées 1%', 'basilic 1%', 'épices', 'sucre', 'sel', 'émulsifiants : carraghénanes et lécithine de tournesol', 'jus de citron', ' Conditionné sous atmosphère protectrice']",[],586,139,586 kj(139 kcal),"2,9","0,3",25,2,"2,7","0,47","0,188",,,"['Nutriscore', 'Nutriscore A', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Taureau aile'],250 g,['Enveloppe'],,Préparation à base de riz basmati cuisinée aux légumes,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,
135,Ta basmati citron 2' 250g pav6 - Taureau aile - 250g,3038359010880,['France'],"['Riz basmati 95%', 'huile de tournesol', 'jus de citron 0,5% et zeste de citron 0,3%', 'sel', 'persil 0,2%', 'basilic 0,2%', 'émulsifiants : carraghénanes et lécithine de tournesol', 'arômes naturels', ' Conditionné sous atmosphère protectrice']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",597,141,597 kj(141 kcal),"2,3","0,2",27,0,"2,8","0,31","0,124",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Taureau aile'],250 g,['Enveloppe'],,"Préparation à base de riz basmati cuisiné au citron, aromatisée",,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,
136,"Taureau aile professionnel riz basmati 2,5kg - 2500g",3038359010583,['France'],['Riz basmati long grain naturellement parfumé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1490,351,1490 kj(351 kcal),"0,8","0,4",77,"0,1","8,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Taureau aile'],2500 g,['Sac'],,Riz Basmati Long grain naturellement parfumé.,,,,,,,,
137,Panzani sauce bolo ball's - 400g,3038359010514,['France'],"['Pulpe de tomates avec morceaux et purée de tomates ', '57%', 'produit à base de viande de boeuf avec protéines végétales 18% ', 'viande de boeuf 60% - soit 10,8% dans le produit fini - protéines végétales de SOJA 29% - soit 5,2% dans le produit fini - oignons', 'arômes', 'persil', 'sel', 'poivre', 'eau', 'oignons', 'carottes', 'sucre', 'huile de tournesol', 'sel', 'amidon transformé de maïs', 'arômes', 'basilic 0,3%']","['Non végétalien', 'Non végétarien']",307,73,307 kj(73 kcal),"2,5","0,8",6,5,"5,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Panzani'],400 g,"['Bocal', 'Pot en verre', 'Couvercle en métal']",,"Sauce tomate cuisinée avec un produit à base de viande aux protéines végétales, aromatisée",['Soja'],['E14XX - Amidons modifiés'],4,,,,,
138,"Sélection 3 riz - Taureau Ailé Professionnel - 2,5kg",3038359010606,['France'],"['Riz long grain étuvé 73%', 'riz rouge 14%', 'riz sauvage* 13%', ' *Le riz sauvage', 'dénommé """"wild rice"""" en anglais est une graminée différente de celle connue sous le nom de riz', '""']",[],1459,344,1459 kj(344 kcal),"1,1","0,3",73,"0,8","8,8","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Taureau Ailé Professionnel'],"2,5 kg",['Sac'],,"Mélange de riz long grain étuvé, de riz rouge et de riz sauvage* (graminée )",,,,,,,,
139,"Taureau aile professionnel riz arborio 2,5kg - 2500g",3038359010613,['France'],"['Riz long grain blanchi Arborio de qualité supérieure', ' Peut contenir du gluten ', 'blé', 'orge', 'avoine', 'épeautre', 'kamut']",[],1488,351,1488 kj(351 kcal),"1,5","0,3",76,"0,4",8,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Taureau aile'],2500 g,['Enveloppe'],,Riz long grain blanchi Arborio de qualité supérieure,,,,,,,,
140,"Taureau aile professionnel riz thaï 2,5kg - 2500g",3038359010590,['France'],['Riz Thaï long grain naturellement parfumé'],[],1479,348,1479 kj(348 kcal),"0,6","0,2",78,"0,1","7,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Taureau aile'],2500 g,['Sac'],,Riz Thaï long grain naturellement parfumé,,,,,,,,
141,Riz kamalis - Taureau Ailé Professionnel - 2500g,3038359011122,['France'],['Riz parfumé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1483,349,1483 kj(349 kcal),"0,7","0,2",78,"0,2","7,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Taureau Ailé Professionnel'],2500 g,['Enveloppe'],['Cambodge'],Riz naturellement parfumé du Cambodge,,,,,,,,
142,Brioche tresse sucre,3173310023896,['France'],[],[],?,382,1598 kj(382 kcal),13,"9,1",57,24,"8,7","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,,,
143,Petite meringue,0205085009843,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Madelaines bretonnes pur beurre,3193840717577,['France'],[],[],?,438,1833 kj(438 kcal),22,14,54,29,6,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Crackers Aperitif paprika,3029687001015,['France'],[],[],?,415,1736 kj(415 kcal),"21,5",3,"42,2",1,"10,8","1,38","0,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Sennenkäse,2288633003706,['France'],[],[],?,392,1640 kj(392 kcal),32,18,1,0,25,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Jalousies aux pommes,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Chocolat lait bio & cardamome,3770016166188,['France'],[],[],?,588,2460 kj(588 kcal),"40,2","24,2","47,9","46,7","7,7","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Whey isolate HT,0634065449629,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Pavé au poivre,2006050021161,['France'],[],[],?,377,1577 kj(377 kcal),31,12,"2,4","1,9",22,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",,,,,,,,,,,,,
151,Miel,3520059910787,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Culinat,3278584980033,['France'],[],[],?,387,1619 kj(387 kcal),"3,5","2,1",83,63,"3,6","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Briochettes nature,3279840006474,['France'],[],[],?,?,,?,,?,,?,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Pain,0296860019294,['France'],[],[],?,241,1008 kj(241 kcal),"1,3","0,2",49,"1,4","8,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Gnocchi,8783702487967,['France'],[],[],?,236,987 kj(236 kcal),"8,4","3,2",31,2,"8,1","1,4","0,56",,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Cheddar flavour block,5202390017605,['France'],[],[],?,270,1130 kj(270 kcal),21,19,21,0,0,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Tassiopée - 96g,3255650080194,['France'],"['Biscuit* [farine de blé*', 'sucre de canne*', 'oeufs entiers*', 'dextrose*', 'beurre*]', 'chocolat noir 71%* ', '33%', ' [pâte de cacao*', 'sucre de canne*', ""beurre de cacao*] *Ingrédients issus de l'Agriculture Biologique CONTIENT DU GLUTEN"", 'DU LAIT', 'DES OEUFS ET DES TRACES EVENTUELLES DE FRUITS À COQUE', 'GRAINES DE SÉSAME ET DE SOJA']",['Non végétalien'],?,471,1971 kj(471 kcal),"19,1","11,3","63,6","31,2","8,3","0,04","0,016",C,"['Biscuits et gâteaux', 'Biscuits nappés au chocolat']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",19.1 g,en quantité modérée,11.3 g,en quantité élevée,31.2 g,en quantité élevée,0.04 g,en faible quantité,,+10%,+10%,0%,+32%,+11%,+7%,+40%,-93%,-93%,17,-8%,D,-8%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,,['Tassiopée'],96g,['boîte carton'],,,"['Œufs', 'Gluten', 'Lait']",,4,,['Cotentin'],http://www.tassiopee.com,,
158,Julienne de filet poulet roti - Europa cuisson - 600g,01017199,['France'],"['filet de poulet 93%', 'lactose', 'antioxydants ', 'E325', 'E326', 'E262', 'stabilisant ', 'E450', 'E407 ', 'sel', 'protéines de soja', 'protéines de lait', 'arôme', 'gluten', 'sulfites']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,"1,5",,2,"1,3","21,5","1,4","0,56",D,"['Viandes', 'Volailles', 'Poulets', 'Viande de poule']",,1.5 g,en faible quantité,,,1.3 g,en faible quantité,1.4 g,en quantité modérée,,,,-74%,,0%,+195%,+5%,+63%,+63%,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['Europa cuisson'],600g,['Plastique'],,,"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']","['E325 - Lactate de sodium', 'E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,
