,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
1035,Pizza pâte fine au feu de bois Margarita - LES P'TITS CHEFS DU BIO - 350g,3760209680027,"['Carton', 'Plastique']","[""LES P'TITS CHEFS DU BIO""]",['France'],"['Pâte* ', 'farine* T80', 'eau', 'sel', 'levure*', 'sauce tomate* ', 'coulis de tomate*', 'oignon*', 'concentré de tomate*', 'sel', 'sucre*', 'ail*', 'persil*', 'basilic*', 'poivre*', 'Origan*', 'herbes de Provence*', 'emmental*', 'tomate*', 'parmesan* 2%', 'olive* 2%', ""huile d'olive*"", 'origan*']",['Non végétalien'],926,220,926 kj(220 kcal),"5,9",3,30,3,"9,4","1,3","0,52",B,350 g,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas margherita']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Au feu de bois']",['Biocoop'],5.9 g,en quantité modérée,3 g,en quantité modérée,3 g,en faible quantité,1.3 g,en quantité modérée,-2%,-3%,-3%,-21%,-15%,+3%,+12%,0%,+2%,+2%,0,-100%,B,-100%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,['Lait'],3,"['FR 32.013.024 CE', 'Auch (Gers, France)']",,Pizza Margarita cuite au feu de bois,['France'],,,,,,
1036,Mix sushi et california - Auchan - 24,3760228710101,,['Auchan'],['France'],[],[],?,150,628 kj(150 kcal),"3,8",1,23,"0,49","5,7","0,92","0,368",,24,"['Plats préparés', 'Sushis et makis', 'Sushis']",,['Auchan'],3.8 g,en quantité modérée,1 g,en faible quantité,0.49 g,en faible quantité,0.92 g,en quantité modérée,,-4%,-3%,-10%,+5%,-4%,-89%,+1%,-40%,-40%,2,-69%,B,-69%,,,,,,,,,,,,,,,,,,,
1037,Brioche Nanterre pur beurre - Intermarché - 400g,3760233463498,"['Sachet', 'Plastique']",['Intermarché'],['France'],"['Farine de BLÉ', 'sucre', 'œufs entiers frais de poule élevées au sol', 'beurre ', '10%', 'eau', 'poudre de lait entier', 'sel', 'arôme naturel ', 'contient alcool', 'gluten de blé', 'levure', 'protéines de lait']",['Non végétalien'],1418,331,1418 kj(331 kcal),11,"7,2",51,14,8,"0,92","0,368",C,400 g,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre']","['Sans conservateurs', 'Pur beurre']",['Intermarché'],11 g,en quantité modérée,7.2 g,en quantité élevée,14 g,en quantité élevée,0.92 g,en quantité modérée,-5%,-9%,-7%,-20%,-18%,-0%,+1%,-3%,-5%,-5%,18,+2%,D,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Œufs', 'Gluten', 'Lait']",4,['26057H'],,Brioche cuite sur place,"['Bourg de Péage', 'FRANCE']",,,,,,
1038,Eau de coco Bio - Vaïvaï,3760269850064,['Bidon'],['Vaïvaï'],['France'],['eau de coco'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,17,71 kj(17 kcal),0,0,4,"3,4",0,"0,07","0,028",,,['Boissons'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Magasins U'],0 g,en faible quantité,0 g,en faible quantité,3.4 g,en quantité modérée,0.07 g,en faible quantité,,-70%,-71%,-100%,-100%,-65%,-64%,-100%,+69%,+69%,-4,-152%,B,-152%,,,,,,,,,1,,,,,,,,,,
1039,Yaourts à la myrtille sauvage - Invitation a la ferme - 500g (4 * 125g),3770000451764,,['Invitation a la ferme'],['France'],"['Lait* de nos vaches pasteurisé et non homogénéisé', 'sucre de canne issu du commerce équitable* 7%', 'myrtilles sauvages"" 6,5%', 'lait écrémé en poudre""', 'gélifiant : agar-agar""', 'arôme naturel de myrtille""', 'ferments lactiques ', 'lactobacillus bulgaricus', 'streptococcus thermophilus', "" *Ingrédients issus de l'Agriculture Biologique""]",['Non végétalien'],405,97,405 kj(97 kcal),"3,6","2,3","11,8","11,3","3,4","0,117","0,047",B,500 g (4 * 125 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,3.6 g,en quantité modérée,2.3 g,en quantité modérée,11.3 g,en quantité modérée,0.117 g,en faible quantité,+1%,-3%,-3%,+10%,+9%,-12%,-8%,-7%,+9%,+9%,3,+9%,C,+9%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Lait'],4,,['E406 - Agar-agar'],,,,,,,,
1040,Pétales de betterave bio - Croustisud - 70g,3770000910032,"['Sachet', 'Plastique']",['Croustisud'],['France'],"['Betterave ', '72 %', "" d'origine France et Espagne"", 'huile végétale de tournesol ', '28 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2055,493,2055 kj(493 kcal),"28,3",3,"49,2","45,2","4,9","0,15","0,06",,70 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de betteraves']","['Peu ou pas de sel', 'Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans sel ajouté', 'AB Agriculture Biologique']",['Biocoop Caluire'],28.3 g,en quantité élevée,3 g,en quantité modérée,45.2 g,en quantité élevée,0.15 g,en faible quantité,-5%,-4%,-4%,-4%,-3%,-9%,+1823%,-14%,-89%,-89%,16,+37%,D,+37%,,,,,,,,,3,,,Chips de betterave,['France'],,"['France', 'Espagne']",,,,
1041,Gourde Fraise Banane - Good Gout - 120g,3770002327708,"['Plastique', 'Gourde', 'température ambiante', 'ni biphénol', 'ni phtalates']",['good goût'],['France'],"['55% fraises bio', '45% bananes bio', 'jus de citron concentré', ""0% d'autre chose""]",[],237,56,237 kj(56 kcal),"0,2","0,1",12,10,"0,7",0,0,B,120 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Desserts au fruit pour bébé', 'Dès 6 mois']","['Bio', 'Bio européen', 'Sans gluten', 'Agriculture UE', 'AB Agriculture Biologique']",['Magasins U'],,,,,,,,,-4%,-5%,-4%,-48%,-7%,-3%,-7%,+52%,-100%,-100%,,,,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,1,,,Purée pour bébé,['France'],https://www.goodgout.fr/bebe/recette-bebe-6-mois/fraise-banane-46.html,,,,,
1042,Argeta - 95g,3838975566507,"['Conserve', 'métal', '41', 'Aluminium']",['Argeta'],"['France', 'Allemagne', 'en:Suisse']","['Eau', 'viande de volaille cuite séparée mécaniquement 29 %', 'huile végétale ', 'huile de tournesol', 'huile de colza', 'huile de soja en proportions variables', 'protéines de lait 3 %', 'graisse de poulet', 'fécule de pomme de terre', 'bouillon concentré', 'farine de soja', 'sel', 'herbes aromatiques et épices', 'extrait de levure', 'extrait de poivron']","['Non végétalien', 'Non végétarien']",1279,309,1279 kj(309 kcal),29,"3,6","2,1","2,1",10,"1,3","0,52",D,95 g,"['Produits à tartiner', 'Plats préparés', 'Produits à tartiner salés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']","['Sans colorants', 'Sans exhausteur de goût', 'Sans conservateurs']",,29 g,en quantité élevée,3.6 g,en quantité modérée,2.1 g,en faible quantité,1.3 g,en quantité modérée,+120%,+107%,+108%,+390%,+114%,-85%,+8%,+25%,+54%,+54%,11,+669%,D,+669%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Lait', 'Soja']",4,['SL 747 ES'],['E160c - Extrait de paprika'],,,,,,,,
1043,Maizena Sauceline Farine pour Lier Sauces Brunes Sans Gluten - Unilever - 250g,4000400155023,['Boîte en carton'],"['Unilever', 'Maizena', 'Sauceline']",['France'],"['amidon de pomme de terre', 'lactose ', 'LAIT', 'maltodextrine', 'farine de riz', 'colorant : E 150c']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1500,360,1500 kj(360 kcal),"0,5","0,1",88,23,"0,6","0,01","0,004",,250 g,['Farine pour Lier Sauces Brunes'],"['en:gluten-free', 'Point Vert']",['Magasins U'],0.5 g,en faible quantité,0.1 g,en faible quantité,23 g,en quantité élevée,0.01 g,en faible quantité,,,,,,,,,,,9,,C,,,,,,,,,['Lait'],4,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",Sauceline® Liant express pour Sauces Brunes,,,,,,,
1044,Ritter Sport Praline - 100g,4000417026002,['Kunststoff'],"['Ritter Sport', 'Ritter Sport Bunte Vielfalt']","['Autriche', 'Belgique', 'République tchèque', 'Danemark', 'France', 'Allemagne']","['Sugar', 'hazelnut paste ', '18%', 'cocoa butter', 'cocoa mass', 'whole milk powder', 'lactose', 'skimmed milk powder', 'butterfat', 'emulsifier ', 'lecithins ', 'soy', 'natural flavouring']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2309,554,2309 kj(554 kcal),34,14,54,51,"7,3","0,12","0,048",E,100 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Biscuits et gâteaux', 'Biscuits', 'Chocolats', 'Biscuits au chocolat', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",['Point Vert'],"['Irma.dk', 'Delhaize', 'REWE']",34 g,en quantité élevée,14 g,en quantité élevée,51 g,en quantité élevée,0.12 g,en faible quantité,-0%,-1%,-1%,-5%,-18%,+8%,+9%,+4%,-6%,-6%,26,+5%,E,+5%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Lait', 'Fruits à coque', 'Soja']",4,,['E322 - Lécithines'],Gefüllte Vollmilchschokolade mit Nugat (42%),,,,,,,
1045,Mount hagen bio aromalt - 100g,4000799109829,['Boite'],['Mount Hagen'],['France'],"['Seigle', 'malt', 'orge et chicorée']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,7,29 kj(7 kcal),0,0,"1,6","0,3","0,1",0,0,,100 g,"['Boissons', 'Boissons chaudes', 'Boissons instantanées']","['Bio', 'Bio européen', 'Bio-dynamie', 'DE-ÖKO-024', 'Demeter', 'Sans caféine']",,0 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,,-97%,-97%,-100%,-100%,-97%,-99%,-98%,-100%,-100%,,,,,,,,,,,,['Gluten'],1,,,Succédané de café,,,,,,,
1046,Lakritz Schnecken - Haribo - 200g,4001686101148,"['Kunststoff', 'Plastik', 'Produkt']",['Haribo'],"['France', 'Allemagne', 'Espagne', 'Suisse']","['Sirop de sucre mélassé', ' farine de blé', ' sirop de glucose', ' amidon', ' extrait de réglisse ', '3%', ' arôme', ' sel', "" agents d'enrobage: cire d'abeille blanche et jaune"", 'cire de carnauba']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1343,317,1343 kj(317 kcal),"0,7","0,2",74,47,3,"1,2","0,48",E,200 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons au réglisse']","[""Fabriqué dans l'UE""]",['Frieda'],0.7 g,en faible quantité,0.2 g,en faible quantité,47 g,en quantité élevée,1.2 g,en quantité modérée,-2%,-1%,+0%,-13%,-50%,+2%,+15%,+4%,+201%,+201%,19,+47%,E,+47%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Gluten'],4,,"[""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,,,,,,,
1047,Haribo Quaxi Fröschli - 200g,4001686472521,['Kunststoff'],['Haribo'],"['France', 'Allemagne', 'Suisse']",['MEIN I FRÔSCHLI UND ERWACHSENE'],[],?,345,1443 kj(345 kcal),"0,5","0,1",79,53,"5,8","0,02","0,008",E,200 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Ours gélifiés', 'de:Schaumgummi']","[""Fabriqué dans l'UE""]",,0.5 g,en faible quantité,0.1 g,en faible quantité,53 g,en quantité élevée,0.02 g,en faible quantité,,+5%,+2%,+31%,-26%,+2%,+13%,+20%,-71%,-71%,14,+5%,D,+5%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1048,"Nectar D'orange, 1 Litre, Marque Granini - 1l",4002160092150,['Bottle'],['Granini'],"['France', 'Espagne']","['Naranja ', 'zumo a partir de concentrado 40% ', 'Naranja ', 'zumo 10%', 'agua', 'azúcar', 'pulpa de naranja 5%', 'vitamina C']",[],?,45,188 kj(45 kcal),"0,5","0,1","10,1","10,1","0,5",0,0,D,1l,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,['Carrefour'],0.5 g,en faible quantité,0.1 g,en faible quantité,10.1 g,en quantité élevée,0 g,en faible quantité,,+5%,+3%,+199%,+266%,+4%,+11%,-20%,-100%,-100%,4,+33%,C,+33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,3,,,Zumo de naranja,,http://www.granini.es/es_ca/producte/403/?do=openDetailLightbox,,,,,
1049,Zumo de manzana fruta - Granini,4002160092853,,['Granini'],"['France', 'Espagne']",[],[],?,43,180 kj(43 kcal),"0,2","0,1","10,2","9,7","0,5",0,0,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,0.2 g,en faible quantité,0.1 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,,-7%,-6%,+22%,+212%,-6%,-6%,+135%,-100%,-100%,3,-27%,C,-27%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
1050,Sauce soja Suzi Wan 715 ml - 715ml,4002359670060,['Bouteille plastique'],['Suzi wan'],['France'],"['sauce de soja ', 'eau', 'graines de soja', 'blé', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,61,255 kj(61 kcal),"0,5","0,5","3,7","0,5",9,"17,1","6,84",B,715ml,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['Sans colorants'],,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,17.1 g,en quantité élevée,,-45%,-44%,+307%,+2037%,-79%,-96%,+40%,+42%,+42%,5,-55%,C,-55%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,"['Gluten', 'Soja']",3,,,,,,,,,,
1051,Grand Dessert Vanille - Ehrmann - 190g,4002971253108,['Pot'],['Ehrmann'],"['Belgique', 'France', 'Allemagne']","['Grand Dessert Vanilla O Desert od vanilije preliven kremom', 'Sastojci: obrano MLIJEKO', '20% VRHNJE', 'proizvod ŠÍRUTKE', 'glukozno-fruktozni sirup', 'šećer', 'modificirani škrob', 'zgušnjivač: karagenan', 'guar guma', 'želatina', 'ekstrahirane Bourbon vanilija mahune', 'prirodna aroma Bourbon vanilije', 'prirodna aroma', 'emulgator: E 472b', 'sol', 'bojilo: karoteni', 'dušik', 'Čuvati na temperaturi do  8°C', 'Najbolje upotrijebiti do: vidi poklopac', 'O Vanilijev desert Z smetano', 'Sestavine: posneto MLEKO', '20% SMETÁNA', 'SIROTKIN izdelek', 'gikozni-fruktozni sirup', 'sladkor', 'modificirani škrob', 'gostili: karagenan', 'guar S zelatina', 'naravna aroma burbonske vanilije', 'ekstrahirani stroke burbonske anilije', 'naravna aroma', 'emulgator: E 472b', 'nejodirana sol', 'barvilo: karoteni', 'dsk Hraniti pri temperaturi do  2°C -  8°C', 'Uporabno najmanj do: glejte pokrov', 'Ehrmann Ehrmann GmbH', 'Hauptstr', '19 87770 Oberschönegg', 'Gemany Prosječne hranjive vrijednosti u/ Povprečna hranilna vrednost na 100 gE Energija/Energijska vrednost Masti Mašcobe 0d kojih zasićene masne kiseline/ O lega nasitene masCobe kohidrati/Oglijikovi hidrati kojih šećeri/od tega sladkorji Belankevine/Beljakovine 488 kJ ']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,116,485 kj(116 kcal),"4,7","3,1",16,13,"2,5","0,2","0,08",,190 g,['Desserts'],,,4.7 g,en quantité modérée,3.1 g,en quantité modérée,13 g,en quantité élevée,0.2 g,en faible quantité,,-34%,-34%,-31%,-14%,-32%,-29%,-21%,+50%,+50%,5,-26%,C,-26%,,,,,,,,['Lait'],4,['DE SN-008 EG'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E941 - Azote']",,,,,,,,
1052,Mandelmus - Rapunzel - 500g,4006040001614,['Glas'],['Rapunzel'],"['France', 'Allemagne', 'Suisse']",[],"['Végétalien', 'Végétarien']",?,649,2715 kj(649 kcal),57,"5,5",5,"3,9",23,"0,01","0,004",,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-006', 'Agriculture UE', 'AB Agriculture Biologique']",,57 g,en quantité élevée,5.5 g,en quantité élevée,3.9 g,en faible quantité,0.01 g,en faible quantité,,+2%,+2%,+6%,+23%,-41%,-21%,+5%,-40%,-40%,8,+108%,C,+108%,,,,,,,,,,,,,,,,,,,
1053,Samba - Pâte à tartiner - RAPUNZEL - 500g,4006040003137,['pot en verre'],['RAPUNZEL'],['France'],"['NOISETTES 45%', 'sucre de canne complet 15%', 'sucre de canne', 'huile de palme', 'LAIT entier en poudre', 'cacao maigre en poudre 4%', 'vanille Bourbon']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,600,2510 kj(600 kcal),44,10,38,35,10,"0,1","0,04",C,500 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']","['Bio', 'Bio européen', 'DE-ÖKO-006', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne']",,44 g,en quantité élevée,10 g,en quantité élevée,35 g,en quantité élevée,0.1 g,en faible quantité,,+9%,+9%,+28%,+31%,-25%,-25%,+44%,-4%,-4%,17,-17%,D,-17%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,"['Lait', 'Fruits à coque']",3,,,Pâte à tartiner chocolatée aux noisettes,,,"['Allemagne', '87764 Legau']",['Huile de palme'],,,
1054,Chocolat extra noir - Rapunzel - 80g,4006040195245,"['Carton', 'Plastique']",['Rapunzel'],['France'],"['Kakaomasse', 'Vollrohrzucker 27%', 'Kakaobutter', 'Kakaopulver', 'Bourbon Vanille', 'Kakao: 70%']","['Végétalien', 'Végétarien']",?,562,2351 kj(562 kcal),42,25,34,29,"7,4","0,03","0,012",D,80 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'CH-BIO-004', 'Hand-in-hand']","[""La ruche d'Alésia""]",42 g,en quantité élevée,25 g,en quantité élevée,29 g,en quantité élevée,0.03 g,en faible quantité,,+1%,+1%,+7%,+8%,-12%,-9%,-3%,-36%,-36%,18,-15%,D,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['CH-BIO-004'],,Tablette de chocolat noir,,,,,,,
1055,"Vollkornbrot, das Vollkornsaftige - Lieken Urkorn - 500g",4006170001676,['Kunststoff'],['Lieken Urkorn'],"['France', 'Allemagne']","['Natursauer-Teig ', 'Wasser', 'Roggenvollkornmehl', 'Roggenvollkornschrot', 'Roggenvollkornmehl', 'Wasser', 'Roggenkörner', 'Weizenvollkornmehl', 'Zuckerrübensirup', 'Weizenvollkornquellmehl', 'Roggenflocken', 'Salz', 'Karamellsirup', 'Hefe']",[],835,198,835 kj(198 kcal),"1,2","0,2",37,"2,5","5,5",1,"0,4",,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",['Sans conservateurs'],,1.2 g,en faible quantité,0.2 g,en faible quantité,2.5 g,en faible quantité,1 g,en quantité modérée,-20%,-21%,-20%,-65%,-63%,-13%,-31%,-37%,-15%,-15%,-2,-401%,A,-401%,,,,,,,,['Gluten'],3,,,,,,,,,,
1056,Cerneaux de noix - Seeberger,4008258130056,"['Beutel', 'Packung(en)']",['Seeberger'],"['France', 'Allemagne']",['Cerneaux de noix'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,717,3000 kj(717 kcal),69,"6,4",6,"2,6",16,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,69 g,en quantité élevée,6.4 g,en quantité élevée,2.6 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+8%,+8%,-39%,-19%,+7%,-100%,-100%,4,+55%,C,+55%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,['Fruits à coque'],1,,,,,,,,,,
1057,Morceaux d'Ananas Sucrés - Seeberger - 200g,4008258414019,"['Sachet', 'Plastique']",['Seeberger'],"['France', 'Allemagne', 'Suisse']","['Ananas 54%', 'sucre', 'acidifiant : acide citrique', 'antioxydant : anhydride sulfureux']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1428,337,1428 kj(337 kcal),"1,2","0,5",80,78,"0,2","0,7","0,28",,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Ananas séchés']",['Point Vert'],['Leclerc'],1.2 g,en faible quantité,0.5 g,en faible quantité,78 g,en quantité élevée,0.7 g,en quantité modérée,,+2%,+3%,+201%,+1349%,+7%,+26%,-83%,+116%,+116%,12,+78%,D,+78%,,,,,,,,['Anhydride sulfureux et sulfites'],3,,"['E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","Morceaux d'ananas sucrés, séchés, sulfites.",,https://www.seeberger.de/ananas-gesuesst/,,,,,
1058,"Haselnuss - Ferrero - 38,7g",4008400121925,['Folie'],"['Ferrero', 'Giotto']","['Autriche', 'Belgique', 'France', 'Allemagne', 'Suisse']","['Noisettes ', '37%', 'graisses végétales ', 'palme', 'karité', 'sucre', 'farine de blé', 'lait écrémé en poudre ', '7%', 'lactosérum en poudre', 'pâte de cacao', 'lécithine émulsifiante ', 'soy', 'sel', 'vanilline', 'agent levant bicarbonate de soude', "" peut contenir des traces d'amandes""]","['Huile de palme', 'Non végétalien']",2625,632,2625 kj(632 kcal),48,"14,2","38,4","32,3","10,1","0,305","0,122",,"38,7 g","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques']",,['Delhaize'],48 g,en quantité élevée,14.2 g,en quantité élevée,32.3 g,en quantité élevée,0.305 g,en quantité modérée,+55%,+72%,+68%,+520%,+1083%,-44%,-36%,+181%,+698%,+698%,25,+94%,E,+94%,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,"['E322 - Lécithines', 'E500ii - Carbonate acide de sodium']",,,,,,,,
1059,Duplo Choco Gaufrette 18 biscuits - Ferrero - 327g,4008400302829,"['Karton', 'Kunststoff', 'Papier', 'Aluminium', 'Stück', 'Riegel', 'Packung(en)']","['Ferrero', 'Duplo', 'Duplo Choco Gaufrette']","['France', 'Allemagne', 'Suisse']","['Chocolat supérieur au lait 49,5% ', 'sucre', 'beurre de cacao', 'lait en poudre', 'pâte de cacao', 'émulsifiants : lécithines [soja]', 'vanilline', 'sucre', 'graisses végétales ', 'palme', 'karité', 'farine de froment', 'noisettes 5,5%', 'lactoserum en poudre', 'cacao maigre', 'émulsifiants : lécithines [soja]', 'amidon de froment', 'sel', 'poudres à lever ', ""carbonate d'ammonium"", 'carbonate acide de sodium', 'vanilline', "" peut contenir de l'amandes""]","['Huile de palme', 'Non végétalien']",2316,555,2316 kj(555 kcal),"33,5","19,1",56,"50,4","6,1","0,191","0,076",,327 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']","['Fabriqué en Allemagne', 'Sans colorants artificiels', 'Sans conservateurs']",['Magasins U'],33.5 g,en quantité élevée,19.1 g,en quantité élevée,50.4 g,en quantité élevée,0.191 g,en faible quantité,+7%,+11%,+10%,+23%,+26%,+1%,+12%,-11%,-41%,-41%,26,+7%,E,+7%,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,"['E322 - Lécithines', 'E500ii - Carbonate acide de sodium']",Gefüllte Vollmilchschokolade mit Waffel (7%) und Nugatcreme (17%),"['60624 Frankfurt/Main', 'Deutschland']",,,,,,
