,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,markets,allergens,nova_score,brand_owner,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,additives,link,ingredients_origins,palm_ingredients,origin_detail,producer_info
58,Feigen Getrocknet Sonny Fruits Kluth,4008088292061,,"['France', 'Allemagne']",[],[],?,300,1255 kj(300 kcal),"3,1","0,4",59,"52,8","3,3","0,1","0,04",,['Kluth'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Figues']",3.1 g,en quantité modérée,0.4 g,en faible quantité,52.8 g,en quantité élevée,0.1 g,en faible quantité,,+16%,+15%,+117%,+49%,+8%,+21%,+2%,-36%,-36%,6,+135%,C,+135%,,B,85.7%,0.0%,0.0%,6.9%,5.6%,1.8%,86,,['Tüte'],,,,,,,
59,Schweppes agrumes,4000140709333,,['France'],[],[],?,43,180 kj(43 kcal),0,0,"10,3","10,3",0,0,0,,['Schweppes'],,,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité élevée,0 g,en faible quantité,,+59%,+55%,-100%,-100%,+52%,+56%,-100%,-100%,-100%,13,+41%,E,+41%,,,,,,,,,,,,,,,,,,
60,Birra Pilsner 330 ML - Riedenburger,4027013006030,,['France'],[],[],?,?,,?,,?,,?,,,,['Riedenburger'],,,,,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,
61,Junge Erbsen - Bio - 750.0g,4061458011297,['Bio'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,0,0,750.0 g,['Bio'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Surgelés', 'Graines de légumineuses', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes secs', 'Pois']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,"['Tüte', 'Karton']",,,,,,,
62,400G Melange 5 Baies En Cuisine - 400g,3184830057179,,['France'],[],[],?,?,,?,,?,,?,,,400 g,['En Cuisine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 84080A', 'Monteux (Vaucluse, France)']",,,,,,,,,,,,,,,,,
63,Clou de girofle - En Cuisine,3184830056691,,"['France', 'Martinique']",[],[],?,?,,?,,?,,?,,,,['En Cuisine'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",,,,,,,,,,,,,,,,,,,,,,,"['EMB 84080A', 'Monteux (Vaucluse, France)']",B,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,,,,,,,,,
64,Muesli granola - 500g,3700496307061,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,420,1757 kj(420 kcal),"11,5","1,3","62,9","14,2","11,9","0,03","0,012",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Aqua plus Apfel,4388860599602,,"['France', 'Allemagne']",[],[],?,11,46 kj(11 kcal),0,0,"2,5","2,5",0,0,0,,,,,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,2.5 g,en quantité modérée,0 g,en faible quantité,,-80%,-81%,-100%,-100%,-78%,-74%,-100%,-100%,-100%,4,-48%,C,-48%,,,,,,,,,,,,,,,,,,
66,Cervelatwurst - 100g,4388844029033,,"['France', 'Allemagne']",[],[],?,373,1561 kj(373 kcal),"33,5","13,7",1,"0,5","16,8","3,8","1,52",100 g,,['REWE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Packung(en)'],,,,,,,
67,BLEDINA LES RECOLTES BIO POTS Cocktail de fruits 2x130g Dès 6 Mois - 260g,3041091424068,['Bio'],['France'],"[""1/2 pomme* 61,6 % - 1/3 de poire* 20,3 % - 1/6 d'une tranche d'ananas* 10,3 % - 1,5 rondelle de banane* 7,80 % - Antioxydant : 1 pointe d'acide ascorbique"", "" *Purées de fruits issus de l'agriculture biologique""]",[],240,57,240 kj(57 kcal),"0,2","0,049","12,3","9,8","0,3","0,006","0,002",260 g,"['Blédina', 'Les recoltes bio']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purée de fruits adaptée à bébé,,,,,,,,
68,Jelly babies - Asda,5054781569459,"['Sans arômes artificiels', 'Sans colorants artificiels', 'Sans colorants ni arômes artificiels']",['France'],"['hell sweets redients ghcose syrup', 'wejar', 'beei col e', 'maize sa ctric acid flounings', ' colours ', 'antrocyani curcumin', 'capsanthin', 'ant concentrates ', 'safflower', 'spirulina', ' no artificial colours or flavours', ' joy taste tradition from mint humbugs to rshmallows', 'frut pastilles nutrition we sugoest this product provides 8 servings typical values per 100g per 1/8 reference bag intake anfectionery range theres sweet to suit any taste', ' 1460 energy k! energycal 347 82 <0', '5g <0', '1g 19g 15g <0', '5g 8400 to fudge', 'with our classic 344 2000 <0', '5g 70g 20g of wh saturates carbohydrate of which sugas 0', '2g whether you remer m when they first came or are completely new be oid-chool classics', 'tgrale bag and treat self a little taste dition', ' 79g 260g 64g <0', '5g 90g fibre 24g 50g protein 5', '3g 1', '3g salt 0', '04g <0', '01g 6g storage']",[],?,344,1439 kj(344 kcal),"0,5","0,2",79,64,"5,3","0,04","0,016",,['Asda'],,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E100 - Curcumine', 'E160c - Extrait de paprika']",,,,,
69,Kisses chocolate candy with almonds - Hershey's,0034000134533,,['France'],[],[],?,516.13,2159 kj(516 kcal),"32,26",15,50,47,"9,68","0,164","0,066",,"[""Hershey's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Pomelo rose, ruby red",8431707076760,,['France'],[],[],?,41,172 kj(41 kcal),"0,5","0,1",9,9,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Kombucha - Rauch,90280573,,['France'],[],[],?,27,113 kj(27 kcal),"0,1","0,1","5,9","5,9","0,1","0,008","0,003",,['Rauch'],,,,,"['Boissons', 'Boissons au thé', 'Kombuchas']",0.1 g,en faible quantité,0.1 g,en faible quantité,5.9 g,en quantité modérée,0.008 g,en faible quantité,,+50%,+51%,+108%,+258%,+54%,+72%,+37%,-60%,-60%,8,+40%,D,+40%,,C,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,
72,Piadina romagnola igp alla riminese con olio oliva - coop - 360g,8001120597274,['IGP'],"['France', 'Italie']","['farina di grano tenero tipo “00”', 'acqua', 'olio extravergine di olica 7%', 'sale marino iodato ', 'sale marino', 'iodato di potasio 0,0050%', 'agente lievitante ', 'carbonato acido di sodio', 'amido di mais', 'difosfato diosodico', 'Puó contenere soia,']",[],?,289,1209 kj(289 kcal),"7,8","1,1",47,"1,1",7,"1,4","0,56",360g,['Coop'],['Coop'],"['Gluten', 'Soja']",3,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits laitiers', 'Pains', 'Pains plats', 'Pains blancs', 'Pains de blé', 'Tortillas de blé']",7.8 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en faible quantité,1.4 g,en quantité modérée,,-8%,-8%,+11%,-30%,-9%,-46%,-17%,+5%,+5%,5,-12%,C,-12%,,B,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,"Piadina, prodotti caseari",['Plastica'],['Italie'],['E500ii - Carbonate acide de sodium'],http://www.e-coop.it,['Italie'],,,
73,Filets de Limande meunière du Nord - U - 400g,3256228104465,,['France'],[],[],?,179,749 kj(179 kcal),"7,2","0,7",15,"0,7",13,"0,85","0,34",400 g,['U'],,,,,"['Produits de la mer', 'Poissons', 'Préparations de poisson']",7.2 g,en quantité modérée,0.7 g,en faible quantité,0.7 g,en faible quantité,0.85 g,en quantité modérée,,-8%,-7%,-39%,-77%,+87%,-53%,+10%,-28%,-28%,0,-100%,B,-100%,,,,,,,,,,,['Barquette'],['France'],,,,,,
74,François Garrec,3351400010111,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fanta orange,54491625,,['France'],[],[],?,?,,?,,?,,?,,,,['Fanta'],,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Boissons avec sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,La chips d'Allauch,3420850022125,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,520,2176 kj(520 kcal),30,"5,7",55,0,"6,1","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Hershey's Kisses Cookies'n'creme - 355g,0034000988143,,"['France', 'Espagne']",[],[],?,516,2159 kj(516 kcal),"26,5","15,9","63,9","48,3","6,6","0,54","0,216",355 g,"[""hershey's""]",,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",26.5 g,en quantité élevée,15.9 g,en quantité élevée,48.3 g,en quantité élevée,0.54 g,en quantité modérée,,-2%,-2%,-17%,-9%,+22%,+2%,+12%,+253%,+253%,28,+15%,E,+15%,,,,,,,,,,,,,,,,,,
78,Steacks hachés de boeuf,3250390677741,"['Viande Française', 'Nutriscore', 'Nutriscore C', 'Viande-bovine-francaise']",['France'],[],[],?,192,803 kj(192 kcal),13,"6,2","0,5","0,5",19,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,
79,Cappellettis au bœuf,3592020009929,,['France'],[],[],?,274,1146 kj(274 kcal),"5,8","2,5","42,5","3,9","11,4","1,3","0,52",,,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies à la viande', 'Cappellettis au boeuf', 'Pâtes farcies au boeuf']",5.8 g,en quantité modérée,2.5 g,en quantité modérée,3.9 g,en faible quantité,1.3 g,en quantité modérée,,+79%,+80%,+48%,+79%,+100%,+56%,+79%,+41%,+41%,5,+89%,C,+89%,"['FR 83.130.211 CE', 'Solliès-Pont (Var, France)']",E,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,,,,,,,
80,Huile olive,84001991,,['France'],[],[],?,3.386,14 kj(3 kcal),"91,5","13,5",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Baguette - L'amibiote,3419280059917,"['Nutriscore', 'Nutriscore A']",['France'],"['Farine de blé', 'eau', 'ingrédients riches en fibres végétales 14% ', 'dextrine de blé', ""flocons d'avoine"", 'inuline', 'épaississants ', 'farine de graines de caroube', 'pectine', ""soin d'avoine"", 'son de blé micronisé', 'sel', 'levure', 'farine de maïs torréfié', 'gluten de blé', 'farine de blé malté']",[],1053,249,1053 kj(249 kcal),"0,8","0,18",48,"1,4","7,4","1,3","0,52",,"[""L'amibiote""]",['Monoprix'],"['Gluten', 'Avoine']",4,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",0.8 g,en faible quantité,0.18 g,en faible quantité,1.4 g,en faible quantité,1.3 g,en quantité modérée,-6%,-3%,-2%,-66%,-60%,-2%,-38%,-11%,+7%,+7%,-1,-133%,A,-133%,,A,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,['Papier'],,"['E1400 - Dextrines', 'E410 - Gomme de caroube', 'E440 - Pectines']",,,,,
82,Bird's nest,0016229904470,,['France'],[],[],?,37,155 kj(37 kcal),0,0,"9,3","9,3",0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Sriracha peanut crunch - 125g,8711299009897,,['France'],"['Farine de blé', '23% cacahuète', 'sucre', 'amidon modifié de mais', 'huile de tournesol', 'sel', ""poudre d'ail"", 'maltodextrine', '0,5% chili en poudre', 'colorant ', 'extrait de paprika', ""correcteur d'acidité "", 'acide citrique', ""poudre d'oignon"", 'persil', 'extrait ', 'ail', 'capsicum', ' Peut contenir de fruits à coque & du sésame']",[],?,453,1895 kj(453 kcal),"16,6","2,6",64,"21,7","10,9",2,"0,8",125 g,,,['Gluten'],4,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes', ""Cacahuètes enrobées d'un biscuit pour apéritif""]",16.6 g,en quantité modérée,2.6 g,en quantité modérée,21.7 g,en quantité élevée,2 g,en quantité élevée,,-24%,-24%,-64%,-64%,+308%,+276%,-55%,+110%,+110%,7,+17%,C,+17%,,C,76.8%,13.8%,4.6%,2.6%,2.1%,0.0%,56,,['Plastique'],['Chine'],"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E330 - Acide citrique']",,,,,
84,Siracha Hot Chili Sauce - Smokey - 200ml,8853662060040,,['France'],[],[],?,123,515 kj(123 kcal),"0,7","0,2",26,25,2,"6,76","2,704",200 ml,,,,,,"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']",0.7 g,en faible quantité,0.2 g,en faible quantité,25 g,en quantité élevée,6.76 g,en quantité élevée,,+3%,+4%,-0%,+17%,+4%,+17%,+67%,+17%,+17%,16,+9%,D,+9%,,,,,,,,,,,,,,,,,,
85,Gélatine vegan - Dr. Oetker,5701073066515,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,270,1130 kj(270 kcal),"0,2","0,1",42,"2,4","0,7","0,25","0,1",,['Dr. Oetker'],,,,,"['en:Additifs alimentaires', 'en:Gélifiants', 'en:Gélifiants végétaux']",0.2 g,en faible quantité,0.1 g,en faible quantité,2.4 g,en faible quantité,0.25 g,en faible quantité,,,,,,,,,,,4,,C,,,,,,,,,,,,,,,,,,,
86,Riso Carnaroli Bianco Bio,8032542741907,"['Bio', 'Bio européen', 'IT-BIO-015']",['France'],[],[],?,387,1619 kj(387 kcal),"0,6","0,1",88,"0,2",7,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Kayseri pastirma - Selam - 100gramm,4047187001181,,['France'],[],[],?,?,,"1,3",,"1,5","0,1","29,6","3,6","1,44",100gramm,['Selam'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kunststoff'],,,,,,,
88,Faux filet - 200g,20295356,,['France'],[],[],?,151,632 kj(151 kcal),"6,7","1,7","0,6","0,5",22,"0,1","0,04",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Mozzarella,5450152022507,,"['France', 'Luxembourg']",[],[],?,240,1004 kj(240 kcal),"17,5","11,9","1,8","0,6","18,7","0,2","0,08",,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",17.5 g,en quantité modérée,11.9 g,en quantité élevée,0.6 g,en faible quantité,0.2 g,en faible quantité,,-8%,-7%,-15%,-15%,+75%,-20%,+11%,-70%,-70%,7,-31%,C,-31%,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Sachet'],,,,,,,
90,Gombos - Suntat - 350g,8690804361500,,['France'],[],[],?,24,100 kj(24 kcal),"0,5","0,1","2,4","0,9","1,5","1,1","0,44",350 g,['Suntat'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Gombo cuit']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,1.1 g,en quantité modérée,,-87%,-87%,-31%,-35%,-93%,-97%,-4%,+3518%,+3518%,-1,-222%,A,-222%,,B,43.0%,0.0%,10.6%,22.1%,15.6%,8.7%,86,,['Verre'],,,,,,,
91,Französischer Camembert - Globus - 250g,4304218410610,,['France'],"['Pasteurisierte Kuhmilch', 'Salz', 'Lab Hinweis für Allergiker: Enthält Milch inkl', ' Laktose', ' Bei max', ' +8 °C']",['Non végétalien'],?,278,1163 kj(278 kcal),22,"14,6","0,1","0,1",20,"1,5","0,6",250g,['Globus'],,['Lait'],4,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts']",22 g,en quantité élevée,14.6 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,,0%,+0%,+2%,-2%,-82%,-70%,0%,-4%,-4%,14,-3%,D,-3%,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
92,Sprüh-sahne,20131128,,['France'],[],[],?,226,946 kj(226 kcal),"19,8","13,5","9,4","9,4","2,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Le charolais poivre - Daunat,3367651008302,"['Viande Française', 'Fabriqué en France', 'Sans additifs', 'Sans conservateurs', 'Nutriscore', 'Nutriscore D', 'Viande-bovine-francaise']",['France'],[],[],?,318,1331 kj(318 kcal),17,"5,1",28,"2,3",13,"1,4","0,56",,['Daunat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Fricassée de champignons à la persillade - magda - 450g,3434410074936,"['Bio', 'Bio européen', 'Bio-dynamie', 'FR-BIO-10']",['France'],[],[],241,58,241 kj(58 kcal),"3,8","0,2","2,4","0,8","2,4","0,4","0,16",450g,['Magda'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['surgelé'],,,EMB 26235,,,,
95,Libre comme l'air,8717853491542,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Bio yogisan plátano sin gluten ecológico,8410087607092,['Bio'],['France'],[],[],?,95,397 kj(95 kcal),"1,9","1,4",17,13,2,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Praline Crema De Caramel - Laura - 140g,5941047808387,,['France'],[],[],?,456,1908 kj(456 kcal),19,"8,2",71,63,1,"0,04","0,016",140 g,['Laura'],,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",19 g,en quantité modérée,8.2 g,en quantité élevée,63 g,en quantité élevée,0.04 g,en faible quantité,,-14%,-14%,-41%,-53%,+35%,+33%,-83%,-74%,-74%,23,-6%,E,-6%,,,,,,,,,,,,,,,,,,
98,Único bean to bar chocolate negro con cacao criollo - Pancracio,8437009284032,,['France'],[],[],?,563,2356 kj(563 kcal),42,25,33,29,"7,4","0,02","0,008",,['Pancracio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Chocolate - Milka - 9.600000381469727g,7622210659392,,"['Autriche', 'France']",[],[],?,545,2280 kj(545 kcal),32,16,55,54,7,"0,25","0,1",9.600000381469727 g,['Milka'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,
100,Sardines,3397210000928,,['France'],[],[],?,360,1506 kj(360 kcal),32,5,"0,4","0,4",19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Waffers - Elite - 7oz,0815871013147,,['France'],[],[],?,130,544 kj(130 kcal),22,13,66,40,7,"0,037","0,015",7 oz,['Elite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Sel à La Châtaigne Du Périgord, 200G - 200g",3462670000037,,['France'],[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Yogur sabor vainilla sin lactosa - Larsa,8411024410065,,['France'],[],[],?,94,393 kj(94 kcal),"3,8","2,6","11,4","11,3","3,7","0,1","0,04",,['Larsa'],,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']",3.8 g,en quantité modérée,2.6 g,en quantité modérée,11.3 g,en quantité modérée,0.1 g,en faible quantité,,-3%,-3%,+8%,+16%,-4%,+2%,-3%,-7%,-7%,3,+12%,C,+12%,,,,,,,,,,,,,,,,,,
104,Yogurt Mont Blanc,8032774181281,,['France'],[],[],?,479,2004 kj(479 kcal),"3,9","2,6","15,9","14,8",4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Caldo de vegetales sin sal - Santiveri,8412170024823,,['France'],[],[],?,472,1975 kj(472 kcal),22,16,58,48,10,"0,3","0,12",,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Les marinés - émincés à la Thaï - Charal - 200g,3181238971281,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],?,135,565 kj(135 kcal),"4,1","1,2","5,3","1,9",19,"1,2","0,48",200 g,['Charal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,,,,,,,,,,
107,charlotte a l'ananas et au rhum,3660806510300,,['France'],[],[],?,186,778 kj(186 kcal),"0,8","0,2",43,37,"1,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Jus de pomme Bio Pays de Rennes,3760072380024,['Bio'],['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,,,,,,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,
109,L ourson,3760169522306,,['France'],[],[],?,326,1364 kj(326 kcal),0,0,76,62,"5,1","0,018","0,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Boîte en métal'],,,,,,,
110,Rostbratwurst - Böklunder - 6x 90g,4061458016117,,"['France', 'Allemagne']","['ut rei eichen rostbratwursi gebruht fenzerkleinert für grill &pfanne spitzenqualität böklunder trostbratwursti', '90 g', ' enthält** brennwert']",[],?,286,1197 kj(286 kcal),25,10,1,1,14,2,"0,8",6 x 90 g,['Böklunder'],,,,,"['Viandes', 'Charcuteries', 'Saucissons']",25 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,2 g,en quantité élevée,,-26%,-26%,-19%,-16%,-54%,-25%,-44%,-52%,-52%,20,-15%,E,-15%,,,,,,,,,,,['Kunststoff'],,,,,,,
111,Palets citron pur beurre - 150g,3760121562067,,['France'],[],[],?,426,1782 kj(426 kcal),"16,7","9,3","64,3","30,1","4,2","0,12","0,048",150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 45179A', 'Lailly-en-Val (Loiret, France)']",,,,,,,,,,,,,,,,,
112,Farine de blé,5450252001044,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,13,"5,2",,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,,13 g,en quantité élevée,,,,,,,,,+54293%,+54293%,,,,,,A,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,['Sachet'],,,,,,,
113,Pasta,8032591571869,,"['France', 'Allemagne']",[],[],?,190,795 kj(190 kcal),1,0,41,1,6,3,"1,2",,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",1 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,3 g,en quantité élevée,,-43%,-43%,-61%,-100%,-34%,-64%,-48%,+1315%,+1315%,12,,D,,,,,,,,,,,,,,,,,,,
114,Sirop de myrtille,3542370007403,,['France'],[],[],?,330,1381 kj(330 kcal),"27,6","16,9","0,094",0,"20,8","1,202","0,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.232.001 CE', 'Saint-Haon-le-Châtel (Loire, France)']",,,,,,,,,,,,,,,,,
115,Feines Chinagemüse - Diamond - Glas,4316734049953,,"['France', 'Allemagne']",[],[],?,16,67 kj(16 kcal),0,0,3,2,1,"1,6","0,64",Glas,['Diamond'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Pickles d'origine végétale""]",0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,1.6 g,en quantité élevée,,-87%,-87%,-100%,-100%,+12%,+94%,-22%,-44%,-44%,7,-16%,C,-16%,,,,,,,,,,,"['Lata', 'Glas']",,,,,,,
116,Amande Hachée Blanchies - 600g,3760034624128,,['France'],[],[],?,602,2519 kj(602 kcal),54,8,3,3,25,0,0,600 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Spicy tomato drink,8710296114740,,['France'],[],[],?,19,79 kj(19 kcal),"0,5","0,1","2,7","2,7","0,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
