,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
89,merguez,2480729027485,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Purée de pomme,3331220001759,,['France'],[],[],,,,,,,,,?,0,0 kj(0 kcal),"0,34","0,082","12,8","11,6","0,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Fat lost booster,3760320792470,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Tapioca,2165434001042,,['France'],[],[],,,,,,,,,?,362,1515 kj(362 kcal),0,0,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Fleur d'oranger,3760291441216,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Everest Shahi Paneer Masala 100GM,8901786531004,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Dulce de leche,3383672444295,,['France'],[],[],,,,,,,,,?,288,1205 kj(288 kcal),"3,5","1,9",57,56,"0,35","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Miel de Labouiche,3760037020040,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Jambon du pere chene,0239990050713,,['France'],[],[],,,,,,,,,?,172,720 kj(172 kcal),"13,9","5,5","0,5","0,5","11,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Jambon cuit à l'ancienne,2470526040282,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,
99,Pâtes artisanales,3760314930215,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Beurre de Bretagne Les Croisés Demi-sel - 80% MG - 250g - Marque repère,356470001450906,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['Marque repère'],,,,,,,,,['Leclerc'],,,,,,,,,,
101,Lobe fois gras de canard,3760074871254,,['France'],[],[],,,,,,,,,?,533,2230 kj(533 kcal),"55,2","21,4","1,2","0,48",8,"0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Aiguillette poulet,2221905024993,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Miel de thym,3540860033635,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de thym']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
104,LA MILANESE,2839121011705,,['France'],[],[],,,,,,,,,?,225,941 kj(225 kcal),13,"2,2",12,"0,6",15,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Échine fumée s/os,2866871033787,,['France'],[],[],,,,,,,,,?,169,707 kj(169 kcal),16,8,"3,4","2,3",17,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Pollen de fleurs d'Espagne,3540860048998,"['Produits de la ruche', 'Pollens']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Sablés aux amandes,3760074418961,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés aux amandes']",['France'],[],[],30 g,en quantité élevée,15 g,en quantité élevée,36 g,en quantité élevée,0.49 g,en quantité modérée,?,548,2293 kj(548 kcal),30,15,57,36,11,"0,49","0,196",25,E,"['EMB 22278K', ""Saint-Brieuc (Côtes-d'Armor, France)""]",,,,+12%,+11%,+29%,+8%,-10%,+42%,+77%,-28%,-28%,+14%,+14%,C,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,['Sachet en plastique'],,,,,,,,,,,
108,Pesto senza aglio,8032649300625,,['France'],[],[],,,,,,,,,?,557,2330 kj(557 kcal),56,13,3,0,"8,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Jambon a l’ancienne,2470526064226,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",['France'],[],[],3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",5,C,,,,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,-49%,-49%,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,
110,Spaetzle,3065620002367,,['France'],[],[],,,,,,,,,?,359,1502 kj(359 kcal),3,1,70,3,13,"0,1","0,04",,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Filet de Poulet,0213400037464,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,105,439 kj(105 kcal),"1,3","0,4","0,4",0,23,"0,11","0,044",-4,A,,,,,-20%,-19%,-55%,-46%,-16%,-100%,+1%,-85%,-85%,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
112,Confiture kiwi,3500547581330,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de kiwi']",['France'],[],[],0.3 g,en faible quantité,0 g,en faible quantité,38.1 g,en quantité élevée,0 g,en faible quantité,?,165,690 kj(165 kcal),"0,3",0,"39,5","38,1",1,0,0,9,C,,,['Bio'],,-11%,-11%,-28%,-100%,-16%,-16%,+34%,-100%,-100%,+2%,+2%,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
113,Ett-versand Carwoofer 25cm 500Watt Sunburst-optik Sunset,1000000000795,,['France'],[],[],,,,,,,,,?,128,536 kj(128 kcal),"0,5","0,1",27,20,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Petits sablés apéritif au Parmigiano Reggiano,3183811012848,"['Snacks', 'Snacks salés', 'Snacks sucrés', 'Apéritif', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],[],28.4 g,en quantité élevée,18.4 g,en quantité élevée,1.1 g,en faible quantité,1.4 g,en quantité modérée,?,519,2171 kj(519 kcal),"28,4","18,4","52,1","1,1","15,2","1,4","0,56",22,E,,,['AOP'],,+11%,+11%,+18%,+349%,+1%,-65%,+99%,-10%,-10%,+73%,+73%,C,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
115,Pâte praliné amande noisette,3266481373423,,['France'],[],[],,,,,,,,,?,13,54 kj(13 kcal),0,0,"3,2",0,"0,01",,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Cornichons,3574315280053,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0.6 g,en faible quantité,1.82 g,en quantité élevée,?,17,71 kj(17 kcal),0,0,"2,8","0,6","0,9","1,82","0,728",3,C,,,,,-37%,-34%,-100%,-100%,-19%,-77%,-11%,+6%,+6%,+38%,+38%,,,,,,,,,,,,,,,,,,,,,
117,Pain au seigle,0201034008998,,['France'],[],[],,,,,,,,,?,245,1025 kj(245 kcal),"0,8","0,2",49,"1,2","8,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,3183811012855,3183811012855,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Chocolate negro con almendras y arándanos - Tirma,8410085220132,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']",['France'],[],[],32 g,en quantité élevée,14 g,en quantité élevée,41 g,en quantité élevée,0 g,en faible quantité,?,515,2155 kj(515 kcal),32,14,46,41,8,0,0,20,E,,,,,-7%,-7%,-16%,-28%,+14%,+17%,-5%,-100%,-100%,-7%,-7%,E,['Tirma'],85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
120,Moelleux,0118456789060015,,['France'],[],[],,,,,,,,,?,240,1004 kj(240 kcal),"10,5","4,6","27,8","17,9","8,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Filet mignon en croûte,0286084044349,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,3,"1,2",,,"['FR 67.226.002 CE', 'Ittenheim (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,
122,Gourmet Französische Backmischung FüR Polenta 170G,3339335700048,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Printemps à Kyoto - les jardins de Gaïa,0249221040086,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['les jardins de Gaïa'],,,,,,,,,,,,,,,,,,,
124,Gli autentici i ravioli al brasato,8007490031233,,['France'],[],[],,,,,,,,,?,281,1176 kj(281 kcal),7,"2,3",43,"5,9",11,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,lait bio 1/2 écrémé UHT - Super U,3175432122617,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,['Super U'],,,,,,,,,,,,,,,,,,,
126,Panettone Pralines,3760214072435,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],14.8 g,en quantité modérée,9.3 g,en quantité élevée,6 g,en quantité modérée,0.5 g,en quantité modérée,?,366,1531 kj(366 kcal),"14,8","9,3","50,3",6,"8,1","0,5","0,2",16,D,,,,,-2%,-2%,-1%,+3%,-2%,-77%,+19%,+13%,+13%,-14%,-14%,C,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
127,Confiture prune du jardin,,,['France'],[],[],,,,,,,,,?,238,996 kj(238 kcal),"0,5","0,1","57,08",55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,kassler fumé alsace,2426137055177,,['France'],[],[],,,,,,,,,?,116,485 kj(116 kcal),"2,3","0,9","0,7",0,23,"3,2","1,28",,,"['FR 67.348.009 CE', 'Obernai (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Thé vert Gunpowder - BIODYSSEE,3770015013483,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,['BIODYSSEE'],,,,,,,,,,,,,,,,,,,
130,Café moulu familial - Casino Bio,3222477491526,,['France'],[],[],,,,,,,,,?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,['Casino Bio'],,,,,,,,,,,,,,,,,,,
131,Oignons blancs marinés,0039045412141,,['France'],[],[],,,,,,,,,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Viande bovine bio entrecote a griller -,0204928039757,"['Viandes', 'Bœuf', 'Entrecôte de boeuf']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,E,,97.6%,0.4%,0.8%,0.7%,0.4%,0.3%,3,,,,,,,,,,,,
133,matière grasse allée bio 1/2 sel - St Hubert,6493254723605,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,B,['St Hubert'],83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,['Pot en carton'],,,,,,,,,,,
134,bio 1/2 sel allégé - St Hubert,6493214823604,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,B,['St Hubert'],83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,['Pot en carton'],,,,,,,,,,,
135,Purée de sésame tahin,3273120030999,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",['France'],[],[],58.4 g,en quantité élevée,7.9 g,en quantité élevée,0.7 g,en faible quantité,,,?,641,2682 kj(641 kcal),"58,4","7,9","1,3","0,7","21,2",,,,,,,"['Nutriscore', 'Nutriscore C']",,+1%,+1%,+5%,-5%,-80%,+11%,-5%,,,,,D,,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,,,,,,,,,,,,
136,Rillettes de porc,3296410002087,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",['France'],[],[],35 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,375,1569 kj(375 kcal),35,15,"0,5","0,5",18,2,"0,8",22,E,,,,,-5%,-5%,-5%,+6%,-1%,+47%,+14%,+56%,+56%,+13%,+13%,D,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
137,pain au chocolat,0260900016338,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],25.5 g,en quantité élevée,17.9 g,en quantité élevée,12.1 g,en quantité modérée,0.85 g,en quantité modérée,?,435,1820 kj(435 kcal),"25,5","17,9","42,1","12,1","7,9","0,85","0,34",20,E,,,,,+10%,+10%,+16%,+35%,-0%,+1%,+10%,-6%,-6%,+2%,+2%,D,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,
138,confiture de lait - Laiterie La Chapelle - 270g,3760324540329,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,270 g,,,,,,,,,,,,,,B,['Laiterie La Chapelle'],46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,,,,,,,,,
139,"多蔬黃金胚芽E - 馬玉山 - 35公克 x 12包 420g, 14.7oz",4713398110607,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Soupes déshydratées', 'Soupes de légumes déshydratées']",['France'],"['igname', 'tomate', 'graines de citrouille', 'thé vert', ""job's tear"", 'riz noir', 'haricots rouges', 'haricots noirs']",[],,,,,,,,,?,?,,4,"2,29","77,7","2,57","7,14","1,35","0,541",,,,"35公克 x 12包 420 g, 14.7 oz","['HACCP', 'ISO 22000', 'ISO 9001', 'zh:全素食', 'zh:含有維生素A B2，E，鐵', 'zh:多種維生素與礦物質', 'zh:富含維生素B1，C', 'zh:無人工色素', 'zh:無味精多穀濃湯', 'zh:無防腐劑', 'zh:纖美熱量', 'zh:高纖', 'zh:高鈣']",,,,+142%,+256%,+226%,-40%,+142%,-49%,-49%,,,B,"['馬玉山', 'Greenmax']",25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Plastic bag'],,,,,"['馬玉山食品工業股份有限公司', '台灣', '807 高雄市', '三民區', '灣興街94號']",,,,,,
140,Mountain Gift - Les Jardins de Gaïa,3582810253526,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,['Les Jardins de Gaïa'],,,,,,,,,,,,,,,,,,,
141,cuisse de poulet - La Nouvelle Agriculture,0213402017846,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,0 g,en faible quantité,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,-100%,-100%,,,D,['La Nouvelle Agriculture'],83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
142,Les confitures Tastet,3770002248546,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,?,212,887 kj(212 kcal),0,0,53,53,"0,5",0,0,11,D,,,,,-3%,-3%,-100%,-100%,-0%,+5%,-0%,-100%,-100%,+22%,+22%,B,['Tastet'],38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,
143,Vitamine D3 pour enfant en croissance,5412141225276,,['France'],[],[],,,,,,,,,?,9,38 kj(9 kcal),9,9,9,9,9,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Dinde fermière élevée en plein air,0217752017389,,['France'],[],[],,,,,,,,,?,137,573 kj(137 kcal),"5,9","1,4",20,0,20,"0,19","0,076",,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Mélange noix et arachides grillées et salées - 500g,5400606990470,,['France'],[],[],,,,,,,,,?,595,2489 kj(595 kcal),"44,7","5,6","21,6","1,5","22,9","0,6","0,24",,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Miel d'argousier bio Axion Esti,5213002172346,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
147,3770010589075,3770010589075,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Mais Pop Corn 500 GR X 20 Arev Arev,3700066101082,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Gaborcao,2087854000057,,['France'],[],[],,,,,,,,,?,384,1607 kj(384 kcal),"4,8","2,5",61,57,19,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Antonio Amato Pasta Fusilli #114,8008120001145,,['France'],[],[],,,,,,,,,?,355,1485 kj(355 kcal),"1,5","0,3",71,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Assaisonnement pour pate,4008679048107,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Pu'er Maiden,3582810240120,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Palette a la diable,2657317050181,,['France'],[],[],,,,,,,,,?,120,502 kj(120 kcal),"7,7",3,"0,7","0,5",12,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,La délicieuse tomates basilic - CMB,1042264782376,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['CMB'],,,,,,,,,,,,,,,,,,,
155,Pomme coing,3371733407440,,['France'],[],[],,,,,,,,,?,45,188 kj(45 kcal),"0,5","0,1",10,"9,1","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Beurre fermier - Ferme Lindgrube,0602500002401,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,['Ferme Lindgrube'],,,,,,,,,,,,,,,,,,,
157,Œuf de cabillaud,0240631043162,,['France'],[],[],,,,,,,,,?,122,510 kj(122 kcal),"1,3","0,41","2,8","0,8","24,7","4,58","1,832",,,"['FR 62.160.109 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Tanty,5186725011509,,['France'],[],[],,,,,,,,,?,376,1573 kj(376 kcal),0,0,58,0,17,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,tortillas chpis chili - acapulco - 200g,0421511936310,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,200 g,,,,,,,,,,,,,,B,['Acapulco'],62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,
160,Palette de porc fumée,0290080040540,,['France'],[],[],,,,,,,,,?,157,657 kj(157 kcal),"9,9",4,"0,6","0,6","16,3","4,66","1,864",,,"['FR 35.297.003 CE', 'Saint-Méen-le-Grand (Ille-et-Vilaine, France)']",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Fleischschnake,0226630037265,,['France'],[],[],,,,,,,,,?,168,703 kj(168 kcal),"6,2","1,9","12,6","1,3","14,7","1,19","0,476",,,"['FR 67.045.002 CE', 'Bischoffsheim (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Mae Napa sticky rice with coconut cream and durian,8859174100298,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Poulet blanc fermier,0215975078712,"['Viandes', 'Volailles', 'Poulets']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
164,Autocollant,3700366900156,,['France'],[],[],,,,,,,,,?,25,105 kj(25 kcal),25,25,25,25,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Filet de poulet,0213400043953,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
166,2 cuisses de poulet fermier bio,2220527057402,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
167,Burro D'Arachidi,8053908630277,,['France'],[],[],,,,,,,,,?,552.55,2312 kj(552 kcal),"41,71","5,79","33,87","19,15","19,89","1,47","0,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Joy Love Peace Advent Calendar,5013092000761,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",['France'],[],[],45 g,en quantité élevée,28 g,en quantité élevée,3.9 g,en faible quantité,,,?,611,2556 kj(611 kcal),45,28,24,"3,9","6,5",,,,,,,,,+21%,+19%,+54%,+60%,-57%,-92%,+9%,,,,,,,,,,,,,,,,,,,,,,,,,
169,Walnootolie - Lerouge,5430000581240,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['Lerouge'],,,,,,,,,,,,,,,,,,,
170,Donese,2848701022963,,['France'],[],[],,,,,,,,,?,4.9,21 kj(4 kcal),"1,2",0,"4,8","1,9","1,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Huile de tournesol fermière,01951479,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Poulet fermier jaune,2168809012070,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Salchichón ibérico,8436046064737,,['France'],[],[],,,,,,,,,?,420,1757 kj(420 kcal),"34,8","15,2","0,8","0,4",26,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
