,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
56,Chocoreo - Quamtrax,8436046979918,,"['France', 'Espagne']",[],[],?,566,"33,6","44,2","21,08",,2368 kj(566 kcal),"8,9","2,8","0,2","0,08",['Quamtrax'],['Compléments alimentaires'],,+95%,+434%,+131%,-38%,,,,,,,,,33.6 g,en quantité élevée,8.9 g,en quantité élevée,2.8 g,en faible quantité,0.2 g,en faible quantité,+96%,+257%,-61%,-64%,-64%,15,+128%,D,+128%,,,,,,,,,,,,,,
57,Chupa Chups Melody Pops X48,84196842,,"['France', 'Espagne']",[],[],?,382,0,94,0,,1598 kj(382 kcal),0,73,0,0,['Chupa Chups'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pêches plates,26069272,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Ketchup carottes - Natura - 275g,08088204,"['en:gluten-free', 'Sans conservateurs']",['France'],"['Carottes 29%', ""jus d'orange"", 'sucre', 'oignon', 'vinaigre', 'sel', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",427,?,"0,4","22,4","1,9",275g,427 kj(102 kcal),"0,13","20,8","1,1","0,44",['Natura'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Sauces', 'Soupes', 'Sauces tomate', 'Soupes de légumes', 'Soupes de carottes', 'Ketchup']",,,-75%,+477%,+152%,,B,['Glass'],,,,,3,0.4 g,en faible quantité,0.13 g,en faible quantité,20.8 g,en quantité élevée,1.1 g,en quantité modérée,+187%,-82%,+978%,+60%,+60%,7,+259%,C,+259%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,
60,Ravioli Ricotta Epinards - Leaderprice,3263858565016,,['France'],[],[],?,129,"5,4",14,"5,2",,540 kj(129 kcal),"2,6","3,2","0,8","0,32",['Leaderprice'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Tortellini', 'Ravioli ricotta & épinards']",,-40%,-14%,-53%,-37%,,B,,,,,,,5.4 g,en quantité modérée,2.6 g,en quantité modérée,3.2 g,en faible quantité,0.8 g,en quantité modérée,-40%,-14%,+13%,-23%,-23%,3,-45%,C,-45%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,,,,,,,
61,Mini gauffre - Auchan,3596710464470,,['France'],[],[],?,474,27,49,"7,9",,1983 kj(474 kcal),12,33,"0,77","0,308",['Auchan'],,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Raisins secs sultanines - Auchan,8435177057779,"['Nutriscore', 'Nutriscore C']",['France'],[],[],?,322,"0,5",74,"2,8",,1347 kj(322 kcal),"0,1",64,"0,05","0,02",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']",,+4%,-10%,+4%,0%,,D,"['Sachet', 'Plastique']",,,,['Auchan'],,0.5 g,en faible quantité,0.1 g,en faible quantité,64 g,en quantité élevée,0.05 g,en faible quantité,+4%,-24%,+1%,-13%,-13%,8,+54%,C,+54%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,,
63,Crème glace vanille cookie dough* (*pâte à cookie) Bio - Casino Bio - 300g,3222477278530,['Bio'],['France'],"['lait entier* 57,3% - morceaux de pâte à cookie crue* 16,7% [farine de blé* - sucre de canne* - beurre* - sucre inverti* - pépites de chocolat* ', 'pâte de cacao* - sucre de canne* - émulsifiant : lécithine de tournesol*', ' - sel - malt de blé* - arôme ', 'contient orge', ""] - sucre de canne* - beurre* - sirop d'agave* - lait écrémé en poudre* - jaune d'oeuf* - pépites de chocolat* 1,3% "", 'pâte de cacao* - sucre de canne* - émulsifiant : lécithine de tournesol*', ' - extrait de vanille bourbon* - épaississants : farine de graines de caroube*', 'gomme guar* - gousses de vanille épuisées broyées*', ""  * ingrédients issus de l'agriculture biologique"", '  traces de soja et fruits à coque']",['Non végétalien'],978,233,11,29,"4,6",300 g,978 kj(233 kcal),"7,6",24,"0,25","0,1",['Casino Bio'],,,,,,,,,,,,,['Casino'],4,,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']","['Œufs', 'Gluten', 'Lait']","Crème glacée à la vanille (82%) avec des inclusions de morceaux de pâte à cookie crue (16,7%) et de pépites de chocolat (1,3%), issue de l'agriculture biologique, surgelée",,,,
64,Sardines millésime 2019 - La Perle des Dieux - 115g,3760148295122,,['France'],"['Sardines fraîches sélectionnées catégorie extra', ""préparées à l'ancienne"", ""huile d'olive vierge extra"", 'sel']",[],790,223,"16,3","< 0,5","22,5",115g,790 kj(223 kcal),"4,3","< 0,5","0,69","0,276",['La Perle des Dieux'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Filets de poissons', ""Sardines à l'huile"", 'Filets de sardines', ""Sardines à l'huile d'olive"", 'en:european-pilchard-or-sardine-in-olive-oil-canned-drained']",+0%,+17%,+33%,-35%,+11%,,D,['Conserve'],,['Saint-Gilles-Croix-de-Vie'],https://www.laperledesdieux.com/sardines-millesimees/540-sardines-millesimees-2019-delphine-cossais-mlle-perle-et-capucine-au-perou-.html,"['Boutiques La Perle des Dieux', 'Web']",3,16.3 g,en quantité modérée,4.3 g,en quantité modérée,0.5 g,en faible quantité,0.69 g,en quantité modérée,-1%,+32%,+18%,-26%,-26%,4,+15%,C,+15%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,['Poisson'],,,,,
65,FRAMBOISE,8424314002086,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Juver pina,8410707000463,,"['France', 'Espagne']",[],[],?,11,0,"2,6","0,1",,46 kj(11 kcal),0,2,0,0,['Juver'],['es:zumo'],,-72%,-100%,-73%,-65%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,-73%,-100%,-77%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,
67,Junéo,3497900003045,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Café - Nespresso,7630047681141,,['France'],[],[],?,?,?,?,?,,,,,,,['Nespresso'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bio conseils articulations - 29g,3515457323499,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,?,?,?,29 g,,,,,,['Bio conseils'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons alcoolisées', 'Aliments à base de fruits et de légumes', 'Vins', 'Fruits et produits dérivés', 'Fruits', 'Vins français', 'Fruits rouges', 'Cassis']",,,,,,,C,,['France'],,,,,,,,,,,,,,,,,,,,,,88.8%,0.0%,0.0%,4.9%,4.8%,1.6%,30,,,,,,,
70,Pistaches grillées et salées - Auchan - 300g,8435177059124,"['Nutriscore', 'Nutriscore B']",['France'],[],[],2538,613,50,11,25,300 g,2538 kj(613 kcal),"6,5",9,"0,83","0,332",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Fruits à coque salés', 'Pistaches salées']",+1%,+1%,+1%,-20%,+10%,,D,"['Sachet', 'Plastique']",,,,['Auchan'],,50 g,en quantité élevée,6.5 g,en quantité élevée,9 g,en quantité modérée,0.83 g,en quantité modérée,+0%,-7%,+32%,-38%,-38%,2,-67%,B,-67%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,
71,noix de pécan - Pronatura,3760099538811,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,736,73,"6,6","9,6",,3079 kj(736 kcal),73,"5,3","0,002","0,001",['Pronatura'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Caffe Macchiato - Italiamo - 2x 80g,20934101,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,279,"9,9","41,3","3,3",2 x 80 g,1167 kj(279 kcal),"8,5","19,2","0,3","0,12",['Italiamo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Gouda holland au cumin - Auchan,3596710471003,"['Nutriscore', 'Nutriscore D', 'IGP']",['France'],[],[],?,375,31,"0,5",24,,1569 kj(375 kcal),21,"0,5","1,7","0,68",['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",,+0%,+1%,+122%,+1%,,D,,,,,['Auchan'],,31 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,+1%,0%,+131%,-7%,-7%,16,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
74,RED Mex Mojito bière Lidl,3244851004894,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,COMPOTE POMME MANGUE - Nature Bio - 400g,3257986561057,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans sucre ajouté', 'AB Agriculture Biologique']",['France'],[],[],?,56,"0,6",12,"0,5",400 g,234 kj(56 kcal),"0,2",11,"0,01","0,004",['Nature Bio'],,,,,,,,,['Pot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Glace caramel beurre salé - auchan - 280,3596710470358,"['Nutriscore', 'Nutriscore E']",['France'],"['Lait écrémé', 'sucre', 'concentré de protéines de lactosérum ', 'lait', 'eau', 'beurre de cacao', 'matière grasse de coprah', 'lactosérum en poudre ', 'lait', 'caramel en poudre 2,8% ', 'lait écrémé', 'protéines de lait', 'sucre', 'beurre ', 'lait', 'matières grasse laitières anhydre ', 'lait', 'colorant : caramel ordinaire', 'pâte de cacao', 'farine de riz', 'lait écrémé en poudre', 'sirop de glucose', 'glucose', 'lait concentré écrémé ', "" émulsifiants mono - et diglycérides d'acides gras"", 'lécithine de tournesol', 'polyricinoléate de polyglycérol ', ' beurre salé 0,36% ', 'beurre ', 'lait', 'sel', ' arôme naturel de caramel ', ' stabilisants : farine de graines de caroube', 'gomme guar', 'pectines', ' extrait naturel de vanille', 'arôme naturel de vanille', 'arôme naturel', ' Pourcentages exprimés sur le total de la recette', ' Traces éventuelles de fruits à coque', "" Élaboré à partir de lait d'origine UE""]",['Non végétalien'],1321,?,19,34,"3,4",280,1321 kj(316 kcal),13,31,"0,32","0,128",['Auchan'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au caramel']",+32%,,+65%,+19%,+6%,,B,['4'],,,,['Auchan'],4,19 g,en quantité modérée,13 g,en quantité élevée,31 g,en quantité élevée,0.32 g,en quantité modérée,+35%,+72%,+27%,-2%,-2%,20,+34%,E,+34%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['E150a - Caramel E150a', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E440 - Pectines']",['Lait'],,,,,
77,Wkishy,3107872007223,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Tomato ketchup - Tesco - 990g,5057373701954,"['Végétarien', 'Végétalien']","['France', 'Royaume-Uni']","['tomato purée', 'sugar', 'spirit vinegar', 'cornflour', 'salt', 'acidity regulator ', 'citric acid', 'tomato powder', 'rice flour', 'flavouring', 'onion powder', 'dextrose', 'clove extract', 'garlic powder,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,445,"0,4","23,6","1,3",990 g,1862 kj(445 kcal),"0,3","18,1","1,3","0,52",['Tesco'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,+320%,+64%,+4%,0%,,A,"['Plastic', 'PET', '1', 'Bottle', 'Plastic', 'Cap']",,['UK'],,,4,0.4 g,en faible quantité,0.3 g,en faible quantité,18.1 g,en quantité élevée,1.3 g,en quantité modérée,+324%,+372%,-8%,-35%,-35%,14,+16%,D,+16%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['E330 - Acide citrique'],,,,,,
79,Salmón ahumado,2353409009487,,['France'],[],[],?,?,?,?,?,,,,,,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,
80,le burger (halal) - Oriental Viandes - 750g,3700141403810,['Halal'],['France'],[],[],?,239,20,"3,2","11,6",750 g,1000 kj(239 kcal),9,2,"1,2","0,48",['Oriental Viandes'],"['Viandes', 'Steaks']",,+28%,+61%,+1250%,-39%,,,,,,,,,20 g,en quantité modérée,9 g,en quantité élevée,2 g,en faible quantité,1.2 g,en quantité modérée,+27%,+73%,+1251%,+417%,+417%,15,+428%,D,+428%,,,,,,,,,,,,,,
81,Olives Apéro à l'ail - Tramier,3017239004355,,['France'],[],[],?,145,15,"0,5","0,9",,607 kj(145 kcal),2,"0,5","4,5","1,8",['Tramier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Tourte aux blettes salée,2238103056152,,['France'],[],[],?,254,"14,6","26,6","5,5",,1063 kj(254 kcal),"9,1","1,6","0,98","0,392",,"['Tartes', 'Tourtes', 'Tourtes aux blettes']",,-8%,+1%,-4%,-31%,"['FR 06.004.049 CE', 'Antibes (Alpes-Maritimes, France)']",,,,,,,,14.6 g,en quantité modérée,9.1 g,en quantité élevée,1.6 g,en faible quantité,0.98 g,en quantité modérée,-8%,+117%,-42%,-21%,-21%,16,+75%,D,+75%,,,,,,,,,,,,,,
83,100% pur jus orange sanguine - Franprix - 1L,3263858453917,,['France'],[],[],?,49,"0,08","9,5","0,8",1 L,205 kj(49 kcal),"0,01","9,5","0,01","0,004",['Franprix'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange sanguine"", ""Jus d'orange pur jus""]",,+11%,-42%,-3%,+36%,,D,['Brique'],,,,['Franprix'],,0.08 g,en faible quantité,0.01 g,en faible quantité,9.5 g,en quantité élevée,0.01 g,en faible quantité,+11%,-48%,+1%,+37%,+37%,4,+23%,C,+23%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
84,"Maisel's welsse aus Bayreuth - Brauerei Gebr. Maisel KG - 0,5l",40173832,,['France'],"['Wasser', 'Weizen - und Gerstenmalz', 'Gärungskohlensäure', 'Hefe', 'Hopfen']",[],?,24,0,"5,2","0,6","0,5 l",100 kj(24 kcal),0,"1,3",0,0,['Brauerei Gebr. Maisel KG'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,-45%,-100%,+34%,+50%,,C,['Flasche'],,,,,3,,,,,,,,,-46%,-100%,+44%,-100%,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Gluten'],,,,,
85,Sirop,3217690052890,,['France'],[],[],?,64,"0,1","79,3","0,1",,268 kj(64 kcal),"0,1",78,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Coktail blanc pina colada,3394292420033,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Croq'avoine nature - Pural - 160g,3184340060003,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose', 'en:palm-oil-free']","['France', 'Suisse']","[""flocons d'avoine sans gluten* "", '40%', 'semoule de maïs', ""farine d'avoine sans gluten* "", '15 %', 'farine de riz*', 'farine de riz prégélatinisée', 'huile de tournesol', 'amidon de maïs', 'sel iodé', 'épaissis - sant: gomme de xanthane', 'poudre à lever: bicarbonate de sodium', "" *issu de l'agriculture biologique Peut contenir des traces de sésame""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,330,10,49,8,160 g,1381 kj(330 kcal),"1,4","0,7","1,9","0,76",['Pural'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains croustillants']",,-12%,+31%,-14%,-30%,,,,,['Roumanie'],,['Magasin bio'],4,10 g,en quantité modérée,1.4 g,en faible quantité,0.7 g,en faible quantité,1.9 g,en quantité élevée,-13%,+2%,-75%,+48%,+48%,8,+121%,C,+121%,,,,,,,,"['E415 - Gomme xanthane', 'E500ii - Carbonate acide de sodium']",['Graines de sésame'],,,,,
88,Crumble pommes caramélisées - Auchan,3596710472116,,['France'],[],[],?,194,"7,9",29,1,,812 kj(194 kcal),"4,5",22,"0,11","0,044",['Auchan'],,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Tesco Organic Chopped Tomatoes,5052319070088,,['France'],"['Organic tomato ', '65%', 'Organic Concentrated Tomato Juice', ' Acidity Regulator ', 'Citric Acid']",[],?,25,"0,2",4,"1,4",,105 kj(25 kcal),0,4,"0,1","0,04",['Tesco'],['en:chopped tomatoes'],,,,,,,,,,,,,,0.2 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,0.1 g,en faible quantité,,,,,,0,,B,,,,,,,,,['E330 - Acide citrique'],,,,,,
90,Huevo de chocolate pjmaks,8421699224461,,"['France', 'Espagne']",[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,['es:Infantil'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Glace Astérix -,8435130131867,"['en:Asterix licensed products', 'en:Licensed products']",['France'],[],[],?,256,"12,2","33,5","2,8",,1071 kj(256 kcal),"9,9","32,4","0,13","0,052",,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,+10%,+4%,+20%,-11%,,B,,,,,,,12.2 g,en quantité modérée,9.9 g,en quantité élevée,32.4 g,en quantité élevée,0.13 g,en faible quantité,+10%,+30%,+38%,-13%,-13%,19,+42%,E,+42%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,
92,Les petits carrés apéritif,3770008206120,"['Bio', 'Végétarien', 'Bio européen', 'Sans conservateurs', 'Végétalien', 'en:palm-oil-free', 'AB Agriculture Biologique']",['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,425,"18,7","50,5","9,8",,1778 kj(425 kcal),"2,5","9,6","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Limonada de fresa - Solevita,20075361,,"['France', 'Espagne']",[],[],?,23,"0,1","5,4","0,1",,96 kj(23 kcal),0,"5,4",0,0,['Solevita'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,-26%,+23%,-28%,-2%,,,,,,,,,0.1 g,en faible quantité,0 g,en faible quantité,5.4 g,en quantité modérée,0 g,en faible quantité,-24%,-100%,-26%,-100%,-100%,8,-22%,D,-22%,,,,,,,,,,,,,,
94,Turron frutos secos - Nestlé - 230g,7613034951243,,['France'],[],[],?,571,38,0,8,230 g,2389 kj(571 kcal),"13,7",0,"0,1","0,04",['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Lait de croissance bouteille - Marque Repère - 6x 1l,3564700091234,['Entrepreneurs + Engagés'],['France'],"['Eau ', ' lait entier 35 % ', 'origine : France', ' ', ' lactosérum déminéralisé ', ' maltodextrines ', ' huiles végétales ', 'colza', 'tournesol', ' ', ' minéraux ', 'dont lait', ' : citrate de calcium', 'phosphate de calcium', 'citrate de potassium', 'citrate de sodium', 'gluconate de zinc', 'sulfate ferreux', 'sélénite de sodium', 'iodure de potassium', 'gluconate de cuivre', 'gluconate de manganèse ', ' émulsifiant : lécithines ', 'tournesol', ' ', ' vitamines ', 'dont lait', ' : C', 'E', 'B9', 'PP', 'A', 'D', 'B5', 'K', 'B2', 'B8', 'B6', 'B1', 'B12']",['Non végétalien'],269,?,3,"7,5","1,8",6 x 1 l,269 kj(64 kcal),"1,3","5,5","0,1","0,04","['Marque Repère', 'Délisse']","['Aliments pour bébé', 'Laits pour bébé', 'Laits de croissance']",-33%,,-50%,-55%,-45%,,B,,,,,['Leclerc'],4,,,,,,,,,-51%,-22%,-50%,-18%,-18%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,['E322i - Lécithine'],['Lait'],,,,,
96,Blended scotch whisky 40% - Marque Repère - 150cl,3564700264706,,['France'],[],[],919,?,0,0,0,150 cl,919 kj(220 kcal),0,0,0,0,"['Marque Repère', ""Baird's""]",,,,,,,,,['Bouteille'],,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Vin de pays d'Oc 12.5° cépage Chardonnay blanc - Marque Repère - 75cl,3564700385500,,['France'],['Contient des sulfites'],[],?,?,?,?,?,75 cl,,,,,,"['Marque Repère', 'Vieux Carion']",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
98,Liqueur au rhum goût coco 17° - Marque Repère - 70cl,3564700641910,,['France'],"['Rhum des Caraïbes à 37,5 % vol ', '41 %', ' ', ' eau ', ' sirop de glucose-fructose ', ' sucre ', ' rhum vieux à 37,5 % vol ', '2,2 %', ' ', ' arôme ', ' extrait de noix de coco 0,1 % ', 'alcool', 'eau', 'noix de coco']",[],?,?,?,?,?,70 cl,,,,,,"['Marque Repère', 'Lagoa']","['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Boissons aperitives']",,,,,,,E,['Bouteille'],,,,['Leclerc'],4,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,
99,Corse rosé A.O.C. 2017 - Marque Repère - 75cl,3564700773239,,['France'],['Contient des sulfites'],[],?,?,?,?,?,75 cl,,,,,,"['Marque Repère', 'Terres Ocrées']",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
100,"Bourgogne chardonnay A.O.C. 2017 - Marque Repère - 37,5cl",3564700780909,,['France'],['Contient des sulfites'],[],?,?,?,?,?,"37,5 cl",,,,,,"['Marque Repère', 'Antoine Barrier']",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
101,Muscadet Sèvre et Maine sur Lie A.O.C. 2017 - Marque Repère - 75cl,3564700782989,,['France'],['Contient des sulfites'],[],?,?,?,?,?,75 cl,,,,,,"['Marque Repère', 'Les Caractères']",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
102,Bergerac rouge A.O.C. 2016 - Marque Repère - 75cl,3564700786239,['Contient des sulfites'],['France'],['Contient des sulfites'],[],?,?,?,?,?,75 cl,,,,,,"['Marque Repère', ""Terrasses d'Autan""]",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
103,Coteaux Bourguignons A.O.C. 2017 - Marque Repère - 75cl,3564700789919,,['France'],['Contient des sulfites'],[],?,?,?,?,?,75 cl,,,,,,"['Marque Repère', 'Antoine Barrier']",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
104,Morgon A.O.C. 2017 - Marque Repère - 75cl,3564700790038,,['France'],['Contient des sulfites'],[],?,?,?,?,?,75 cl,,,,,,"['Marque Repère', 'Antoine Barrier']",,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
105,Bière aromatisée Vodka 6% vol. - Marque Repère - 50cl,3564700819135,,['France'],"['Bière ', 'eau', ""malt d'orge"", 'maïs', 'extrait de houblon', 'sucre', 'eau', ""arôme naturel d'agrumes"", 'arôme naturel ', 'dont celeri', 'acidifiant : acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,?,?,?,50 cl,,,,,,"['Marque Repère', 'Desquiles']",,,,,,,,,,,,,['Leclerc'],4,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],"['Céleri', 'Gluten']",,,,,
106,Corbières A.O.C. - Bag-in-Box® - Marque Repère - 3l,3564700997222,,['France'],['Contient des sulfites'],[],?,?,?,?,?,3 l,,,,,,"['Marque Repère', 'Prieur Barsanne']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Corbières']",,,,,,,C,,['France'],,,['Leclerc'],3,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['Anhydride sulfureux et sulfites'],,,,,
107,Côtes de Gascogne blanc sec bio I.G.P. - Marque Repère - 75cl,3564707092777,"['Bio', 'Bio européen', 'Contient des sulfites', 'IGP', 'AB Agriculture Biologique']",['France'],['Contient des sulfites'],[],?,?,?,?,?,75 cl,,,,,,"['Marque Repère', ""Terrasses d'Autan""]","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Gascogne', 'Côtes de Gascogne blanc']",,,,,,,B,,['France'],,,['Leclerc'],3,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['Anhydride sulfureux et sulfites'],,,,,
