,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
60,Filet cabillaud façon meuniere - Auchan,3254567336455,['France'],[],[],?,158,661 kj(158 kcal),"6,1","0,6",11,"1,6",14,"1,1","0,44","['Pêche durable', 'Pêche durable MSC']","['EMB 56094C', 'Kervignac (Morbihan, France)', 'MSC-C-50004']",,,"['Barquette en plastique', 'Film en plastique']",['Auchan'],"['Produits de la mer', 'Poissons', 'Filets de poissons']",,,['Auchan'],,,-19%,-50%,+453%,-20%,,,,,,,,6.1 g,en quantité modérée,0.6 g,en faible quantité,1.6 g,en faible quantité,1.1 g,en quantité modérée,-18%,-76%,+245%,-36%,-36%,0,-100%,B,-100%,,,,,,,
61,Confiture fruits des bois - Zuegg - 250g,80242314,['France'],[],[],?,159,665 kj(159 kcal),0,0,"36,7","34,7","0,6","0,06","0,024",['en:gluten-free'],,,250 g,,['Zuegg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Clementine curd - Marks & Spencer,00845878,['France'],"['Sucre · OEuf pasteurisé ', '20%', ' · Beurre ', 'Lait', ' ', '15%', ' · Jus de clémentine concentré ', '9%', "" · Eau · Correcteur d'acidité : Acide citrique · Gélifiant: Agar-agar · Sel · Huile d'orange""]","['Sans huile de palme', 'Non végétalien']",?,371,1552 kj(371 kcal),"13,5","9,4","59,6","55,7","2,6","0,3","0,12",,,,,,['Marks & Spencer'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Crèmes de fruits à tartiner']",,,,4,,+9%,+26%,+3%,+20%,,,,,,,,13.5 g,en quantité modérée,9.4 g,en quantité élevée,55.7 g,en quantité élevée,0.3 g,en quantité modérée,+10%,+60%,+5%,+99%,+99%,24,+26%,E,+26%,"['E330 - Acide citrique', 'E406 - Agar-agar']",,['Lait'],,,,
63,Tagliatelles aux oeufs frais - Auchan,3596710476053,['France'],"['Semoule de blé dur', 'oeufs frais 18 %', 'eau']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,288,1205 kj(288 kcal),"2,8","0,8",53,"1,4",11,"0,07","0,028",,,,,"['Sachet', 'Plastique']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles aux oeufs', 'Tagliatelles aux œufs']",,,['Auchan'],1,,-5%,+8%,-6%,-1%,,,,,,,,2.8 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en faible quantité,0.07 g,en faible quantité,-4%,+16%,-21%,-57%,-57%,-4,,A,,,,"['Œufs', 'Gluten']",,,,
64,Queso gouda lonchas sin lactosa - Kaiku,8410981095087,['France'],[],[],?,360,1506 kj(360 kcal),28,15,"0,01","0,01",27,"1,8","0,72",['Sans lactose'],,,,,['Kaiku'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Montain Dew,4060800303202,['France'],[],[],?,48,201 kj(48 kcal),0,0,13,13,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sel d'hymalaya,5060218989363,['France'],[],[],?,?,,?,,?,,?,,,['Sans additifs'],,B,,,,"['Epicerie', 'Condiments', 'Sels']",,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,,,,,,,,,,,
67,Lentilles rouges corail - Moulin des moines - 500g,3347430022170,['France'],"[""Lentilles rouges* *issues de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1495,357,1495 kj(357 kcal),1,0,"32,1",0,"27,5",0,0,"['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-01']",,B,500g,['Plastique'],['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",,,,1,+5%,+7%,-38%,-34%,+10%,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+6%,-100%,-100%,-100%,-100%,-6,,A,,,Lentilles corail,,,,,
68,Landgarten,9004998002023,['France'],[],[],?,473,1979 kj(473 kcal),23,15,59,54,"4,2","0,1","0,04",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Panna cotta,3451790013546,['France'],[],[],?,322,1347 kj(322 kcal),30,21,"10,4","10,4","2,6","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Eschscholtzia et de Valériane,3401597517426,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Fourme d’ambert,2430698017451,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Apero pico - Moulin des moines,3347430018951,['France'],[],[],?,443,1854 kj(443 kcal),15,"2,3",62,2,12,"2,12","0,848","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,['Moulin des moines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Famille Amirault Grosbois - 0,75cl",3760184680197,['France'],[],[],?,?,,?,,?,,?,,,,,D,"0,75cl",['bouteille verre'],['Famille Amirault Grosbois'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,['super u'],,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,
74,Max Fun,7622210316295,['France'],[],[],?,504,2109 kj(504 kcal),25,"0,1",63,58,"5,5","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Bière barbare,5411676100881,['France'],[],[],?,?,,?,,?,,?,,,,,C,,,,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,
76,La crème dessert chocolat bio - Franprix,3263858071029,['France'],[],[],?,137,573 kj(137 kcal),"4,1","2,8",21,18,"3,5","0,09","0,036",['Bio'],,,,,['Franprix'],,,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Kjeldsens Butter Cookies,0077330012416,['France'],[],[],?,512,2142 kj(512 kcal),26,16,64,28,"5,5","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3400927927492,3400927927492,"['France', 'Guadeloupe']","['Alginate de sodium Bicarbonate de sodium ', ' 500,00mg 267,00 mg pour un sachet de 10 ml', ' Excipients à effet notoire : parahydroxybenzoate de méthyle', 'parahydroxybenzoate de propyle', 'sodium', "" Voir la notice pour plus d'informations"", ' TENIR HORS DE LA VUE ET DE LA PORTÉE DES ENFANTS', ' Précautions particulières de conservation :']",[],?,?,,?,,?,,?,,,['Suspension buvable'],['3400927927492'],,,['Zentiva'],,['Sanofi'],['France'],,['Sanofi'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E401 - Alginate de sodium', 'E216 - 4-hydroxybenzoate de propyle']",,,['Gentilly france'],,,
79,A-Z Tabletten - Omni Vit - 100comprimés,4047036002468,"['France', 'Allemagne']","['Zusammensetzung: 1 Tablette ', 'Tagesdosis', ' 400 ug RE 1,1 mg 1,4 mg 1,4 mg 2,5 µg Vitamine % NRV* 50 % Vitamin A 100 % Vitamin B1 100 % Vitamin B2 100 % Vitamin B6 100 % Vitamin B12 16 mg NE 200 pg 100 % Niacin 100 % Folsäure 50 Hg 100 % Biotin 6,0 mg 100 % Pantothensäure 80 mg 100 % Vitamin C 5,0 µg 100 % Vitamin D 12 mg a-TE 75 Hg 100 % Vitamin E 100 % Vitamin K 1 Tablette ', 'Tagesdosis', ' 170 mg % NRV* Mineralstoffe 21 % Calcium 150mg 40 % Magnesium Phosphor Spurenelemente 130 mg 19 % 1 Tablette ', 'Tagesdosis', ' 75 µg % NRV* 50 % Jod 50 % 25 µg 20Hg Molybdän Chrom 50 % 50 % 27,5 µg 2,0 mg 1000pg Selen 20 % Zink Lutein * % der Nährste ', 'NRV']",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,100 comprimés,['Carton'],['Omni Vit'],"['Compléments alimentaires', 'Vitamines']",['Allemagne'],http://wsmed.de/OVa-ztab,['Penny Markt'],,,-100%,-100%,-100%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,['Laboratoire'],,,
80,Chicken and mushroom risotto - 380g,29034901,['France'],[],[],?,107,448 kj(107 kcal),"2,7","1,1","11,4","0,4","8,8","0,45","0,18",,['FSC-C012938'],,380 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Céréales bio,4006381333665,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Haricot coco plat,3613070000008,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Grunkohl - Theas’s Beste - 800g,24879675,['France'],[],[],?,413,1728 kj(413 kcal),"5,5",2,"4,5",1,?,"1,13","0,452",,,,800g,,['Theas’s Beste'],"['Plats préparés', 'Salades', 'Salades composées', 'Salades de légumes']",,,,,,+208%,-16%,-51%,,,,,,,,,5.5 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,1.13 g,en quantité modérée,+214%,+100%,-56%,+43%,+43%,,,,,,,,,,,
84,Salade Garden Norvegienne,0205856013512,['France'],[],[],?,165,690 kj(165 kcal),12,"3,8","6,1","1,4","7,7","1,1","0,44","['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Chocolat à la fraise,5310206001431,['France'],[],[],?,552,2310 kj(552 kcal),"29,9","26,7","63,6","57,4","3,2","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PIZZA PROSCIUTTO - Turini - 400g,3564706608399,['France'],[],[],?,222,929 kj(222 kcal),"6,3","3,5",28,2,12,"1,3","0,52",,,,400 g,,['Turini'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,,,,,-3%,-25%,+4%,+17%,,,,,,,,6.3 g,en quantité modérée,3.5 g,en quantité modérée,2 g,en faible quantité,1.3 g,en quantité modérée,-3%,-11%,-32%,+4%,+4%,3,-61%,C,-61%,,,,,,,
87,Confiture Allégée Myrtille Sureau - Confit de Provence,3452200060020,['France'],[],[],?,154,644 kj(154 kcal),"0,2","0,05",35,33,"0,6","0,06","0,024",,,D,,,['Confit de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,,,,-30%,-23%,-34%,+54%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.2 g,en faible quantité,0.05 g,en faible quantité,33 g,en quantité élevée,0.06 g,en faible quantité,-30%,+13%,-35%,+259%,+259%,7,-24%,C,-24%,,,,,,,
88,Granula -,7622210675507,['France'],[],[],?,499,2088 kj(499 kcal),24,12,62,29,"7,1","1,25","0,5",,,D,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,,,,+1%,+3%,-0%,+8%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,24 g,en quantité élevée,12 g,en quantité élevée,29 g,en quantité élevée,1.25 g,en quantité modérée,+1%,+2%,-11%,+126%,+126%,27,+26%,E,+26%,,,,,,,
89,Confiture de fraise - Les saveurs du vercors - 430g,3760163630854,['France'],"['Fraise *', 'citron *', 'sucre de canne roux * ', 'contrôlé eco social par IBD', ""gélifiant : agar agar ** issu de l'agriculture biologique""]",[],?,224,937 kj(224 kcal),"0,2",,"52,3","52,3","0,8","0,019","0,008","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE']",,C,430 g,['bocal en verre'],['Les saveurs du vercors'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['38250'],,['Biocoop'],4,,+3%,-17%,-2%,+81%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.2 g,en faible quantité,,,52.3 g,en quantité élevée,0.019 g,en faible quantité,+3%,,+3%,-16%,-16%,,,,,['E406 - Agar-agar'],,,,,,
90,Bouillon Grønsags M. Gær,4011437040305,['France'],[],[],?,225,941 kj(225 kcal),"9,2","1,2","13,3","3,2","20,3","31,5","12,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Filet de dorade sébaste - Grand frais - 400g,2869618035686,['France'],[],[],?,?,,?,,?,,?,,,,,,400g,,['Grand frais'],"['Produits de la mer', 'Poissons', 'Filets de poissons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Dolcetto - 8x 25g,8005380010443,['France'],[],[],?,100,418 kj(100 kcal),"16,1","7,4","56,6","37,7","4,8","0,53","0,212",['en:No lactosemade-in-italy'],,,8 x 25 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Früchtetee kiwi erdbeere aromatisiert,4056489031635,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Bio Tofu - 450g,8710624283551,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,['Bio'],,A,450 g,['Brick'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']",,,,,,,,,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,,,,,,,,,,,,,,,,,,,,,,,,
95,Noix sèche,3760105311650,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Oreo Thins & Crispy Vanilla Delight Sandwich Cookies,9300650025172,['France'],[],[],?,?,,?,,?,,?,,,,,,,,['Oreo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Conchiglioni N°313 - La Molisana - 500g,8004690123133,['France'],[],[],?,351,1469 kj(351 kcal),1,"0,3",70,4,14,"0,02","0,008",,,C,500 g,['Sachet'],['La Molisana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",,,,,,-1%,-44%,+0%,+13%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,1 g,en faible quantité,0.3 g,en faible quantité,4 g,en faible quantité,0.02 g,en faible quantité,-1%,-21%,+27%,-16%,-16%,-1,,A,,,,,,,,
98,3250391878666,3250391878666,['France'],[],[],?,?,,?,,?,,?,,,,"['EMB 21231', ""Dijon (Côte-d'Or, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PERLER,7622210925664,['France'],[],[],?,493,2063 kj(493 kcal),28,17,52,48,"4,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PERLER,7622210925664,['France'],[],[],?,493,2063 kj(493 kcal),28,17,52,48,"4,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mascarpone,2952945873152,['France'],[],[],?,403,1686 kj(403 kcal),41,28,4,3,"4,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,un coin de provence,3511720128297,['France'],['100G SAVON CARAMEL keme 62M hosen'],[],?,?,,?,,?,,?,,,['Fabriqué en France'],,,,,['un coin de provence'],"['Non alimentaire', 'Open Beauty Facts']",['France'],,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Château Flamand Bellevue,3700689907559,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1 coeur pour 2 - Picard - 170g,3270160822331,['France'],[],[],?,349,1460 kj(349 kcal),21,"9,4",33,27,"6,9","0,12","0,048",,,,170 g,,['Picard'],,,,['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Dahl de lentilles germées - MonBio - 280g,3760201338605,['France'],"['Riz complet*', '38%', 'lentilles germées*', '29%', 'lait de coco*', '16%', ' ', 'extrait de noix de coco*', 'eau', 'épaississant :\rgomme de guar*', 'oignons*', 'ail*', 'huile de colza*', 'épices*', 'sel', 'crème de riz*', ""\r* : Produits issus de l'agriculture biologique""]",[],878,205,878 kj(205 kcal),"4,5","2,7","35,2","1,4","5,9","0,8","0,32","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore']",,,280 g,"['Frais', 'fourreau carton', 'barquette plastique']",['MonBio'],"['Plats préparés', 'Frais', 'Plats préparés frais']","['Castelnaudary', 'Occitanie', 'France']",https://www.nutrinat.fr/,"['Biocoop', 'Lescomptoirsdelabio']",4,+19%,+11%,-46%,+110%,-21%,,,,,,,,4.5 g,en quantité modérée,2.7 g,en quantité modérée,1.4 g,en faible quantité,0.8 g,en quantité modérée,+16%,+7%,-38%,-21%,-21%,2,-52%,B,-52%,['E412 - Gomme de guar'],PLAT VEGETAL BIOLOGIQUE A BASE DE CEREALES ET LEGUMINEUSES,,['France'],,,
106,Millefoglie d'Italia,8000350000875,['France'],[],[],?,531,2222 kj(531 kcal),30,"17,9","55,4","14,5","7,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Salade mâche - 150g,3100045040423,['France'],[],[],?,?,,?,,?,,?,,,,,,150 g,,,['Salades'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Mimolette 1/2 vieille - Carrefour - 242g,2423815026177,['France'],[],[],?,?,,?,,?,,?,,,,,D,242g,,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache']",,,['Carrefour'],,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,
109,Galette de mais avec graine de chia - Castelfood,8052742250269,['France'],[],[],?,394,1648 kj(394 kcal),"4,2","0,5","78,3","0,4","7,9","0,3","0,12",,,B,,,['Castelfood'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé']",,,,,,-0%,+4%,-1%,+2%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,4.2 g,en quantité modérée,0.5 g,en faible quantité,0.4 g,en faible quantité,0.3 g,en quantité modérée,-1%,-38%,-77%,-30%,-30%,-4,-368%,A,-368%,,,,,,,
110,Pizza regina - Leclerc - 545g,0209996038701,['France'],"['Pâte pizza ', 'FARINE DE BLÉ T65', 'eau', ""huile d'olive"", 'sel', 'levure', 'mélange fromage ', 'LAIT pasteurisé', 'sel', 'FERMENT LACTIQUE', 'PRÉSURE', 'amidon', ' jambon blanc 17% ', 'jambon de porc', 'sel', 'bouillon', 'eau', 'arôme naturel', 'ARÔMES NATURELS', 'dextrose', 'viande origine France', 'sauce tomate ', 'tomate', 'oignon', 'concentré de tomate', ""huile d'olive"", 'ail', 'sucre', 'origan', 'poivre', 'sel', 'champignon 10%', 'olive noir ', 'olives noires', 'origan']","['Non végétalien', 'Non végétarien']",876,209,876 kj(209 kcal),10,"4,3",18,"2,4",11,"0,91","0,364",['Point Vert'],,C,545 g,"['Barquette', 'Plastique']",['Leclerc'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas royales']","['Nantes', 'Loire-Atlantique', 'Pays de la Loire', 'France']",,['Leclerc'],4,+1%,+1%,+47%,-29%,+15%,60.0%,15.9%,6.3%,5.5%,2.6%,9.8%,70,10 g,en quantité modérée,4.3 g,en quantité modérée,2.4 g,en faible quantité,0.91 g,en quantité modérée,+2%,+41%,-22%,-25%,-25%,5,+12%,C,+12%,,,"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,,
111,Gouda - Lidl,4056489102526,['France'],[],[],?,?,,?,,?,,?,,,,,,,,"['Lidl', 'Milbona']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Sardines tomate basilic à l'huile d'olive - Berthe Brand - 125g,5601010512238,['France'],"['Sardines ', 'poisson', ' ', '65%', 'Tomate ', '18%', 'Eau', ""Huile d'olive"", ""Vinaigre d'alcool"", 'Sel', 'Sucre', 'Epaississant: gomme guar', 'Basilic ', '0', '1%', 'Arôme de basilic ', '0', '1%', ""Poudre d'oignon""]","['Non végétalien', 'Non végétarien']",?,192.8,807 kj(192 kcal),"14,4","3,6","1,36","1,36","15,2",0,0,,,C,125 g,['Boite'],['Berthe Brand'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",['Portugal'],,['Match'],4,,-22%,-19%,+324%,-29%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,14.4 g,en quantité modérée,3.6 g,en quantité modérée,1.36 g,en faible quantité,0 g,en faible quantité,-22%,-6%,+548%,-100%,-100%,0,-100%,B,-100%,['E412 - Gomme de guar'],,['Poisson'],['Portugal'],,,
113,Omega 3 - Prozis,5600380891332,['France'],[],[],?,0,0 kj(0 kcal),"0,3",0,0,0,0,0,0,,,,,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Vitascorbol acérola 1000,3614819998617,['France'],[],[],?,180,753 kj(180 kcal),15,1,9,2,25,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Alliance vegetale,2950797000735,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Instants Nature Lentilles germées et blé - Instant Nature - 160g,3760201338483,['France'],"['Blé mondé précuit* ', '31%', 'lentilles vertes germées précuites*', '28%', 'carottes*', '12,7%', 'tomates séchées réhydratées*', 'eau', 'tomates*', 'sel', 'huile de colza*', 'moutarde à l’ancienne* ', 'vinaigre de cidre*', 'graines et téguments de moutarde*', 'eau', 'sel', 'vinaigre blanc*', 'persil*', 'sel', 'herbes de Provence*', 'épices*', ""*: Produits issus de l'agriculture biologique""]",[],1003,240,1003 kj(240 kcal),"11,4","0,9",25,2,"6,7","1,3","0,52","['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,,160 g,"['Frais', 'fourreau carton', 'barquette plastique']",['Instant Nature'],['Salades traiteurs'],"['Castelnaudary', 'Occitanie', 'France']",https://www.nutrinat.fr/,"['Biocoop', 'Lescomptoirsdelabio']",3,,,,,,,,,,,,,11.4 g,en quantité modérée,0.9 g,en faible quantité,2 g,en faible quantité,1.3 g,en quantité modérée,,,,,,0,,B,,,SALADE VEGETALE BIOLOGIQUE A BASE DE CEREALES ET LEGUMINEUSES GERMEES,"['Blé mondé précuit', ""Moutarde à l'ancienne""]",['France'],,,
117,Salade quinoa et graines de courge - Instants nature - 160g,3760201338452,['France'],"['Quinoa blanc* ', '38%', 'poivrons rouges*', '12%', 'raisins secs réhydratés*', '12%', ' ', 'raisins secs*', 'eau', 'huile de\rtournesol*', 'pois chiches germés*', 'graines de tournesol*', 'huile de colza*', 'graines de courge*', 'vinaigre de cidre*', 'bouillon\rlégumes* ', 'sel de mer', 'glucose DE 29*', 'amidon de maïs*', 'carotte*', 'panais*', 'poireau*', 'livèche*', 'chou vert*', 'oignons*,\rtomate*', 'persil*', 'huile de tournesol*', 'ail*', 'curry*', 'coriandre*', 'curcuma*', 'fenouil*', 'oignon*', 'fenugrec*', 'cumin*,\rgingembre*', 'paprika*', 'ail*', 'piment*', 'curcuma* ', 'sel', 'persil*', 'épices Tandoori*', 'tomates*', 'coriandre*', 'citron*', 'fenugrec*,\roignons*', 'ail*', 'laurier*', 'épices*', ""\r* : Produits issus de l'agriculture biologique""]",[],1030,248,1030 kj(248 kcal),17,"1,7",17,4,"6,9","1,1","0,44","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore B']",,,160 g,"['Frais', 'fourreau carton', 'barquette plastique']",['Instants nature'],"['Plats préparés', 'Salades', 'Salades composées', 'Plats à base de quinoa']","['Castelnaudary', 'Occitanie', 'France']",https://www.nutrinat.fr/,"['Biocoop', 'Lescomptoirsdelabio']",3,+76%,+91%,+291%,+13%,+32%,,,,,,,,17 g,en quantité modérée,1.7 g,en quantité modérée,4 g,en faible quantité,1.1 g,en quantité modérée,+90%,+125%,+99%,+54%,+54%,1,,B,,,SALADE VEGETALE BIOLOGIQUE A BASE DE CEREALES ET LEGUMINEUSES GERMEES,,['France'],,,
