,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,additives,packaging,manufacturing,generic_name,link,palm_ingredients
1036,Raviolis au fromage de chèvre et miel - Robert Esposito - 250g,3308090003893,C,250 g,['Robert Esposito'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches', 'Ravioli', 'Pâtes farcies au fromage', 'Ravioli au fromage', 'Pâtes fraîches au fromage', 'Raviolis fraîs au fromage']",,,['France'],[],,[],,5.1 g,en quantité modérée,3.3 g,en quantité modérée,1.9 g,en faible quantité,0.55 g,en quantité modérée,?,,247,-2%,1033 kj(247 kcal),-3%,"5,1",-32%,"3,3",-13%,"40,6",+14%,"1,9",-49%,"9,1",-10%,"0,55",-38%,"0,22",-38%,3,-56%,C,-56%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,,"['FR 13.211.002 CE', 'Marseille 11e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,
1037,Ravioli Bolets et Cèpes - Robert Esposito,3308090003916,,,['Robert Esposito'],,,,['France'],[],,[],,,,,,,,,,?,,212,,887 kj(212 kcal),,"3,15",,2,,"36,5",,"3,2",,"8,1",,"0,78",,"0,312",,,,,,,,,,,,,,,,,,,,
1038,Ravioli ricotta - Robert Esposito,3308090003930,,,['Robert Esposito'],,,,['France'],[],,[],,,,,,,,,,?,,238,,996 kj(238 kcal),,"4,2",,"2,8",,40,,"2,5",,9,,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,
1039,Gnocchis à Poêler -,3308090004173,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",,,['France'],"['Semoule de BLÉ dur de qualité supérieure ', 'GLUTEN', 'flocons de pomme de terre 30 % ', 'SULFITES', 'eau', 'margarine ', 'matières grasses: huiles et graisses végétales raffinées', 'palme colza', 'tournesol', 'eau', 'sel', ""émulsifiants : mono- et diglycérides d'acides gras E47I"", 'lécithines E322 avec dérivés du SOJA', 'acidifiants : acide citrique E330', 'conservateur : sorbate de potassium E202', 'sucre', 'arôme avec dérivés du LAIT', 'colorant : B-carotène E160a', 'sel']","['Gluten', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,['Huile de palme']
1040,Linguine - Robert Esposito,3308090004210,,,['Robert Esposito'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Linguine']",,,['France'],[],,[],,1.8 g,en faible quantité,0.5 g,en faible quantité,1.2 g,en faible quantité,0.038 g,en faible quantité,?,,279,-19%,1167 kj(279 kcal),-19%,"1,8",+7%,"0,5",+37%,54,-20%,"1,2",-57%,"9,9",-21%,"0,038",+72%,"0,015",+72%,-2,,A,,,,,,,,,,"['FR 13.211.002 CE', 'Marseille 11e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,
1041,3308351212101,3308351212101,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1042,3308440018690,3308440018690,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['IGP'],,,,,,,
1043,Rosé - Les Celliers du Mont Royal - 10l,3308440042299,D,10 l,['Les Celliers du Mont Royal'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",['Communauté Européenne'],,['France'],['Contient des sulfites'],['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,"['Déconseillé à certaines catégories de personnes', 'Point Vert', 'Déconseillé aux femmes enceintes']",,,['Cubitainer'],,,,
1044,Chateau de LUNES -  - 75cl,3308440054926,C,75cl,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,
1045,Vin blanc spécial fruits de mer - Les Celliers du Mont Royal - 5l,3308440055060,D,5 l,['Les Celliers du Mont Royal'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",,,['France'],['Contient des sulfites'],['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Point Vert', 'Déconseillé aux femmes enceintes']",,,['Cubitainer'],['Espagne'],,,
1046,Igp D Oc Le Val Pinot Noir Rge13.5d 75cl,3308440058689,B,,['Le Val'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français']",['France'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,"['Bouteille', 'Verre']",['France'],,,
1047,Rouge Fruité Pays d'oc - Les Vignerons de la Méditerranée - 3l,3308440062402,C,3 l,['Les Vignerons de la Méditerranée'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', ""Pays d'Oc""]",['France'],,['France'],"['Vin rouge', ' Contient des sulfites']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Déconseillé à certaines catégories de personnes', 'IGP', 'Contient des sulfites', 'Déconseillé aux femmes enceintes']",,,['Cubitainer'],['France'],,,
1048,3308440065267,3308440065267,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1049,"Rillettes de Canard - Edmond de la Closerie - 0,250kg",3308456380408,C,"0,250 kg",['Edmond de la Closerie'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],,['France'],"['Viande de canard ', '70 % dont magret', 'porc', 'sel', 'nitrite', 'poivre']",,"['Non végétalien', 'Non végétarien']",3,40 g,en quantité élevée,13.5 g,en quantité élevée,0.1 g,en faible quantité,2.4 g,en quantité élevée,1857,+17%,?,,1857 kj(444 kcal),+11%,40,+9%,"13,5",+8%,"0,2",-65%,"0,1",-60%,"20,6",+27%,"2,4",+75%,"0,96",+75%,25,+30%,E,+30%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Point Vert'],"['FR 24.534.001 CE', 'Sigoulès (Dordogne, France)']",,"['Frais', 'Plastique']",,,,
1050,Saucisse de canard,3308456380644,,,,,,,['France'],[],,[],,,,,,,,,,?,,291,,1218 kj(291 kcal),,"24,2",,"6,8",,"1,8",,"0,2",,"15,4",,"1,8",,"0,72",,,,,,,,,,,,,,"['FR 24.534.001 CE', 'Sigoulès (Dordogne, France)']",,,,,,
1051,Croustillants de poulet salés,3308456384000,,,,,,,['France'],[],,[],,,,,,,,,,?,,358,,1498 kj(358 kcal),,"9,5",,"2,49",,"2,07",,"1,68",,"28,42",,"3,63",,"1,452",,,,,,,,,,,,,,,,,,,,
1052,Mayonnaise - Brake - 4750g / 5L,3308650146312,D,4750 g / 5 L,['Brake'],"['Epicerie', 'Sauces', 'Mayonnaises']",,,['France'],"['Huile de colza', ' eau', ""jaune d'œuf"", 'vinaigre', 'sel', 'sucre', 'amidon modifié de pomme de terre', 'acidifiant : acide lactique', 'épaississants : gomme de guar - gomme xanthane', 'colorant : lutéine', 'arôme']",['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,70 g,en quantité élevée,5.9 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,640,+4%,2678 kj(640 kcal),+5%,70,+6%,"5,9",-5%,"0,9",-67%,"0,5",-66%,"0,7",-43%,"1,3",-2%,"0,52",-2%,17,-5%,D,-5%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Produits destinés aux professionnels'],,"['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E161b - Lutéine']","['Plastique', 'Seau']",,Mayonnaise,https://www.brake.fr/les-produits/les-sauces-et-fonds/les-sauces-condimentaires/les-sauces-condimentaires-en-seau-ou-en-bidon/mayonnaise/p/000000000000014631,
1053,Sauce dessert caramel au beurre salé,3308650149313,,,,,,,['France'],[],,[],,,,,,,,,,?,,299,,1251 kj(299 kcal),,4,,"2,4",,63,,"60,4",,"2,7",,"0,5",,"0,2",,,,,,,,,,,,,,"['EMB 35163A', 'Luitré (Ille-et-Vilaine, France)']",,,,,,
1054,Confiture de cerise noire - Brake,3308650166815,D,,['Brake'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,['France'],[],,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,54.4 g,en quantité élevée,0.004 g,en faible quantité,?,,226,+2%,946 kj(226 kcal),+2%,"0,2",-18%,"0,1",+122%,"55,1",+2%,"54,4",+5%,"0,5",-22%,"0,004",-85%,"0,002",-85%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,
1055,Creme de vinaigre balsamique - Maison des Gourmets,3308650169045,,,['Maison des Gourmets'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,['France'],[],,[],,0.01 g,en faible quantité,0.01 g,en faible quantité,41.5 g,en quantité élevée,1.3 g,en quantité modérée,?,,171,-19%,715 kj(171 kcal),-19%,"0,01",-75%,"0,01",-12%,"41,5",-17%,"41,5",-1%,"1,2",+80%,"1,3",+924%,"0,52",+924%,16,+47%,D,+47%,,,,,,,,['Produits destinés aux professionnels'],,,,,,,
1056,Sauce burger - Brake,3308650183942,D,,['Brake'],"['Epicerie', 'Sauces', 'Sauces burger']",,,['France'],[],,[],,21 g,en quantité élevée,1.9 g,en quantité modérée,6.1 g,en quantité modérée,1.68 g,en quantité élevée,?,,242,-41%,1013 kj(242 kcal),-40%,21,-47%,"1,9",-43%,11,-8%,"6,1",-33%,1,-16%,"1,68",-10%,"0,672",-10%,12,-28%,D,-28%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,
1057,Confiture extra - Maison des Gourmets,3308650185632,,,['Maison des Gourmets'],,,,['France'],[],,[],,,,,,,,,,?,,220,,920 kj(220 kcal),,"0,1",,0,,56,,56,,"0,2",,"0,03",,"0,012",,,,,,,,,,,,,['Produits destinés aux professionnels'],,,,,,,
1058,Tarte 3 Fromages - Brake - 8kg,3308650396885,C,8 kg,['Brake'],"['Surgelés', 'Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Pizzas et tartes surgelées', 'Tartes au fromage', 'Tartes salées surgelées']",,,['France'],[],"['Œufs', 'Gluten', 'Lait']",[],,10.9 g,en quantité modérée,5.9 g,en quantité élevée,2.8 g,en faible quantité,1.2 g,en quantité modérée,?,,214,-9%,895 kj(214 kcal),-8%,"10,9",-14%,"5,9",-10%,"21,4",-1%,"2,8",-10%,"7,1",+1%,"1,2",+26%,"0,48",+26%,12,+15%,D,+15%,70.7%,13.4%,3.3%,3.6%,1.9%,7.2%,56,['Produits destinés aux professionnels'],"['FR 49.060.001 CE', 'Chacé (Maine-et-Loire, France)', 'EMB 49060C', 'Chacé (Maine-et-Loire, France)']",,"['Carton', 'Plastique', 'surgelé']",,,https://www.brake.fr/les-produits/les-quiches-tartes-et-pizzas/a-partager/les-quiches-et-tartes-a-partager/tarte-3-fromages/p/000000000000039688,
1059,Sauce Tartare - Brake - 2850g,3308650411960,B,2850 g,['Brake'],"['Epicerie', 'Sauces', 'Sauces tartare']",,['Brake'],['France'],"['Huile de colza', 'eau', 'échalote 6,4 %', 'cornichons 6,4 %', 'vinaigre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'acidifiant: E330', 'antioxydant : E224 ', 'sulfites', "" jaune d'œuf"", 'câpres 1,6 % sel', 'sucre persil', 'estragon', 'épaississant : gomme de guar- gomme xanthane', 'amidon modifié de pomme de terre', 'colorant : lutèine']","['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,64 g,en quantité élevée,5.4 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,?,,588,+12%,2460 kj(588 kcal),+13%,64,+18%,"5,4",+19%,"1,5",-68%,1,-63%,"1,2",+3%,1,-44%,"0,4",-44%,16,-9%,D,-9%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,['Produits destinés aux professionnels'],,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E161b - Lutéine']","['Seau', 'Plastique']",,,https://www.brake.fr/les-produits/les-sauces-et-fonds/les-sauces-condimentaires/les-sauces-condimentaires-en-seau-ou-en-bidon/sauce-tartare/p/000000000000041196,
1060,Emmental râpé - Brake - 1kg,3308650413018,D,1 kg,['Brake'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,,['France'],[],,[],,29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.87 g,en quantité modérée,?,,381,+2%,1594 kj(381 kcal),+2%,29,+0%,19,-4%,2,+121%,"0,5",+24%,28,+3%,"0,87",+15%,"0,348",+15%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
1061,Salade de Farfalles au Poulet Rôti -  - 2kg,3308650414237,D,2 kg,,"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Salades de pâtes', 'Plats à la volaille', 'Réfrigérés', 'Plats au poulet', 'Plats préparés réfrigérés']",['Union européenne'],,['France'],[],,[],,10.5 g,en quantité modérée,1.7 g,en quantité modérée,1.5 g,en faible quantité,0.98 g,en quantité modérée,?,,181,+10%,757 kj(181 kcal),+11%,"10,5",+25%,"1,7",+14%,"14,9",+7%,"1,5",-28%,"6,2",-4%,"0,98",+27%,"0,392",+27%,4,+374%,C,+374%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,"['FR 56.075.003 CE', 'Guer (Morbihan, France)']",,"['Frais', 'Carton', 'Plastique']",,,,
1062,Mayonnaise - Brake - 4650g,3308650492372,D,4650 g,['Brake'],"['Epicerie', 'Sauces', 'Mayonnaises']",,,['France'],"['Huile de colza', ' eau', 'moutarde de Dijon ', 'eau', 'graines de moutarde ', 'vinaigre', 'sel', 'acidifiant : acide citrique', 'antioxydant : disulfite de potassium', ""jaune d'œuf"", 'vinaigre', 'sel', 'sucre', 'colorant : lutéine', 'épaississants : gomme de guar - gomme xanthane', 'amidon modifié de pomme de terre']","['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,79 g,en quantité élevée,6.6 g,en quantité élevée,0.7 g,en faible quantité,1 g,en quantité modérée,?,,720,+17%,3012 kj(720 kcal),+18%,79,+19%,"6,6",+7%,"0,8",-70%,"0,7",-52%,"1,2",-2%,1,-25%,"0,4",-25%,18,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Produits destinés aux professionnels'],,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés']","['Seau', 'Plastique']",,Mayonnaise,https://www.brake.fr/les-produits/les-sauces-et-fonds/les-sauces-condimentaires/les-sauces-condimentaires-en-seau-ou-en-bidon/mayonnaise/p/000000000000049237,
1063,Nuggets colin plein filet - Le Collectif du Goût,3308650739149,,,['Le Collectif du Goût'],,,,['France'],[],,[],,,,,,,,,,?,,184,,770 kj(184 kcal),,9,,"7,7",,"14,3",,"1,1",,"11,7",,"0,39",,"0,156",,,,,,,,,,,,,"['Sans conservateurs', 'Produits destinés aux professionnels']","['FR 62.894.103 CE', 'Wimille (Pas-de-Calais, France)']",,,,,,
1064,"Blancs d'Œufs en Neige Caramel - Brake - 300g / 2,2L",3308650802799,D,"300 g / 2,2 L",['Brake'],"[""Produits d'élevages"", 'Œufs', 'Réfrigérés', 'Oeuf blanc', 'Ovo-produits']",,['Brake'],['France'],"[""Blanc d'œufs "", '78,4 %', 'sucre ', '15 %', 'caramel ', '6 %', ' ', 'sucre', 'sirop de glucose', 'eau', 'épaississants E412', 'E415']",['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,0.4 g,en faible quantité,0.4 g,en faible quantité,20.4 g,en quantité élevée,0.26 g,en faible quantité,?,,118,+64%,494 kj(118 kcal),+54%,"0,4",-67%,"0,4",+3%,"21,3",+365%,"20,4",+377%,"8,3",-18%,"0,26",-10%,"0,104",-10%,1,,B,,92.0%,0.3%,3.2%,2.3%,1.6%,0.7%,47,['Produits destinés aux professionnels'],,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Frais', 'Plastique']",,Blancs d'Œufs en Neige Caramel,https://www.brake.fr/les-produits/les-desserts/les-oeufs-a-la-neige/les-oeufs-a-la-neige/blanc-doeuf-en-neige-caramel/p/000000000000080279,
1065,Oeuf entier pasteurisé - Brake,3308650809309,,,['Brake'],,,,['France'],[],,[],,,,,,,,,,?,,137,,573 kj(137 kcal),,"10,2",,"3,2",,"0,4",,"0,4",,11,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,
1066,Poivre noir moulu - provence épice - 500g,3308772191252,B,500 g,['provence épice'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",,['Agri sud est'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,"['Sac', 'Plastique']",,,,
1067,Poivre blanc grains - Selection Rabelais - provence épice - 250g,3308772201166,B,250 g,"['provence épice', 'Selection Rabelais']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres blancs', 'Poivre blanc en grains']",,['Agri sud est'],['France'],['Poivre blanc'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,"['Sac', 'Plastique']",['LHG ZI de St-Mitre 50 Avenue de la Rasclave 13681 Aubagne'],Poivre blanc en grains,,
1068,Epices à paëlla sans colorant - Sélection Rabelais - 100g,3308774111272,,100 g,['Sélection Rabelais'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,['France'],"['Paprika', 'Curcuma', 'Poivre noir', 'Safran ', '0', '5%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans colorants'],['13211H'],,['Sachet plastique'],,,,
1069,Croustillant noix et miel,3308780002007,,,,,,,['France'],[],,[],,,,,,,,,,?,,401,,1678 kj(401 kcal),,"23,6",,"1,9",,"41,4",,"15,3",,"3,1",,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,
1070,Pain complet 300gr,3308841092350,,,,,,,['France'],[],,[],,,,,,,,,,?,,228,,954 kj(228 kcal),,"2,5",,1,,56,,"1,2",,25,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
1071,Muffins double choco,3308841604416,,,,,,,['France'],[],,[],,,,,,,,,,?,,437,,1828 kj(437 kcal),,25,,"4,9",,47,,27,,"5,9",,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,
1072,Mille feuilles,3308841640179,,,,,,,['France'],[],,[],,,,,,,,,,?,,252,,1054 kj(252 kcal),,10,,"6,2",,36,,21,,"4,2",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,
1073,Rochers noix de coco - Louvat - 190g,3308960010914,,190 g,['Louvat'],,,,['France'],[],,[],,,,,,,,,,?,,483,,2021 kj(483 kcal),,28,,26,,50,,42,,5,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
1074,Biscuits Lait de coco et Fruit de la passion - Louvat,3308960010938,,,['Louvat'],,,,['France'],[],,[],,,,,,,,,,?,,345,,1443 kj(345 kcal),,"0,52",,"0,1",,"75,98",,"33,74",,"7,33",,"1,64",,"0,656",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
1075,Biscuit lait de coco et mangue ananas - Louvat,3308960010945,,,['Louvat'],,,,['France'],[],,[],,,,,,,,,,?,,343,,1435 kj(343 kcal),,1,,0,,75,,33,,7,,2,,"0,8",,,,,,,,,,,,,,,,,,,,
1076,Le fabuleux Baton de meringue Praline - Louvat - 75g,3308960010969,C,75 g,['Louvat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Biscuits et gâteaux', 'Pâtisseries', 'Confiseries de fruits à coques', 'Pralines', 'Meringues']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,,,,,Meringue,,
1077,Biscuits lait d'amande et framboise - Louvat,3308960011256,,,['Louvat'],,,,['France'],[],,[],,,,,,,,,,?,,278,,1163 kj(278 kcal),,"2,06",,"0,08",,"57,84",,"25,91",,"5,58",,"1,24",,"0,496",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
1078,Rochers Framboise - Louvat,3308960011409,,,['Louvat'],,,,['France'],[],,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,"27,11",,"23,67",,"46,13",,"41,26",,"3,92",,1,,"0,4",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
1079,Rocher myrtilles - Louvat,3308960011416,,,['Louvat'],,,,['France'],[],,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,27,,23,,46,,41,,4,,0,,0,,,,,,,,,,,,,,,,,,,,
1080,Tuiles aux amandes - Louvat,3308960011546,C,,['Louvat'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,['France'],[],,[],,17 g,en quantité modérée,8 g,en quantité élevée,33 g,en quantité élevée,0.8 g,en quantité modérée,?,,439,-7%,1837 kj(439 kcal),-8%,17,-18%,8,-21%,61,-5%,33,+12%,9,+38%,"0,8",+36%,"0,32",+36%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
1081,Moelleux framboise - LOUVAT Biscuits - 150g,3308960040133,,150 g,['LOUVAT Biscuits'],,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1082,Moelleux myrtille LOUVAT,3308960040140,,,['Louvat'],,,,['France'],[],,[],,,,,,,,,,?,,474,,1983 kj(474 kcal),,29,,10,,45,,29,,9,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,
1083,12 moelleux châtaigne - Louvat - 150g,3308960040157,,150 g,['Louvat'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,['Boucheries André'],['France'],"['sucre', ""poudre d'amande 17,8%"", 'farine de blé ', 'gluten', 'blanc d’œufs', 'crème de châtaigne vanillée ', '7,8%', ' ', 'purée de châtaigne', 'sucre', 'extrait de vanille', 'beurre', 'matière grasse ', 'huile et graisse végétale raffinée', 'E471', 'acide citrique E330', 'E420', 'E422', 'arôm', 'poudre levante', 'E503ii', 'sel']","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,24 g,en quantité élevée,9 g,en quantité élevée,35 g,en quantité élevée,1 g,en quantité modérée,?,,457,+13%,1912 kj(457 kcal),+14%,24,+23%,9,+18%,54,+9%,35,+25%,8,+47%,1,+64%,"0,4",+64%,24,+34%,E,+34%,,,,,,,,['Fabriqué en France'],,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E420 - Sorbitol', 'E422 - Glycérol', ""E503ii - Carbonate acide d'ammonium""]",['Plastique'],,,,
1084,Meringues saveur myrtille - Louvat - 150g,3308960040195,C,150 g,['Louvat'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",,['Boucheries André'],['France'],"['sucre', 'blanc d’œuf', 'gomme guar', 'gomme xanthane', 'arôme', 'E120-E132', 'sel']",['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,"['EMB 38386', 'Saint-Geoire-en-Valdaine (Isère, France)']","['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E120 - Acide carminique', ""E132 - Indigotine carmin d'indigo""]",['Plastique'],,meringues,,
