,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
43,Relleno Tornado 6 - Fini,8410525225208,,,,,['Fini'],,,,,,['France'],[],,[],,?,,362,,"1,2",,86,,"1,7",,,,,,,,,,,,,,,,,,1515 kj(362 kcal),,"0,8",,69,,"0,3",,"0,12",,,,,,,,,,,
44,Petits pois extra-fins à l'étuvée - Monoprix Gourmet - 330g,3350033391383,B,,330 g,"['Capsule en métal', 'Bocal en verre']",['Monoprix Gourmet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,,,['Monoprix'],['France'],['Petits pois - eau - sucre - sel'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,84,+11%,"1,2",+74%,"9,4",-7%,"5,4",+12%,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,"['EMB 59009B', ""Villeneuve-d'Ascq (Nord, France)""]",1.2 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,0.5 g,en quantité modérée,351 kj(84 kcal),+9%,"0,2",+32%,"2,2",-34%,"0,5",-10%,"0,2",-10%,-5,,A,,,,,,,
45,Jus D'orange Pur Diva -  - 1l,6194007880063,D,,1l,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,,,['France'],[],,[],,?,,44,+2%,"0,05",-72%,"10,62",+9%,"0,65",+3%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,0.05 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité élevée,0 g,en faible quantité,184 kj(44 kcal),+1%,0,-100%,"10,62",+16%,0,-100%,0,-100%,5,+68%,C,+68%,,,,,,
46,Cha Noite Tranquila 20SAQUETSS - Lipton,3228881083326,,,,,"['Lipton', 'Unilever']",,,,,,['France'],[],,[],,?,,4,,0,,"0,2",,"0,1",,,,,,,,,,,,,,,,,,17 kj(4 kcal),,0,,"0,2",,0,,0,,,,,,,,,,,
47,Baume après rasage - Weleda - 100ml,3596204526172,,,100 ml,,['Weleda'],"['Non alimentaire', 'Open Beauty Facts']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Pour les sens Collection - Yogi Tea,4012824404694,,,,,['Yogi Tea'],,['Bio'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,RESCUE PLUS VITAMINES - Bach - 20ml,5000488109887,,,20 ml,['Compte-gouttes'],['Bach'],"['Compléments alimentaires', 'Vitamines']",,,,,['France'],"['Glycérine', 'eau', 'D-pantothénate de calcium ', 'vitamine B5', 'cyanocobalamine ', 'vitamine B12', 'arômes naturels ', 'fleurs de sureau', 'citron', 'lime', 'dilution aqueuse de Fleurs de Helianthemum nummularium ', 'L', ' Mill', 'Clematis vitalba L', 'Impatiens glandulifera Royale', 'Prunus cerasifera Ehrh', 'Ornithogalum umbellatum L', ' ', '0', '005%']",,[],4,?,,389,+663%,"0,05",-9%,90,+1066%,0,-100%,,,,,,,,,0.05 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,1628 kj(389 kcal),+683%,0,-100%,0,-100%,"0,05",-89%,"0,02",-89%,4,+43%,C,+43%,['E422 - Glycérol'],,,,,
50,Dosette contretype Dolce Gusto café grande (16 capsules) - Casino - 112g,3222477186972,,Café moulu pur arabica en capsules,112 g,,['Casino'],['Dosettes Dolce Gusto'],"['Agriculture durable', 'en:UTZ Certified']",,,['Casino'],['France'],['100% café pur arabica'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Allumette,3760069560743,,,,,,,,,,,['France'],[],,[],,?,,567,,"37,6",,"52,8",,"4,3",,,,,,,,,,,,,,,,,,2372 kj(567 kcal),,"3,4",,0,,"0,8",,"0,32",,,,,,,,,,,
52,Fuet saucisson artisanal,8427009101316,,,,,,,,,,,['France'],[],,[],,?,,449,,"37,9",,"0,6",,"26,4",,,,,,,,,,,,,,,,,,1879 kj(449 kcal),,"15,8",,0,,"3,8",,"1,52",,,,,,,,,,,
53,Cuida't Tropical - AgroFresc - 500ml,8437013814706,D,,500 ml,['Plastic 500ml bottle'],['AgroFresc'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons à base de végétaux', 'Frais', 'Boissons aux fruits', 'Jus et nectars', 'Aliments à base de plantes frais', 'Jus de fruits']",,,,,"['France', 'Espagne']",[],,[],,?,,68,+74%,"0,5",-49%,14,+229%,"0,6",-70%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,285 kj(68 kcal),+80%,"0,1",-41%,11,+703%,0,-100%,0,-100%,8,,D,,,,,,,
54,Chips - Croky,5414359922213,,,,,['Croky'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,,,,['France'],[],,[],,?,,0,-100%,"29,1",-1%,"54,8",+1%,"6,5",+14%,,,,,,,,,29.1 g,en quantité élevée,2.4 g,en quantité modérée,2.9 g,en faible quantité,1.4 g,en quantité modérée,0 kj(0 kcal),-100%,"2,4",-22%,"2,9",+23%,"1,4",+5%,"0,56",+5%,4,-66%,C,-66%,,,,,,
55,Garofalo,8000139926679,,,,,['Garofalo'],,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,['France'],[],,[],,?,,351,,1,,72,,12,,,,,,,,,,,,,,,,,,1469 kj(351 kcal),,"0,2",,3,,0,,0,,,,,,,,,,,
56,Cheese smoked - Eatlean - 350g,5028482101713,D,,350 g,['Produkt'],['Eatlean'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,"['France', 'Allemagne', 'Espagne']",[],,[],,?,,169,-49%,3,-89%,"0,5",-59%,37,+81%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,707 kj(169 kcal),-48%,"1,3",-93%,"0,5",-33%,2,+54%,"0,8",+54%,6,-56%,C,-56%,,,,,,
57,Jeunes pousses de chou kale  - barquette 100g - 100g,3760247830743,,,100 g,,,,,,,,['France'],[],,[],,?,,54,,"1,1",,"4,2",,"4,3",,,,,,,,,,,,,,,,,,226 kj(54 kcal),,"0,1",,"2,3",,"0,225",,"0,09",,,,,,,,,,,
58,Matzos pain azyme - Hema,8716618933563,,,,,['Hema'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains azymes']",,,,,['France'],[],,[],,?,,395,+7%,1,-44%,83,+11%,12,+12%,,,,,,,,,1 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en faible quantité,0.01 g,en faible quantité,1653 kj(395 kcal),+6%,"0,3",-19%,"1,5",-51%,"0,01",-84%,"0,004",-84%,-1,,A,,,,,,,
59,Vin rouge,3348008823991,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Dark Chocolate - Oxfam,5400164143035,,,,,['Oxfam'],,,,,,['France'],[],,[],,?,,507,,"30,1",,54,,5,,,,,,,,,,,,,,,,,,2121 kj(507 kcal),,"18,4",,"50,7",,"0,01",,"0,004",,,,,,,,,,,
61,Tuc bakefuls sweet chili - Lu,7622210846242,B,,,,['Lu'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,,"['France', 'Espagne']",[],,[],,?,,473,+2%,21,+6%,62,+4%,"7,4",-25%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,21 g,en quantité élevée,2 g,en quantité modérée,7.2 g,en quantité modérée,0.76 g,en quantité modérée,1979 kj(473 kcal),+1%,2,-63%,"7,2",+84%,"0,76",-62%,"0,304",-62%,6,-61%,C,-61%,,,,,,
62,Corbières,3760056969412,C,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Corbières']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
63,Eau de source aromatisee,3760104810192,,,,,,,['Sans colorants'],,,,['France'],[],,[],,?,,1.2666666666667,,0,,"0,307",,0,,,,,,,,,,,,,,,,,,5 kj(1 kcal),,0,,0,,0,,0,,,,,,,,,,,
64,Kombucha mango,3760192499354,C,,,,,"['Boissons', 'Boissons au thé', 'Kombuchas']",['Bio'],,,,['France'],[],,[],,?,,11,-39%,0,-100%,"2,5",-35%,0,-100%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,0 g,en faible quantité,0 g,en faible quantité,2.5 g,en quantité modérée,0 g,en faible quantité,46 kj(11 kcal),-39%,0,-100%,"2,5",-27%,0,-100%,0,-100%,4,-30%,C,-30%,,,,,,
65,Yaourt à la grecque fraise - Boni,5400141078626,C,,,,['Boni'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la grecque', 'Yaourts à la fraise']",['Sans lactose'],,,,['France'],[],,[],,?,,134,+37%,"6,9",+131%,16,+21%,"2,1",-43%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,6.9 g,en quantité modérée,4.4 g,en quantité modérée,15 g,en quantité élevée,0.08 g,en faible quantité,561 kj(134 kcal),+38%,"4,4",+132%,15,+21%,"0,08",-25%,"0,032",-25%,7,+160%,C,+160%,,,,,,
66,Hefe - RUF - 3x 9g,4002809020094,B,,3 x 9 g,['Kunststoff'],['RUF'],"['Additifs alimentaires', 'Levures de boulanger', 'Levure alimentaire']","['Bio', 'Bio européen', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung']",,,,"['France', 'Allemagne']","['Bio-Trockenbackhefe', ' Unter Schutzatmosphäre verpackt! Bei Raumtemperatur und trocken lagern']",,[],,?,,?,,?,,?,,?,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Quiches lorraines, pâte pur beurre - Monoprix - 260g",3350033181830,D,,260 g,"['barquette plastique', 'film plastique', 'à jeter', 'moule aluminium', 'à recycler']",['Monoprix'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,,,['Monoprix'],['France'],"['pâte brisée 37% ', 'farine de blé', 'beurre concentré 9%', 'eau', 'sel', 'agent de traitement de la farine:Lcystéine', '-eau-eufs entiers frais 15,4%-lardons fumés 12,6% [poitrine de porc ', 'origine: UE', 'eau', 'sel', 'acidifiant:lactate de sodium', 'dextrose', 'antioxydant:érythorbate de sodium', 'conservateur : nitrite de sodium]-crème fraiche-emmental rapě 3,1%-laitécrêmé en poudre-amidon transformé de mais-arôme naturel de muscade et autres aromes naturels arôme naturel de poivre épaississant : gomme xanthane', ' Traces de soja', 'poissons', 'crustacés', 'mollusques et moutarde', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,?,,286,+8%,18,+10%,22,+14%,"8,3",-11%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,"['FR 01.451.003 CE', 'Viriat (Ain, France)', 'EMB 01451A', 'Viriat (Ain, France)']",18 g,en quantité modérée,11 g,en quantité élevée,2 g,en faible quantité,0.88 g,en quantité modérée,1197 kj(286 kcal),+9%,11,+26%,2,-13%,"0,88",-15%,"0,352",-15%,16,+13%,D,+13%,"['E325 - Lactate de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,,,
68,Roasted monkey nuts,8710998425465,,,,,,,,,,,['France'],[],,[],,?,,612,,"49,7",,"13,5",,"23,7",,,,,,,,,,,,,,,,,,2561 kj(612 kcal),,"6,9",,"4,2",,0,,0,,,,,,,,,,,
69,Green machine - Naked,0082592631060,,,,,['Naked'],,,,,,['France'],[],,[],,?,,57.432432432432,,0,,"13,176",,"0,676",,,,,,,,,,,,,,,,,,240 kj(57 kcal),,0,,"11,824",,,,,,,,,,,,,,,
70,Nestlé - 150g,07278114,,,150 g,,['Nestlé'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,U,3256227110870,,,,,['U'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3278940918403,3278940918403,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Starbucks frappuccino,0069000147702,,,,,['Starbucks'],,,,,,['France'],[],,[],,?,,64.197530864198,,"1,111",,"11,605",,"2,222",,,,,,,,,,,,,,,,,,269 kj(64 kcal),,"0,741",,"11,111",,"0,086",,"0,035",,,,,,,,,,,
74,Surprise - Ferrero - 220g,8000500100608,,,220 g,,"['Ferrero', 'Kinder']",,,,,,['France'],"['Chocolat supérieur au lait 45% ', 'sucre', 'lait en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines [soja]', 'vanilline', 'lait écrémé en poudre', 'sucre', 'graisses végétales ', 'palme', 'karité', 'beurre concentré', 'émulsifiants : lécithines [soja]', 'vanilline']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,2413,,?,,"36,2",,"53,9",,"8,8",,,,,,,,,,,,,,,,,,2413 kj(577 kcal),,"24,1",,"53,6",,"0,305",,"0,122",,,,,,['E322i - Lécithine'],,,,,
75,Marbré - Biscuiterie de Saint-Julien - 800g,3346980008030,C,,800 g,,['Biscuiterie de Saint-Julien'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux marbrés']",,,,,['France'],[],,[],,?,,386,-11%,"17,7",-23%,"49,3",-2%,"6,6",+15%,81.2%,10.7%,3.9%,2.1%,2.1%,0.0%,55,,17.7 g,en quantité modérée,6.8 g,en quantité élevée,27.6 g,en quantité élevée,0.63 g,en quantité modérée,1615 kj(386 kcal),-11%,"6,8",+35%,"27,6",-1%,"0,63",-5%,"0,252",-5%,18,+8%,D,+8%,,,,,,
76,Choco Barre - Auchan,3596710463916,,,,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']","['Nutriscore', 'Nutriscore E']",,,['Auchan'],['France'],[],,[],,?,,561,+12%,33,+21%,55,-1%,"6,3",-8%,,,,,,,,,33 g,en quantité élevée,20 g,en quantité élevée,49 g,en quantité élevée,0.2 g,en faible quantité,2347 kj(561 kcal),+11%,20,+32%,49,+9%,"0,2",-38%,"0,08",-38%,27,+11%,E,+11%,,,,,,
77,Jibi,6111032007128,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Prefou à l'ail et au persil - Auchan,3254566506323,,,,,['Auchan'],,,,,['Auchan'],['France'],[],,[],,?,,349,,21,,33,,"6,1",,,,,,,,,,,,,,,,,,1460 kj(349 kcal),,13,,"3,4",,"1,3",,"0,52",,,,,,,,,,,
79,Pâté en croûte nature - 440g,3323790006227,,,440 g,,,,,,,,['France'],[],,[],,?,,289,,18,,19,,12,,,,,,,,,"['', 'FR 01.159.002 CE', 'Feillens (Ain, France)']",,,,,,,,,1209 kj(289 kcal),,"6,5",,"1,1",,"1,8",,"0,72",,,,,,,,,,,
80,Puleva Peques 3 Papilla Líquida Con Cereales Al Cacao,8411700412314,,,,,['Puleva'],['Produits laitiers'],,,,,"['France', 'Espagne']",[],,[],,?,,90,-64%,"3,5",-81%,12,+144%,"2,5",-80%,,,,,,,,,3.5 g,en quantité modérée,1.4 g,en faible quantité,6.8 g,en quantité modérée,0.11 g,en faible quantité,377 kj(90 kcal),-63%,"1,4",-88%,"6,8",+67%,"0,11",-86%,"0,044",-86%,2,-80%,B,-80%,,,,,,
81,"Cupper Zitronentee Mit Ingwer, 2,5 GR, 20 BTL Packung - Chipper - 50g",5021991939020,,,50g,,['Chipper'],,"['Bio', 'Bio européen', 'GB-ORG-05']",,,,['France'],"['Zitronegras', 'Ingwewurzel 25%', 'Zitronenverbene', 'Süßholzwurzel', 'Zitronenschale 7%', 'Natürliches Zitronenaroma', 'Orangenschale']",,[],4,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Actimel Natural 0% 0% x6 - Danone - 600g (100g x 6),8410500022891,,,600 g (100 g x 6),,['Danone'],['Produits laitiers'],,,,,"['France', 'Espagne']",[],,[],,?,,27,-89%,"0,1",-99%,3,-39%,"2,7",-78%,,,,,,,,,0.1 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,113 kj(27 kcal),-89%,0,-100%,3,-26%,"0,1",-87%,"0,04",-87%,-1,-110%,A,-110%,,,,,,
83,Lentilles vertes,5425038000399,,,,,,,,,,,['France'],[],,[],,?,,331,,"1,2",,50,,24,,,,,,,,,,,,,,,,,,1385 kj(331 kcal),,"0,2",,1,,"0,1",,"0,04",,,,,,,,,,,
84,3350033083820,3350033083820,,,,,,['Non alimentaire'],,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Easy breakfast,7640149390704,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,405,,12,,55,,12,,,,,,,,,,,,,,,,,,1695 kj(405 kcal),,"1,5",,12,,"0,05",,"0,02",,,,,,,,,,,
86,Bio Jasmine Rice Mix - COOP,7613379968104,C,,,,"['COOP', 'Karma']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']","['Bio', 'Végétarien', 'Commerce équitable', 'Végétalien', 'Max Havelaar']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,359,+3%,"2,6",+148%,69,-8%,12,+63%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,2.6 g,en faible quantité,0.7 g,en faible quantité,1.5 g,en faible quantité,0 g,en faible quantité,1502 kj(359 kcal),+2%,"0,7",+172%,"1,5",+491%,0,-100%,0,-100%,-1,,A,,,,,,,
87,Vinagre balsámico de Módena,8437012696013,B,,,,,"['Vinaigres', 'Vinaigres balsamiques']",['Fabriqué en Espagne'],,,,['France'],[],,[],,?,,203,+38%,0,-100%,50,+63%,1,+57%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,0 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,849 kj(203 kcal),+40%,0,-100%,40,+44%,0,-100%,0,-100%,,,,,,,,,,
88,Bio Cornflakes - Verival,9004617068546,C,,,,['Verival'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']","['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans sucre ajouté']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,372,-1%,"0,8",-27%,83,+0%,"6,6",-8%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,0.8 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,2 g,en quantité élevée,1556 kj(372 kcal),-2%,"0,2",-30%,1,-91%,2,+65%,"0,8",+65%,12,+61%,D,+61%,,,,,,
89,Sobaos pasiegos - El Macho,8421645000019,,,,,['El Macho'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,,,,"['France', 'Espagne']",[],,[],,?,,428,+2%,"24,4",+66%,"46,4",-30%,"5,6",+33%,,,,,,,,,24.4 g,en quantité élevée,15.6 g,en quantité élevée,28.7 g,en quantité élevée,0.38 g,en quantité modérée,1791 kj(428 kcal),+2%,"15,6",+141%,"28,7",-42%,"0,38",+159%,"0,152",+159%,22,+21%,E,+21%,,,,,,
90,Urkorn -,7090043240115,,,,,,,,,,,['France'],"[""Farine d'épeautre complète"", 'graines de lin', ""flocons d'épeautre"", ""son d'épeautre"", 'graines de sésame', 'huile de colza', 'brisures de graines de citrouille', 'graines de tournesol', ""fibres d'avoine"", 'levure', 'graines de lin jaunes', 'œuf', 'sel', ""farine de malt d'orge"", 'agent de traitement de la farine ', 'acide ascorbique', 'fécule de pomme de terre']","['Œufs', 'Gluten', 'Graines de sésame']",['Non végétalien'],,?,,463,,"21,1",,"41,6",,"18,1",,,,,,,,,,,,,,,,,,1937 kj(463 kcal),,"2,4",,1,,"0,7",,"0,28",,,,,,['E300 - Acide ascorbique'],,,,,
91,Pâte de Tandoori - 175g,3265960410239,,,175 g,,,,,,,,['France'],[],,[],,?,,358,,29,,20,,"4,2",,,,,,,,,,,,,,,,,,1498 kj(358 kcal),,"2,4",,"6,9",,"11,75",,"4,7",,,,,,,,,,,
92,Ravioli Pur Boeuf - Monoprix,3248650010766,E,,,,['Monoprix'],"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']",,,,['Monoprix'],['France'],"['Eau - ravioli 27% [semoule de blé dur', 'eau', 'Viande bovine ', 'origine : UE', 'chapelure ', 'contient gluten', 'carotte', 'sel', 'oignon', 'basilic', 'arôme naturel', 'huile de tournesol] - purée de tomates mi-réduite 13,2% - viande bovine ', 'origine : UE', ' - tomate pelée 2,9% - oignon - carotte - sucre - amidon transformé de mais - sel - persil - arômes naturels', ' Viande bovine mise en ORLUVT : 7,5% du poids net total', ' Traces de lait', 'céleri et meuf Les informations en gras sont destinées aux personnes intolérantes Ou allergiques']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,?,,86,-37%,"1,7",-51%,13,-30%,"3,7",-33%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,1.7 g,en faible quantité,0.8 g,en faible quantité,3 g,en faible quantité,0.81 g,en quantité modérée,360 kj(86 kcal),-36%,"0,8",-34%,3,+19%,"0,81",-9%,"0,324",-9%,2,-8%,B,-8%,['E14XX - Amidons modifiés'],,,,,
93,Huile d'olive,3700786800500,D,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['AOP'],,,,['France'],[],,[],,?,,900,+5%,100,+5%,"0,5",,"0,5",,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,100 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.02 g,en faible quantité,3766 kj(900 kcal),+5%,17,+21%,"0,5",,"0,02",+39583%,"0,008",+39583%,7,+14%,C,+14%,,,,,,
94,Chocolate con leche con almendras - Pekeregal - 125g,8436575401126,E,,125 g,,['Pekeregal'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux amandes', 'Chocolats au lait aux amandes']",,,,,['France'],"['Sucre', 'beurre de cacao', 'lait en poudre 26%', 'amandes ', '13%', 'pâte e cacao', 'émulsifiant ', 'lécithine de soja', 'arômes: crème et vanille', 'cacao 30%', ' Peut contenir des traces de fruits à coque']","['Fruits à coque', 'Soja']",['Non végétalien'],4,?,,576.40002441406,+3%,"38,6",+8%,"46,57",-3%,"8,88",-1%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['ES 25.002513/B CE'],38.6 g,en quantité élevée,19 g,en quantité élevée,43.4 g,en quantité élevée,0.08 g,en faible quantité,2412 kj(576 kcal),+4%,"18,96",+6%,"43,4",-4%,"0,08",-69%,"0,032",-69%,23,-8%,E,-8%,['E322i - Lécithine'],,,,,
95,Grüne Pfefferonen - Feinkost Dittmann - 200g,4002239854108,,,200g,['Kunststoff'],['Feinkost Dittmann'],,"['Végétarien', 'Sans gluten', 'Végétalien', 'Sans lactose', 'de:Hefefrei']",,,,"['France', 'Allemagne']","['Pfefferonen', 'Wasser', 'Speisesalz', 'Säuerungsmittel: Citronensäure', 'Essigsäure', 'Konservierungsstoff: Natrium - benzoat', 'Antioxidationsmittel: Kaliummetabisulfit']",,"['Végétalien', 'Végétarien']",,?,,32,,"0,1",,"4,2",,"0,9",,,,,,,,,,,,,,,,,,134 kj(32 kcal),,,,"0,8",,"2,35",,"0,94",,,,,,"['E330 - Acide citrique', 'E260 - Acide acétique', 'E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,,,,
