,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
41,Muirapuama Poudre - Guayapi - 50g,3471123003037,['France'],"['100% poudre de muirapuama ', 'PTYCHOPETALUM OLACOIDES', ' pure et bio']",[],1610,380,1610 kj(380 kcal),"0,5","0,23","92,1",0,"1,4","0,11","0,044",,['Poudre'],0.5 g,en faible quantité,0.23 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,+16%,+7%,+8%,-90%,-62%,+49%,-100%,-83%,+136%,+136%,4,+373%,C,+373%,,,,,,,,50 g,['Guayapi'],['boite en carton'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Forest Garden Product', 'Sateré Mawé']",,,,,,['Brésil'],,,Brésil,,,,
42,Sirop de fraise - Pagès - 70cl,3376370157239,['France'],[],[],?,?,,0,,87,65,?,"0,01","0,004",,"['Édulcorants', 'Sirops', 'Sirops simples']",0 g,en faible quantité,,,65 g,en quantité élevée,0.01 g,en faible quantité,,,,-100%,,+21%,+0%,,-83%,-83%,,,,,,,,,,,,70 cl,['Pagès'],"['Bouteille', 'Bouteille en verre']",,,,,,,['Saint Germain Laprade'],,,,,,,
43,Miel,3770005863012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,huile de coco vierge - les comptoire de la bio - 200ml,3760239182966,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200ml,['les comptoire de la bio'],['Verre'],['Bio'],,,,,['100\xa0% huile de coco'],,,,,,,,
45,Pain de mie BIO à la farine complète Sans Sucres Ajoutés - 500g - la boulangère,3760049798869,['France'],"['Farine complète de blé*/** 59%', 'eau', 'gluten de blé""', 'huile de tournesol""', 'levure', ' arôme naturel ', 'contient alcool', ' sel', 'vinaigre""', 'farine de blé""/**0,3%', 'levure désactivée', 'antioxydant : acide ascorbique', "" Traces éventuelles d'œufs"", ' lait et soja', ' ""Ingrédients issus de l\'Agriculture Biologique', ' *Ingrédients issus du commerce équitable français']",[],?,252,1054 kj(252 kcal),"5,1","0,5",38,"1,9",10,"0,99","0,396",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",5.1 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en faible quantité,0.99 g,en quantité modérée,,-2%,-2%,+19%,-20%,-11%,-62%,+12%,-13%,-13%,2,,B,,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,['la boulangère'],,"['Bio', 'Bio européen', 'Commerce équitable', '1% pour la planète', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans huile de palme', 'AB Agriculture Biologique', 'en:Agri-Éthique France', 'Farine de blé française', 'Électricité verte Origine France']",,['E300 - Acide ascorbique'],4,,,['France'],,['Gluten'],,,,,
46,8432225076126,8432225076126,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ISO fuji,4926266002120,['France'],[],[],?,353.3333,1478 kj(353 kcal),"0,667","0,667",3,"1,667","83,333","0,433","0,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Nutella,80895237,['France'],"['Sucre', 'huile de palme', 'NOISETTES 13%', 'LAIT écrémé en poudre 8,7%', 'cacao maigre 7,4%', 'émulsifiants: lécithines ', 'SOJA', 'vanilline']","['Huile de palme', 'Non végétalien']",?,540,2259 kj(540 kcal),"30,9","10,6","57,59","56,3","6,3","0,107","0,043",E,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",30.9 g,en quantité élevée,10.6 g,en quantité élevée,56.3 g,en quantité élevée,0.107 g,en faible quantité,,-2%,-2%,-9%,+38%,+12%,+18%,-8%,+4%,+4%,26,+26%,E,+26%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,['Nutella'],,['Point Vert'],,['E322i - Lécithine'],4,,,,,"['Lait', 'Fruits à coque', 'Soja']",,,['Huile de palme'],,
49,Tarte chèvre épinard - Carrefour - 350g,3560071263423,['France'],[],[],?,247,1033 kj(247 kcal),15,"9,1",20,"2,9","7,5","0,8","0,32",,"['en:Pizzas tartes salées et quiches', 'en:Plats préparés', 'en:Tartes', 'en:Tartes salées']",15 g,en quantité modérée,9.1 g,en quantité élevée,2.9 g,en faible quantité,0.8 g,en quantité modérée,,+73%,+73%,+137%,+472%,+49%,+16%,+22%,-1%,-1%,14,+405%,D,+405%,,,,,,,,350g,['Carrefour'],['Boite'],,,,,,,,,,,['Carrefour'],,,
50,Ondine,3250393006166,['France'],[],[],?,25.3,106 kj(25 kcal),"0,5","0,1","6,1","6,1","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tartelette fruits rou,3523680438446,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Coconut Caffè Latte - dolce gusto,5000243800714,['France'],"['Sirop de glucose', 'huile de nox de coco', 'café soluble ', '16,5%', ' farine de riz', ""farine d'avoine"", 'lait de COCO en poudre ', '3,6%', ' ', 'lait de coco', 'émulsifiant ', 'amidon modifie', 'anti-agglomérant ', 'carbonate de calcium', ' protěines de riz hydrolysées', ""correcteurs d'acidité "", 'carbonates de sodium', 'acide citrique', 'sel', 'aròme naturels', 'émulsifiant ', 'lécithine de tournesol', ' Peut contenir : fruits à coque', ' PROFIL: ONCTUEUX ET EXOTIQUE/DEGRE DE TORREFACTION: MOYEN']","['Végétalien', 'Végétarien']",?,25,105 kj(25 kcal),1,"0,8","3,5","0,4","0,3","0,08","0,032",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales']",1 g,en faible quantité,0.8 g,en quantité modérée,0.4 g,en faible quantité,0.08 g,en faible quantité,,-65%,-65%,-78%,-71%,-39%,-89%,-78%,-7%,-7%,0,-100%,B,-100%,,,,,,,,,['dolce gusto'],['Carton'],"['Végétarien', 'Végétalien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan']",,"['E14XX - Amidons modifiés', 'E170i - Carbonate de calcium', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E322i - Lécithine']",4,,,['Angleterre'],http://dolce-gusto.com,['Avoine'],,,,,
53,Tarallini classici con olio extra vergine di oliva,8033100804447,['France'],[],[],?,493,2063 kj(493 kcal),22,"3,5",64,"1,1","9,1","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Oeuf,3297790155608,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Les Cookies : Chocolat Banane et Noix de Pécan,3255652090054,['France'],[],[],?,518,2167 kj(518 kcal),28,14,58,30,8,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Petits fours - Maison du biscuit - 65g,3449610120659,['France'],"['sucre', ""blancs d'œufs"", 'amandes', 'beurre pâtissier', 'farine de Blé', 'compote de Pomme', 'miel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",?,?,,"22,9",,"31,6",,"8,1","0,13","0,052",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",22.9 g,en quantité élevée,,,,,0.13 g,en faible quantité,,,,+29%,,-48%,,-4%,-56%,-56%,,,,,89.3%,5.9%,1.9%,1.8%,1.1%,0.0%,35,65g,['Maison du biscuit'],['Plastique'],,,,3,,,['France'],,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,,
57,Cannelloni garnis Cabillaud - 450g,3348700200618,['France'],[],[],?,127,531 kj(127 kcal),5,"2,7",11,"3,1","9,1","1,2","0,48",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Cannelloni préparés']",5 g,en quantité modérée,2.7 g,en quantité modérée,3.1 g,en faible quantité,1.2 g,en quantité modérée,,-18%,-17%,-4%,+27%,-32%,+7%,+45%,+55%,+55%,3,+19%,C,+19%,,,,,,,,450 g,,,"['Fabriqué en France', 'Pêche durable', 'Pêche durable MSC']","['FR 67.218.003 CE', 'Illkirch-Graffenstaden (Bas-Rhin, France)']",,,,,,,,,,,,
58,R. jour 2crabes Farcis Nat,3302885439966,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Yaourt cremeux,3329770076105,['France'],[],[],?,134,561 kj(134 kcal),"7,6","5,1","12,7","11,8","2,7","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Uova medie biologiche,8005843093846,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,EMMENTAL RÂPÉ FONDANT - Carrefour - 500g,3560071269555,['France'],[],[],?,377,1577 kj(377 kcal),29,20,1,0,28,"0,7","0,28",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",29 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,,+1%,+1%,+0%,+2%,+10%,-100%,+3%,-8%,-8%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,500 g,['Carrefour'],,,"['FR 88.446.004 CE', 'Saulxures-lès-Bulgnéville (Vosges, France)']",,,,,,,,,,,,
62,Figue Lerida,2600122044012,['France'],[],[],?,251,1050 kj(251 kcal),"1,4","0,3","50,4","48,1","3,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tartines craquantes Blé complet - Jardin Bio - 150g (2x75g),54021174,['France'],"['Farine de blé complet* 39%', 'farine de blé 38%', 'farine de seigle""', 'farine d\'orge maltée""', 'sucre de canne roux""', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,376,1573 kj(376 kcal),"1,9","0,5",76,"4,3",10,"0,6","0,24",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",1.9 g,en faible quantité,0.5 g,en faible quantité,4.3 g,en faible quantité,0.6 g,en quantité modérée,,-1%,-2%,-58%,-51%,+7%,-23%,+1%,-32%,-32%,-4,-231%,A,-231%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,150 g (2x75g),['Jardin Bio'],['Carton'],"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans huile de palme', 'Nutriscore', 'AB Agriculture Biologique']",,,3,,,,,['Gluten'],,,,,
64,Miel - La Vie Claire - 250g,3266191013077,['France'],"[""PRODUIT DE L'AGRICULTURE BIOLOGIQUE Miel de Romarin issu de l'Agriculture Biologique"", ' Origine France', ' Apiculteur soutenu par la Vie Claire « Les ruchers sont situés dans la Drôme Provençale', ' Chaque ruche abrite pres de 6o 000 abeilles qui butinent pour vous offrir le meilleur des miels', ' Notre fabrication est 100% française»']",[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de romarin']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,250 g,['La Vie Claire'],"['Verre', 'Bocal en verre', 'Couvercle en métal']","['Bio', 'en:Bio']",,,,,['en:Drôme Provençale'],,,,,,,,
65,Mini veggie chicken bites,8719009070137,['France'],[],[],?,237,992 kj(237 kcal),11,1,"26,9","3,7","6,1","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Lipton Exclusive Selection Thé Vert Menthe Douce 25 sachets pyramides - 28g,8717163858998,['France'],"['Menthe ', '100%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 g,['Lipton'],['Boite'],"['en:Ethical Tea Partnership', 'PEFC', 'Rainforest Alliance', 'Triman']",,,,Plante à infusion,,,,,,,,,
67,Thé noir Rêve d'hiver,3700324434624,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Marmelade de clémentines de sicile - agrisicilia - 360g,8017139105850,['France'],"['Sucre', 'clémentines avec écorce', 'gélifiant: pectine de fruits', 'acidifiant: acide citrique', ' Agrisicilia S', 'p', 'A', ' Contrada Vignale', '7 95032 Belpasso ', 'CT', "" Produit et conditionné dans l'établissement de 5P"", '14', 'n', ' 20-95032 Belpasso ', 'CT', ' MADE IN ITALY TTALIE www', 'agrisicilia', 'eu 360 ge 8 017139 105850']",[],?,246,1029 kj(246 kcal),"0,2",0,60,58,"0,3",0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",0.2 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,,+11%,+11%,-24%,-100%,+12%,+13%,-42%,-100%,-100%,12,+29%,D,+29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,360g,['Agrisicilia'],['Verre'],,,"['E440 - Pectines', 'E330 - Acide citrique']",4,,['Italie'],['Sicile'],http://agrisicilia.eu,,,['Internet'],,,
69,Extraits de pépins de pamplemousse,3456300012774,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Orange pur jus,3661974000921,['France'],[],[],?,43,180 kj(43 kcal),"0,5","0,1","10,1","8,5","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Confichia figue BIO - Natifood - 235g,3770013545665,['France'],"['Figues* 70%', 'sucre de canne non raffiné*', 'graines de chia* 1%', 'jus de citron concentré*', ""*Ingrédients issus de l'agriculture biologique ECOCERT FR-BIO-01Peut contenir des traces de lait et fruits à coque""]",[],807,193,807 kj(193 kcal),"0,5","0,1",45,44,"1,1","0,01","0,004",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",0.5 g,en faible quantité,0.1 g,en faible quantité,44 g,en quantité élevée,0.01 g,en faible quantité,-13%,-13%,-13%,+91%,+101%,-16%,-14%,+113%,-57%,-57%,9,-3%,C,-3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,235 g,['Natifood'],,"['Bio', 'Bio européen', 'Sans gluten', 'Riche en fibres', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', '70\xa0% de fruits', 'Sans pectine', 'Sans-sucres-raffines', 'Végé-friendly']",,,3,,,['Ile de France'],,['Lait'],,,,,
72,Riz au lait vanille Nestlé,9073190036686,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Echinaforce immunité,3035620774724,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Ta basmasti epices du monde 2' 250g pav6 - Taureau aile - 250g,3038359010415,['France'],"['Riz basmati étuvé précuit à la vapeur 93%', 'oignon', 'huile de tournesol', 'épices ', 'gingembre 0,9%', 'graines de cumin 0,4%', 'ail', 'poivre noir 0,02%', 'émulsifiants : carraghénanes et lécithine de tournesol', 'sel', 'arômes naturels', ' Conditionné sous atmosphère protectrice']",[],543,128,543 kj(128 kcal),"1,8","0,3","24,8","0,3","2,8","0,41","0,164",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",1.8 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.41 g,en quantité modérée,-61%,-61%,-61%,+73%,+25%,-65%,+23%,-63%,+1045%,+1045%,1,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,250 g,['Taureau aile'],['Enveloppe'],"['Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B']",,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,"Préparation à base de riz basmati et d'épices, aromatisée",,,,,,,,,
75,Les saucisses de Toulouse aux lentilles cuisinées - Maison Rivière - 420g,3375644008772,['France'],"['Bouillon ', 'eau', 'amidon', 'concentré de tomate', 'arômes naturels', ""pulpe d'ail "", 'ail 0,5%', 'sel', 'gras de porc', 'sel', 'clou de girofle', 'aromates', 'saucisses de Toulouse grillées 21% ', 'viande de porc', 'gras de porc', 'sel', 'poivre', 'boyau naturel de porc', 'lentilles vertes sèches 13% ', ""pourcentage à l'ouverture: 43%"", ' Viande de porc origine France']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,?,,9,,"8,7","0,5","8,4","0,76","0,304",C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles', 'Saucisses de Toulouse aux lentilles']",9 g,en quantité modérée,,,0.5 g,en faible quantité,0.76 g,en quantité modérée,,,,-2%,,+11%,-3%,-5%,-20%,-20%,,,,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,420 g,['Maison Rivière'],['métal'],['Viande & lentilles origine France'],,,4,,,,,,,,,,
76,Tourte provencale -,3770007763358,['France'],"['Pâte ', '40%', ' ', 'farine de blé', 'beurre ', 'lait', 'eau', 'oeuf', 'semoule ', 'blé', 'sucre', 'sel', 'pomme de terre', 'pulpe de tomate', 'courgette ', '8,4%', 'oignons', 'aubergine ', '7,2%', 'chèvre ', '7,2%', 'poivrons ', '6%', 'ail', 'huile de pépins de raisin', 'oeuf', 'graines de lin', 'farine de blé', 'bouillon de légumes', 'sel', 'sucre', 'herbes de Provence ', '0,4%', 'poivre', ' Traces possibles de : poisson', 'sésame', 'céleri', 'lait', 'moutarde', 'fruits à coque', 'arachide', 'soja']",['Non végétalien'],?,250,1046 kj(250 kcal),"15,3","6,6",23,"3,2",5,"0,9","0,36",,"['Tartes', 'Tourtes']",15.3 g,en quantité modérée,6.6 g,en quantité élevée,3.2 g,en faible quantité,0.9 g,en quantité modérée,,-10%,-9%,+6%,+57%,-17%,+15%,-38%,-27%,-27%,12,+31%,D,+31%,,,,,,,,,,,,,,3,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,
77,3 cheesecakes caramel salé & sirop d'érable,20843984,['France'],[],[],?,275,1151 kj(275 kcal),"11,9","7,3","37,8","23,8","3,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Envie de nuts - Grany - 120g,7622201464103,['France'],"['Amandes grillées', 'chocolat au lait [sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'lactosérum en poudre ', 'de lait', 'graisses végétales ', 'palme', 'karité', 'beurre concentré', 'émulsifiants ', 'lécithines de soja', 'E476', 'arôme]', 'cacahuètes grillées', 'sirop de glucose', 'fibre de racine de chicorée', 'pâte de cacao', 'sirop de sucre inverti', 'protéines de blé', 'miel', 'sucre', 'farine de blé 2,3 % ', 'avec carbonate de calcium', 'fer élémentaire', 'niacine', 'thiamine', 'sel', 'émulsifiants ', 'lécithines de soja', 'E476', 'E471', 'beurre de cacao', 'beurre concentré', 'huile de colza', 'anti-agglomérant ', 'E170', ""extrait de malt d'orge"", 'poudre à lever ', ""carbonates d'ammonium"", 'arôme', 'lait écrémé en poudre', ' Peut contenir oeufs', 'autres fruits à coque', ' 3 xE 40 g = 120 g %3D']","['Huile de palme', 'Non végétalien']",?,516,2159 kj(516 kcal),33,"7,7",34,24,16,"0,7","0,28",,['Barres ou confiserie chocolatées au lait'],33 g,en quantité élevée,7.7 g,en quantité élevée,24 g,en quantité élevée,0.7 g,en quantité modérée,,,,,,,,,,,17,,D,,,,,,,,,120 g,['Grany'],['Barres'],['Sans conservateurs'],,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E170 - Carbonates de calcium', ""E503 - Carbonates d'ammonium""]",4,,,,,"['Gluten', 'Lait', 'Soja']",,,,,
79,Cioccolato gianduia e nocciole - Selex,8003100360038,['France'],[],[],?,588,2460 kj(588 kcal),"40,2","11,5","45,6","40,2",8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Selex'],,,,,,,,,,,,,,,
80,Cereali cornflakes,8009361051180,['France'],[],[],?,376,1573 kj(376 kcal),"1,8","0,3","81,4",6,"6,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Crunchy Biscuit Spread,4088600339795,['France'],[],[],?,563,2356 kj(563 kcal),"33,5","7,7",61,"34,1","3,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Biere blanche - La Gambière - 33cl,3273191233039,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33 cl,['La Gambière'],['Verre'],,,,,,,,,,,,,,
83,Dove Gel Douche Huile-Crème 400ml Lot de 2 - 800ml,8712561967051,['France'],"['Aqua', 'Cocamidopropyl Betaine', 'Sodium Hydroxypropyl Starch Phosphate', 'Lauric Acid', 'Sodium Lauroyl Glycinate', 'Sodium Lauroyl Isethionate', 'Sodium Chloride', 'Glycerin', 'Hydrogenated Soybean Oil', 'Parfum', 'Helianthus Annuus Seed Oil', 'Sodium Benzoate', 'Guar Hydroxypropyltrimonium Chloride', 'Sodium Hydroxide', 'Citric Acid', 'Stearic Acid', 'Undecylenoyl Glycine', 'Capryloyl Glycine', 'Sodium Isethionate', 'Palmitic Acid', 'Tetrasodium EDTA', 'Caprylic Acid', 'Capric Acid', 'Ricinus Communis Seed Oil', 'Alpha-Isomethyl Ionone', 'Benzyl Alcohol', 'Citronellol', 'Geraniol', 'Limonene', 'CI 19140', 'CI 17200']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 ml,['Dove'],"['Wrapper', 'Film']",,,"['E570 - Acide stéarique', 'E422 - Glycérol', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E1519 - Alcool benzylique']",4,Gel Douche,,,,,,,,,
84,Elephant Infuse à Froid Bien Être Relax 15 Sachets Pyramid - 34g,8711327501133,['France'],"['Verveine ', '39%', 'arôme naturel de pomme ', '18%', 'pomme ', '17%', 'rooibos', 'arôme naturel de jasmin ', '7%', 'hibiscus blanc', 'jasmin ', '2%']",[],?,?,,?,,?,,?,,,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,34 g,['Elephant'],"['Wrapper', 'Film']",,,,4,Préparation aromatisée pour infusion,,,,,,,,,
85,Elephant Infuse à Froid Boost 15 Sachets - 34g,8711327501126,['France'],"['Citronnelle', 'gingembre ', '20%', 'arôme naturel de citron ', '15%', 'pomme', 'arôme naturel de gingembre ', '13%', 'menthe verte', 'hibiscus blanc', 'écorce de citron ', '2%']",[],?,?,?,?,?,?,?,?,?,?,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,34 g,['Elephant'],"['Wrapper', 'Film']",,,,4,Préparation aromatisée pour infusion,,,,,,,,,
86,Elephant Infuse à Froid Detox 15 Sachets - 34g,8711327501119,['France'],"['Hibiscus ', '35%', 'pomme', 'arôme naturel de framboise ', '12%', 'betterave', 'églantier', 'arôme naturel de cranberry ', '7%', 'cranberry ', '2%', 'framboise ', '2%']",[],?,?,?,?,?,?,?,?,?,?,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,34 g,['Elephant'],"['Wrapper', 'Film']",,,,4,Préparation aromatisée pour infusion,,,,,,,,,
